cue_word,association_word,cue_valence,associated_valence
society,people,0,0
society,culture,0,0
society,community,0,0
failure,mistake,-1,-1
failure,loss,-1,-1
failure,regret,-1,-1
exam,stress,-1,-1
exam,test,-1,-1
exam,grade,-1,0
science,research,0,0
science,discovery,0,0
science,truth,0,0
biology,life,0,0
biology,cell,0,0
biology,nature,0,0
professor,teacher,0,0
professor,mentor,0,0
professor,expert,0,0
number,math,-1,0
number,digit,-1,-1
number,quantity,-1,-1
homework,work,-1,0
homework,study,-1,0
homework,assignment,-1,-1
creativity,art,0,0
creativity,innovation,0,0
creativity,imagination,0,0
grade,score,-1,-1
grade,mark,-1,-1
grade,result,-1,-1
history,past,0,0
history,event,0,0
history,culture,0,0
student,learner,0,0
student,pupil,0,0
student,scholar,0,0
logic,reasoning,0,0
logic,deduction,0,0
logic,analysis,0,0
future,tomorrow,0,-1
future,hope,0,0
future,planning,0,0
llm,ai,0,0
llm,model,0,0
llm,intelligence,0,0
theorem,proof,0,0
theorem,math,0,0
theorem,logic,0,0
mathematic,number,0,-1
mathematic,equation,0,0
mathematic,pattern,0,0
anxiety,worry,-1,-1
anxiety,fear,-1,-1
anxiety,stress,-1,-1
variable,change,-1,-1
variable,unknown,-1,-1
variable,factor,-1,-1
job,work,0,0
job,career,0,0
job,employment,0,0
knowledge,wisdom,0,0
knowledge,learn,0,0
knowledge,understand,0,0
music,sound,0,-1
music,melody,0,0
music,emotion,0,0
computation,calculation,0,0
computation,processing,0,0
computation,datum,0,0
class,lesson,0,0
class,group,0,-1
class,education,0,0
problem - solve,solution,0,0
problem - solve,think,0,0
problem - solve,challenge,0,-1
algorithm,logic,0,0
algorithm,efficiency,0,0
algorithm,complex,0,-1
blackboard,collaboration,-1,0
blackboard,strategy,-1,0
blackboard,visual,-1,0
model,simulation,0,0
model,prediction,0,0
model,theory,0,0
chemistry,molecule,0,-1
chemistry,reaction,0,0
chemistry,lab,0,0
chatgpt,conversation,0,0
chatgpt,intelligence,0,0
chatgpt,assistance,0,0
teamwork,cooperation,0,0
teamwork,support,0,0
teamwork,achievement,0,0
career,growth,-1,0
career,opportunity,-1,0
career,challenge,-1,-1
informatic,technology,0,0
informatic,analysis,0,0
informatic,system,0,0
work,effort,-1,-1
work,productivity,-1,0
work,balance,-1,-1
physics,law,0,0
physics,energy,0,0
physics,matter,0,-1
datum,information,0,0
datum,analysis,0,0
datum,insight,0,0
stem,science,0,0
stem,technology,0,0
stem,education,0,0
scientist,research,0,0
scientist,discovery,0,0
scientist,curiosity,0,0
study,learn,-1,0
study,knowledge,-1,0
study,focus,-1,0
ai,automation,0,0
ai,intelligence,0,0
ai,innovation,0,0
literature,story,0,0
literature,language,0,0
literature,culture,0,0
teacher,mentorship,0,0
teacher,guidance,0,0
teacher,education,0,0
success,achievement,0,0
success,growth,0,0
success,fulfillment,0,0
classroom,learn,-1,0
classroom,interaction,-1,0
classroom,environment,-1,-1
experiment,testing,0,0
experiment,hypothesis,0,0
experiment,discovery,0,0
proof,logic,0,0
proof,verification,0,0
proof,truth,0,0
equation,mathematic,-1,0
equation,formula,-1,0
equation,solution,-1,0
art,creativity,0,0
art,expression,0,0
art,beauty,0,0
philosophy,think,0,0
philosophy,ethic,0,0
philosophy,wisdom,0,0
lecture,teach,-1,0
lecture,presentation,-1,-1
lecture,knowledge,-1,0
