cue_word,association_word,cue_valence,associated_valence
professor,knowledge,0,0
professor,teach,0,0
professor,research,0,0
study,book,0,-1
study,focus,0,0
study,understand,0,0
algorithm,code,0,0
algorithm,logic,0,0
algorithm,problem,0,-1
homework,practice,-1,0
homework,deadline,-1,-1
homework,stress,-1,-1
theorem,proof,0,0
theorem,math,0,0
theorem,logic,0,0
mathematic,equation,0,0
mathematic,theorem,0,0
mathematic,abstraction,0,0
career,growth,0,0
career,skill,0,0
career,job,0,0
work,task,0,-1
work,effort,0,0
work,productivity,0,0
model,simulation,0,0
model,datum,0,0
model,prediction,0,0
class,group,0,-1
class,discussion,0,0
class,learn,0,0
lecture,presentation,0,0
lecture,note,0,0
lecture,theory,0,0
physics,equation,0,0
physics,experiment,0,0
physics,law,0,0
blackboard,write,0,0
blackboard,chalk,0,-1
blackboard,chalkboard,0,0
art,creativity,0,0
art,expression,0,0
art,aesthetic,0,0
computation,processing,0,0
computation,speed,0,0
computation,datum,0,0
equation,math,0,0
equation,solution,0,0
equation,variable,0,-1
history,event,0,0
history,past,0,-1
history,context,0,0
proof,logic,0,0
proof,math,0,0
proof,rigor,0,0
biology,life,0,0
biology,cell,0,0
biology,organism,0,0
knowledge,understand,0,0
knowledge,wisdom,0,0
knowledge,information,0,0
scientist,research,0,0
scientist,discovery,0,0
scientist,experiment,0,0
experiment,datum,0,0
experiment,result,0,0
experiment,hypothesis,0,0
failure,mistake,-1,-1
failure,error,-1,-1
failure,lesson,-1,0
literature,book,0,-1
literature,story,0,0
literature,read,0,0
society,community,0,0
society,culture,0,0
society,interaction,0,0
creativity,innovation,0,0
creativity,imagination,0,0
creativity,originality,0,0
number,math,-1,0
number,calculation,-1,-1
number,statistic,-1,0
chatgpt,ai,0,0
chatgpt,language,0,0
chatgpt,technology,0,0
datum,information,0,0
datum,analysis,0,0
datum,research,0,0
philosophy,think,0,0
philosophy,reasoning,0,0
philosophy,ethic,0,0
grade,score,-1,0
grade,result,-1,-1
grade,performance,-1,0
llm,ai,0,0
llm,model,0,0
llm,language,0,0
stem,science,0,0
stem,engineering,0,0
stem,math,0,0
exam,test,-1,-1
exam,quiz,-1,-1
exam,stress,-1,-1
informatic,computer,0,0
informatic,programming,0,0
informatic,algorithm,0,0
anxiety,fear,-1,-1
anxiety,worry,-1,-1
anxiety,stress,-1,-1
classroom,teacher,0,0
classroom,student,0,0
classroom,learn,0,0
teamwork,collaboration,0,0
teamwork,group,0,0
teamwork,support,0,0
chemistry,molecule,0,0
chemistry,reaction,0,0
chemistry,lab,0,0
job,career,0,0
job,work,0,0
job,employment,0,0
success,achievement,0,0
success,goal,0,0
success,progress,0,0
teacher,instructor,0,0
teacher,mentor,0,0
teacher,education,0,0
ai,intelligence,0,0
ai,technology,0,0
ai,automation,0,0
future,prospect,0,0
future,potential,0,0
future,opportunity,0,0
problem - solve,solution,0,0
problem - solve,strategy,0,0
problem - solve,critical,0,0
variable,unknown,-1,-1
variable,factor,-1,-1
variable,change,-1,-1
science,experiment,0,0
science,discovery,0,0
science,theory,0,0
student,learn,0,0
student,education,0,0
student,academic,0,0
music,song,0,0
music,melody,0,0
music,rhythm,0,0
logic,reason,0,0
logic,structure,0,0
logic,deduction,0,0
