cue_word,association_word,cue_valence,associated_valence
history,war,-1,-1
history,past,-1,0
history,learn,-1,1
success,achievement,1,1
success,happiness,1,1
success,wealth,1,0
teamwork,collaboration,1,1
teamwork,support,1,1
teamwork,unity,1,1
blackboard,chalk,0,-1
blackboard,lesson,0,0
blackboard,classroom,0,0
society,community,0,1
society,culture,0,0
society,rule,0,-1
variable,change,-1,-1
variable,unknown,-1,-1
variable,flexibility,-1,0
proof,evidence,1,1
proof,mathematic,1,0
proof,truth,1,1
model,design,0,0
model,representation,0,0
model,simulation,0,-1
number,math,0,0
number,count,0,-1
number,datum,0,0
teacher,learn,1,1
teacher,knowledge,1,1
teacher,guidance,1,1
experiment,science,0,0
experiment,discovery,0,1
experiment,risk,0,-1
creativity,innovation,1,1
creativity,art,1,0
creativity,imagination,1,1
class,student,0,0
class,learn,0,1
class,subject,0,-1
science,research,1,1
science,discovery,1,1
science,experiment,1,0
future,hope,0,1
future,uncertainty,0,-1
future,progress,0,1
mathematic,number,0,0
mathematic,logic,0,0
mathematic,problem,0,-1
chatgpt,ai,0,0
chatgpt,technology,0,0
chatgpt,conversation,0,-1
algorithm,code,0,0
algorithm,solution,0,1
algorithm,logic,0,0
study,learn,1,1
study,book,1,0
study,focus,1,0
theorem,proof,1,1
theorem,mathematic,1,0
theorem,truth,1,1
datum,information,0,0
datum,analysis,0,0
datum,number,0,0
student,learn,1,1
student,knowledge,1,1
student,future,1,0
physics,science,0,0
physics,law,0,-1
physics,energy,0,0
professor,teacher,1,1
professor,knowledge,1,1
professor,research,1,0
philosophy,think,0,0
philosophy,mean,0,0
philosophy,question,0,-1
exam,stress,-1,-1
exam,study,-1,0
exam,grade,-1,-1
scientist,research,1,0
scientist,discovery,1,1
scientist,lab,1,0
failure,loss,-1,-1
failure,mistake,-1,-1
failure,regret,-1,-1
problem - solve,logic,0,0
problem - solve,solution,0,1
problem - solve,think,0,0
logic,reasoning,0,0
logic,math,0,-1
logic,structure,0,0
anxiety,fear,-1,-1
anxiety,worry,-1,-1
anxiety,nervousness,-1,-1
classroom,learn,0,1
classroom,teacher,0,0
classroom,student,0,-1
literature,book,1,1
literature,poetry,1,1
literature,story,1,0
job,work,-1,-1
job,salary,-1,0
job,career,-1,0
music,song,1,1
music,melody,1,1
music,rhythm,1,0
grade,exam,-1,-1
grade,school,-1,-1
grade,performance,-1,-1
lecture,teach,0,0
lecture,student,0,-1
lecture,knowledge,0,1
llm,language,0,0
llm,model,0,-1
llm,ai,0,0
homework,study,-1,0
homework,task,-1,-1
homework,school,-1,-1
computation,math,-1,-1
computation,calculation,-1,-1
computation,datum,-1,0
stem,science,1,1
stem,technology,1,1
stem,engineering,1,0
equation,math,-1,-1
equation,solution,-1,0
equation,variable,-1,-1
informatic,datum,0,0
informatic,computer,0,-1
informatic,information,0,0
work,job,-1,-1
work,effort,-1,-1
work,productivity,-1,0
art,paint,1,1
art,creativity,1,1
art,beauty,1,1
biology,life,0,1
biology,cell,0,-1
biology,nature,0,1
ai,technology,0,0
ai,future,0,0
ai,machine,0,-1
career,job,0,-1
career,growth,0,1
career,success,0,1
knowledge,learn,1,1
knowledge,education,1,0
knowledge,wisdom,1,1
chemistry,reaction,-1,-1
chemistry,element,-1,-1
chemistry,lab,-1,0
