cue_word,association_word,cue_valence,associated_valence
datum,fact,0,0
datum,information,0,0
datum,pattern,0,0
model,theory,0,0
model,simulation,0,0
model,representation,0,0
logic,reasoning,0,0
logic,structure,0,0
logic,deduction,0,0
job,work,0,0
job,task,0,0
job,career,0,0
blackboard,chalk,0,0
blackboard,write,0,0
blackboard,note,0,0
lecture,class,0,0
lecture,talk,0,0
lecture,presentation,0,0
student,classroom,0,0
student,school,0,0
student,learn,0,0
chatgpt,chat,0,0
chatgpt,response,0,0
chatgpt,ai,0,0
number,figure,0,0
number,quantity,0,0
number,math,0,0
chemistry,molecule,0,0
chemistry,reaction,0,0
chemistry,lab,0,0
experiment,test,0,0
experiment,procedure,0,0
experiment,result,0,0
exam,test,-1,-1
exam,quiz,-1,-1
exam,result,-1,-1
ai,intelligence,0,0
ai,algorithm,0,0
ai,technology,0,0
equation,math,0,0
equation,solution,0,0
equation,formula,0,0
science,research,0,0
science,discovery,0,0
science,inquiry,0,0
homework,task,-1,-1
homework,assignment,-1,-1
homework,practice,-1,-1
teacher,instructor,0,0
teacher,guide,0,0
teacher,class,0,0
theorem,proof,0,0
theorem,conclusion,0,0
theorem,math,0,0
future,plan,0,0
future,opportunity,0,0
future,uncertainty,0,0
grade,score,-1,-1
grade,mark,-1,-1
grade,result,-1,-1
informatic,compute,0,0
informatic,software,0,0
informatic,digital,0,0
knowledge,fact,0,0
knowledge,understand,0,0
knowledge,wisdom,0,0
creativity,imagination,0,0
creativity,innovation,0,0
creativity,art,0,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
llm,language,0,0
llm,model,0,0
llm,text,0,0
professor,knowledge,0,1
professor,teach,0,0
professor,guidance,0,0
history,past,0,-1
history,event,0,0
history,lesson,0,0
failure,mistake,-1,0
failure,setback,-1,-1
failure,learn,-1,0
mathematic,logic,0,1
mathematic,equation,0,0
mathematic,problem,0,0
proof,evidence,1,0
proof,validity,1,1
proof,certainty,1,1
classroom,lecture,0,0
classroom,discuss,0,0
classroom,group,0,0
biology,life,0,0
biology,cell,0,0
biology,evolution,0,0
society,culture,0,0
society,community,0,0
society,influence,0,-1
music,song,1,0
music,note,1,0
music,rhythm,1,0
scientist,research,0,1
scientist,experiment,0,0
scientist,discovery,0,1
success,achievement,1,1
success,goal,1,0
success,progress,1,0
computation,datum,0,0
computation,processing,0,0
computation,code,0,0
algorithm,step,0,0
algorithm,sequence,0,0
algorithm,logic,0,1
literature,book,0,0
literature,story,0,0
literature,write,0,1
physics,force,0,0
physics,energy,0,0
physics,law,0,1
problem - solve,solution,1,1
problem - solve,think,1,0
problem - solve,approach,1,0
class,room,0,-1
class,student,0,0
class,teacher,0,0
work,job,0,0
work,task,0,0
work,effort,0,0
art,paint,1,0
art,creativity,1,1
art,expression,1,0
stem,science,0,1
stem,technology,0,0
stem,engineering,0,0
philosophy,question,0,1
philosophy,think,0,1
philosophy,ethic,0,0
variable,change,0,0
variable,factor,0,0
variable,input,0,0
study,read,0,0
study,note,0,0
study,exam,0,-1
career,job,0,0
career,path,0,0
career,growth,0,1
teamwork,collaboration,0,1
teamwork,support,0,0
teamwork,group,0,0
