cue_word,association_word,cue_valence,associated_valence
homework,stress,-1,-1
homework,book,-1,0
homework,deadline,-1,-1
future,uncertainty,0,-1
future,opportunity,0,1
future,growth,0,1
music,melody,1,0
music,emotion,1,0
music,harmony,1,0
creativity,innovation,1,1
creativity,art,1,0
creativity,freedom,1,1
literature,story,0,0
literature,imagination,0,0
literature,language,0,0
number,maths,-1,-1
number,logic,-1,0
number,datum,-1,-1
llm,technology,0,0
llm,learn,0,1
llm,future,0,0
knowledge,wisdom,1,1
knowledge,education,1,0
knowledge,power,1,0
professor,teacher,0,0
professor,lecture,0,0
professor,expertise,0,1
proof,evidence,0,0
proof,maths,0,-1
proof,logic,0,0
class,student,0,0
class,learn,0,0
class,teacher,0,0
student,learn,0,0
student,exam,0,-1
student,future,0,0
grade,score,-1,0
grade,performance,-1,0
grade,stress,-1,-1
career,job,0,0
career,growth,0,1
career,success,0,1
exam,test,-1,-1
exam,stress,-1,-1
exam,preparation,-1,0
datum,information,0,0
datum,analysis,0,0
datum,number,0,-1
logic,reasoning,0,0
logic,maths,0,-1
logic,problem,0,-1
mathematic,number,-1,-1
mathematic,logic,-1,0
mathematic,difficulty,-1,-1
equation,maths,-1,-1
equation,solution,-1,0
equation,problem,-1,-1
art,creativity,1,1
art,beauty,1,1
art,expression,1,0
job,work,0,-1
job,career,0,0
job,income,0,0
stem,science,0,0
stem,maths,0,-1
stem,technology,0,0
model,design,0,0
model,representation,0,0
model,simulation,0,-1
science,experiment,1,0
science,discovery,1,1
science,knowledge,1,1
blackboard,class,0,0
blackboard,teacher,0,0
blackboard,chalk,0,-1
work,stress,0,-1
work,money,0,0
work,routine,0,0
biology,cell,0,0
biology,life,0,1
biology,exam,0,-1
success,achievement,1,1
success,happiness,1,1
success,recognition,1,0
classroom,learn,0,0
classroom,teacher,0,0
classroom,boredom,0,-1
chemistry,reaction,0,0
chemistry,element,0,0
chemistry,experiment,0,0
failure,disappointment,-1,-1
failure,learn,-1,0
failure,shame,-1,-1
variable,change,0,0
variable,uncertainty,0,-1
variable,flexibility,0,0
society,people,0,0
society,rule,0,0
society,community,0,0
physics,law,0,0
physics,energy,0,1
physics,mathematic,0,0
experiment,discovery,0,1
experiment,hypothesis,0,0
experiment,risk,0,-1
study,knowledge,0,1
study,effort,0,0
study,time,0,0
philosophy,thought,0,0
philosophy,mean,0,1
philosophy,question,0,0
history,past,0,0
history,event,0,0
history,learn,0,0
problem - solve,logic,1,1
problem - solve,challenge,1,0
problem - solve,solution,1,1
lecture,teacher,0,0
lecture,note,0,0
lecture,sleep,0,-1
teamwork,collaboration,1,1
teamwork,support,1,1
teamwork,conflict,1,-1
theorem,proof,0,0
theorem,mathematic,0,0
theorem,logic,0,1
chatgpt,ai,0,0
chatgpt,conversation,0,0
chatgpt,help,0,1
scientist,research,1,1
scientist,discovery,1,1
scientist,knowledge,1,1
informatic,datum,0,0
informatic,computer,0,0
informatic,algorithm,0,0
teacher,learn,1,1
teacher,knowledge,1,1
teacher,patience,1,0
ai,technology,0,0
ai,future,0,0
ai,ethic,0,0
computation,calculation,0,0
computation,logic,0,1
computation,algorithm,0,0
anxiety,fear,-1,-1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
algorithm,logic,0,1
algorithm,computation,0,0
algorithm,solution,0,0
