cue_word,association_word,cue_valence,associated_valence
computation,logic,0,0
computation,algorithm,0,0
computation,calculator,0,0
datum,information,0,0
datum,analysis,0,0
datum,database,0,0
job,work,0,0
job,career,0,0
job,salary,0,0
variable,change,0,-1
variable,flexibility,0,0
variable,constant,0,0
philosophy,think,0,0
philosophy,wisdom,0,1
philosophy,ethic,0,0
knowledge,learn,1,0
knowledge,education,1,0
knowledge,truth,1,0
chemistry,reaction,0,-1
chemistry,element,0,0
chemistry,laboratory,0,0
work,effort,0,0
work,productivity,0,0
work,job,0,0
failure,mistake,-1,-1
failure,loss,-1,-1
failure,disappointment,-1,-1
literature,book,0,0
literature,poetry,0,1
literature,fiction,0,0
teacher,education,0,0
teacher,guidance,0,0
teacher,knowledge,0,1
grade,score,0,-1
grade,evaluation,0,0
grade,performance,0,0
proof,evidence,0,0
proof,demonstration,0,0
proof,theorem,0,0
student,learn,0,0
student,education,0,0
student,study,0,0
llm,language,0,0
llm,model,0,0
llm,ai,0,0
physics,energy,0,0
physics,matter,0,-1
physics,law,0,0
anxiety,fear,-1,-1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
chatgpt,ai,0,0
chatgpt,conversation,0,0
chatgpt,assistant,0,0
blackboard,classroom,0,0
blackboard,teach,0,0
blackboard,lesson,0,0
ai,technology,0,0
ai,future,0,0
ai,innovation,0,1
mathematic,number,0,-1
mathematic,logic,0,0
mathematic,equation,0,-1
society,people,0,0
society,culture,0,1
society,community,0,0
homework,study,-1,0
homework,task,-1,-1
homework,school,-1,0
classroom,learn,0,0
classroom,student,0,0
classroom,teacher,0,0
scientist,research,1,0
scientist,discovery,1,1
scientist,experiment,1,0
career,growth,0,1
career,achievement,0,1
biology,life,0,0
biology,cell,0,0
history,past,0,-1
history,event,0,0
problem - solve,challenge,0,0
problem - solve,solution,0,1
theorem,proof,-1,0
theorem,math,-1,0
stem,science,0,0
stem,technology,0,1
future,hope,0,1
future,innovation,0,1
art,creativity,0,1
art,expression,0,0
number,math,0,0
number,datum,0,0
science,research,0,0
science,discovery,0,1
equation,math,0,0
equation,solution,0,1
success,achievement,1,1
success,happiness,1,1
music,sound,0,0
music,rhythm,0,0
logic,reasoning,0,0
logic,math,0,0
lecture,learn,0,0
lecture,teacher,0,0
creativity,art,1,0
creativity,innovation,1,1
study,learn,0,0
study,book,0,0
professor,teacher,0,0
professor,knowledge,0,1
informatic,datum,0,0
informatic,technology,0,1
experiment,science,0,0
experiment,discovery,0,1
teamwork,collaboration,1,1
teamwork,success,1,1
exam,test,-1,-1
exam,stress,-1,-1
class,learn,0,0
class,student,0,0
model,math,0,0
model,science,0,0
algorithm,code,0,0
algorithm,solution,0,1
