cue_word,association_word,cue_valence,associated_valence
future,hope,0,1
future,uncertainty,0,-1
scientist,research,1,0
scientist,experiment,1,0
chatgpt,ai,-1,0
chatgpt,technology,-1,1
equation,math,0,1
equation,logic,0,0
teamwork,collaboration,1,1
teamwork,cooperation,1,1
model,simulation,0,-1
model,theory,0,0
number,datum,1,0
number,statistic,1,0
llm,ai,-1,0
llm,language,-1,0
variable,parameter,0,1
variable,value,0,0
algorithm,code,-1,0
algorithm,process,-1,0
physics,science,1,1
physics,experiment,1,0
art,creativity,1,1
art,expression,1,1
philosophy,think,0,1
philosophy,idea,0,0
computation,math,-1,1
computation,algorithm,-1,-1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
ai,machine,0,-1
ai,technology,0,1
study,research,0,0
study,learn,0,1
blackboard,board,-1,-1
blackboard,teach,-1,0
student,learn,0,1
student,exam,0,-1
grade,score,-1,-1
grade,result,-1,-1
teacher,instruction,0,1
teacher,education,0,1
job,work,-1,-1
job,career,-1,0
career,work,0,-1
career,future,0,0
theorem,proof,1,1
theorem,concept,1,1
exam,test,-1,-1
exam,quizz,-1,-1
proof,truth,1,1
proof,evidence,1,0
history,past,0,-1
history,event,0,1
logic,reasoning,1,1
logic,think,1,0
music,sound,1,-1
music,emotion,1,0
classroom,school,0,-1
classroom,teach,0,1
lecture,talk,0,-1
lecture,knowledge,0,1
failure,mistake,-1,-1
failure,loss,-1,-1
informatic,computer,0,1
informatic,technology,0,0
class,group,-1,0
class,study,-1,1
science,research,1,1
science,discovery,1,1
work,job,0,-1
work,productivity,0,1
creativity,imagination,1,1
creativity,art,1,0
stem,science,1,1
stem,technology,1,0
experiment,research,0,1
experiment,test,0,-1
society,people,0,1
society,culture,0,0
biology,life,0,-1
biology,organism,0,0
literature,book,1,0
literature,story,1,1
chemistry,matter,0,-1
chemistry,reaction,0,1
success,achievement,1,1
success,win,1,1
problem - solve,solve,0,1
problem - solve,resolution,0,1
datum,information,-1,0
datum,number,-1,-1
mathematic,number,1,0
mathematic,calculus,1,-1
knowledge,learn,1,1
knowledge,wisdom,1,1
homework,study,-1,0
homework,task,-1,-1
professor,teacher,1,0
professor,expert,1,1
