cue_word,association_word,cue_valence,associated_valence
class,order,0,0
class,rule,0,0
class,structure,0,-1
study,effort,0,0
study,focus,0,0
study,progress,0,0
success,achievement,0,0
success,hope,0,0
success,goal,0,0
physics,law,0,0
physics,universe,0,0
physics,motion,0,-1
biology,life,0,0
biology,growth,0,0
biology,cell,0,-1
llm,intelligence,-1,0
llm,power,-1,0
llm,technology,-1,0
grade,score,-1,0
grade,effort,-1,0
grade,result,-1,-1
knowledge,wisdom,0,0
knowledge,understand,0,0
knowledge,truth,0,0
philosophy,question,0,0
philosophy,truth,0,0
philosophy,mind,0,0
failure,loss,-1,-1
failure,pain,-1,-1
failure,lesson,-1,0
mathematic,logic,0,0
mathematic,pattern,0,0
mathematic,proof,0,0
society,rule,0,0
society,change,0,-1
society,people,0,0
number,pattern,0,0
number,order,0,0
number,precision,0,0
teacher,guidance,0,0
teacher,knowledge,0,0
teacher,trust,0,0
algorithm,logic,0,0
algorithm,process,0,0
algorithm,speed,0,-1
art,emotion,0,0
art,expression,0,0
art,beauty,0,0
literature,story,0,0
literature,emotion,0,0
literature,humanity,0,0
proof,logic,0,0
proof,certainty,0,0
proof,truth,0,0
blackboard,write,0,0
blackboard,clarity,0,0
blackboard,idea,0,0
datum,fact,0,0
datum,analysis,0,0
datum,pattern,0,0
informatic,system,0,0
informatic,code,0,0
informatic,design,0,0
scientist,curiosity,0,0
scientist,discovery,0,0
scientist,truth,0,0
theorem,proof,0,0
theorem,logic,0,0
theorem,foundation,0,0
history,event,0,0
history,memory,0,0
history,change,0,-1
exam,stress,-1,-1
exam,pressure,-1,0
exam,test,-1,-1
anxiety,fear,-1,0
anxiety,stress,-1,0
anxiety,uncertainty,-1,-1
ai,technology,0,0
ai,automation,0,-1
ai,intelligence,0,0
variable,change,-1,0
variable,flexibility,-1,0
variable,uncertainty,-1,-1
science,discovery,0,0
science,experiment,0,0
science,truth,0,0
career,growth,0,0
career,stability,0,0
career,pressure,0,-1
computation,speed,0,0
computation,datum,0,0
computation,precision,0,0
professor,knowledge,0,0
professor,authority,0,0
professor,teach,0,0
music,emotion,0,0
music,harmony,0,0
music,joy,0,0
logic,reason,0,0
logic,structure,0,0
logic,clarity,0,0
model,representation,0,0
model,prediction,0,0
model,design,0,-1
experiment,testing,0,0
experiment,result,0,0
experiment,failure,0,-1
equation,solution,0,0
equation,math,0,0
equation,pattern,0,0
chatgpt,helpful,0,0
chatgpt,fast,0,0
chatgpt,tool,0,0
creativity,imagination,0,0
creativity,innovation,0,0
creativity,freedom,0,0
problem - solve,effort,0,0
problem - solve,strategy,0,0
problem - solve,solution,0,0
teamwork,collaboration,0,0
teamwork,support,0,0
teamwork,trust,0,0
future,hope,0,0
future,change,0,0
future,possibility,0,0
chemistry,reaction,0,0
chemistry,molecule,0,0
chemistry,bond,0,-1
student,learn,0,0
student,pressure,0,-1
student,growth,0,0
stem,innovation,0,0
stem,engineering,0,0
stem,math,0,0
homework,task,-1,-1
homework,stress,-1,0
homework,completion,-1,0
classroom,structure,0,0
classroom,rule,0,-1
classroom,learn,0,0
lecture,information,0,0
lecture,passive,0,-1
lecture,knowledge,0,0
work,effort,0,0
work,income,0,0
work,responsibility,0,0
job,stability,0,0
job,pay,0,0
job,security,0,0
