cue_word,association_word,cue_valence,associated_valence
logic,deductive,1,0
logic,rational,1,0
logic,critical,1,0
history,chronicle,0,0
history,past,0,0
history,legacy,0,0
ai,intelligent,1,1
ai,innovation,1,0
ai,learn,1,0
variable,dynamic,0,0
variable,flexible,0,0
variable,changeable,0,0
algorithm,systematic,1,0
algorithm,methodical,1,0
algorithm,process,1,0
literature,narrative,0,0
literature,poetry,0,0
literature,fiction,0,0
model,framework,0,0
model,representation,0,0
model,prototype,0,0
problem - solve,analysis,1,0
problem - solve,critical,1,0
problem - solve,puzzle,1,0
job,work,0,0
job,career,0,0
job,opportunity,0,0
number,quantity,1,0
number,calculation,1,0
number,digit,1,0
music,melody,1,0
music,harmony,1,0
music,rhythm,1,0
grade,score,0,0
grade,evaluation,0,0
grade,achievement,0,0
exam,test,0,0
exam,assessment,0,0
exam,challenge,0,0
scientist,researcher,1,0
scientist,intellectual,1,0
scientist,inventor,1,0
experiment,trial,0,0
experiment,research,0,0
experiment,analysis,0,0
blackboard,chalk,0,0
blackboard,teach,0,0
blackboard,chalkboard,0,0
informatic,datum,1,0
informatic,cod,1,0
informatic,computer,1,0
success,achievement,1,0
success,accomplishment,1,0
success,win,1,0
theorem,proof,0,0
theorem,math,0,0
theorem,deduction,0,0
classroom,learn,0,0
classroom,teach,0,0
classroom,education,0,0
equation,formula,0,0
equation,calculation,0,0
equation,balance,0,-1
philosophy,think,0,0
philosophy,ethic,0,0
philosophy,reasoning,0,0
teamwork,collaboration,0,0
teamwork,cooperation,0,0
teamwork,unity,0,0
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,nervousness,-1,-1
creativity,imagination,1,0
creativity,innovation,1,0
creativity,expression,1,0
physics,experiment,0,0
physics,theory,0,0
physics,quantum,0,0
career,ambition,0,0
career,growth,0,0
career,stability,0,0
stem,innovation,0,0
stem,logic,0,0
stem,technology,0,0
professor,knowledgeable,0,0
professor,mentor,0,0
professor,lecturer,0,0
knowledge,learn,1,1
knowledge,insight,1,0
knowledge,wisdom,1,0
failure,challenge,-1,0
failure,setback,-1,-1
failure,learn,-1,0
proof,evidence,0,0
proof,logic,0,0
proof,certainty,0,0
datum,information,0,0
datum,analysis,0,0
datum,statistic,0,0
future,potential,0,0
future,uncertainty,0,0
future,progress,0,0
art,creativity,0,1
art,expression,0,0
art,beauty,0,0
chatgpt,assistant,0,0
chatgpt,technology,0,0
chatgpt,ai,0,0
student,learner,0,0
student,curious,0,0
student,active,0,0
chemistry,reaction,0,0
chemistry,formula,0,0
chemistry,experiment,0,0
llm,language,0,0
llm,model,0,0
llm,ai,0,0
science,research,1,0
science,experiment,1,0
science,discovery,1,0
lecture,education,0,0
lecture,presentation,0,0
lecture,classroom,0,0
work,duty,0,0
work,effort,0,0
work,productivity,0,0
society,community,0,0
society,norm,0,0
society,culture,0,0
biology,life,0,1
biology,cell,0,0
biology,ecosystem,0,0
study,learn,0,1
study,exam,0,0
study,research,0,0
computation,algorithm,0,0
computation,datum,0,0
computation,programming,0,0
mathematic,logic,1,1
mathematic,problem,1,0
mathematic,formula,1,0
homework,assignment,0,0
homework,practice,0,0
homework,study,0,0
teacher,instructor,0,0
teacher,guide,0,0
teacher,mentor,0,0
class,room,0,0
class,session,0,0
class,education,0,0
