cue_word,association_word,cue_valence,associated_valence
work,effort,0,0
work,goal,0,1
work,task,0,0
equation,complexity,0,-1
equation,solution,0,0
equation,balance,0,0
physics,law,0,1
physics,concept,0,0
physics,experiment,0,0
grade,score,0,0
grade,assessment,0,0
grade,progress,0,0
blackboard,chalk,0,-1
blackboard,note,0,0
blackboard,learn,0,1
proof,logic,0,1
proof,verification,0,0
proof,rigor,0,0
science,knowledge,1,1
science,research,1,0
science,discovery,1,0
llm,artificial intelligence,0,-1
llm,language model,0,0
llm,learn,0,0
career,goal,0,1
career,pathway,0,0
career,success,0,0
classroom,learn,0,1
classroom,discipline,0,0
classroom,community,0,0
class,structure,0,0
class,routine,0,0
class,education,0,1
experiment,testing,0,0
experiment,hypothesis,0,0
experiment,result,0,0
teacher,guidance,0,0
teacher,mentorship,0,0
teacher,knowledge,0,1
failure,learn,-1,0
failure,growth,-1,0
failure,resilience,-1,0
homework,assignment,-1,0
homework,practice,-1,0
homework,task,-1,0
mathematic,calculation,0,0
mathematic,logic,0,1
mathematic,pattern,0,0
art,creativity,0,1
art,expression,0,0
art,beauty,0,1
computation,algorithm,0,-1
computation,datum,0,0
computation,processing,0,0
professor,lecture,0,0
professor,research,0,0
professor,authority,0,1
informatic,compute,0,-1
informatic,software,0,0
informatic,system,0,0
student,learn,0,1
student,growth,0,0
student,potential,0,0
creativity,imagination,1,1
creativity,innovation,1,0
creativity,originality,1,0
biology,life,0,1
biology,ecology,0,0
biology,research,0,0
scientist,discovery,0,0
scientist,experimentation,0,0
scientist,knowledge,0,1
stem,science,0,1
stem,technology,0,0
stem,engineering,0,0
society,organization,0,0
society,community,0,0
society,culture,0,-1
literature,book,0,1
literature,art,0,0
literature,write,0,0
job,career,0,0
job,work,0,0
job,profession,0,0
future,possibility,0,0
future,change,0,0
future,development,0,0
logic,reasoning,1,1
logic,analysis,1,1
logic,deduction,1,1
study,learn,1,1
study,research,1,0
study,education,1,0
philosophy,think,0,0
philosophy,wisdom,0,0
philosophy,ideology,0,-1
algorithm,process,1,0
algorithm,formula,1,0
algorithm,method,1,0
knowledge,information,1,1
knowledge,understand,1,1
knowledge,expertise,1,0
anxiety,stress,-1,-1
anxiety,worry,-1,0
anxiety,fear,-1,-1
exam,test,0,0
exam,assessment,0,0
exam,evaluation,0,0
theorem,principle,1,0
theorem,law,1,0
theorem,rule,1,0
music,melody,0,0
music,sound,0,0
music,art,0,0
problem - solve,critical thinking,1,1
problem - solve,solution,1,1
problem - solve,strategy,1,0
model,representation,0,0
model,example,0,0
model,framework,0,0
datum,information,1,1
datum,number,1,0
datum,statistic,1,0
success,achievement,1,1
success,prosperity,1,0
success,accomplishment,1,0
history,past,0,0
history,event,0,0
history,timeline,0,-1
lecture,presentation,0,0
lecture,speech,0,0
lecture,teach,0,0
teamwork,collaboration,1,1
teamwork,cooperation,1,1
teamwork,partnership,1,0
chatgpt,ai,0,1
chatgpt,assistant,0,0
chatgpt,language model,0,-1
ai,artificial intelligence,1,1
ai,machine learn,1,0
ai,automation,1,0
variable,changeable,0,0
variable,factor,0,0
variable,parameter,0,0
number,digit,0,0
number,mathematic,0,1
number,calculation,0,0
chemistry,element,0,0
chemistry,science,0,0
chemistry,reaction,0,0
