cue_word,association_word,cue_valence,associated_valence
computation,algorithm,0,0
computation,datum,0,1
computation,code,0,0
history,timeline,-1,0
history,past,-1,-1
history,legacy,-1,0
model,simulation,0,0
model,theory,0,1
model,representation,0,0
logic,proof,0,0
logic,rule,0,-1
logic,reasoning,0,1
society,people,0,0
society,culture,0,-1
society,system,0,0
informatic,tech,0,1
informatic,ai,0,0
informatic,cyber,0,-1
physics,energy,0,0
physics,force,0,-1
physics,particle,0,0
lecture,talk,0,-1
lecture,teach,0,1
lecture,classroom,0,0
art,creativity,1,1
art,aesthetic,1,0
art,expression,1,0
equation,math,-1,-1
equation,solution,-1,0
equation,balance,-1,0
homework,study,-1,-1
homework,work,-1,-1
homework,grind,-1,-1
classroom,school,0,-1
classroom,teach,0,0
classroom,learn,0,1
literature,book,0,-1
literature,story,0,0
literature,word,0,0
blackboard,chalk,-1,-1
blackboard,note,-1,0
blackboard,teach,-1,0
philosophy,think,0,1
philosophy,idea,0,0
philosophy,debate,0,-1
proof,logic,0,0
proof,validity,0,1
proof,evidence,0,-1
teamwork,collab,0,1
teamwork,group,0,0
teamwork,coop,0,0
job,work,-1,-1
job,career,-1,0
job,pay,-1,-1
failure,mistake,-1,-1
failure,error,-1,-1
failure,loss,-1,-1
class,group,0,0
class,meet,0,-1
class,study,0,1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,nervous,-1,-1
experiment,test,0,-1
experiment,lab,0,0
experiment,datum,0,1
mathematic,number,-1,-1
mathematic,maths,-1,-1
mathematic,logic,-1,0
stem,science,0,0
stem,tech,0,1
stem,engineering,0,-1
chatgpt,ai,0,-1
chatgpt,chat,0,0
chatgpt,help,0,1
science,logic,0,1
science,discovery,0,0
science,curiosity,0,1
ai,intelligence,0,0
ai,automation,0,-1
ai,future,0,0
llm,language,0,1
llm,learn,0,0
llm,code,0,0
career,work,0,0
career,growth,0,0
career,future,0,0
chemistry,element,0,1
chemistry,molecule,0,0
chemistry,experiment,0,0
scientist,researcher,0,1
scientist,discoverer,0,0
scientist,lab,0,0
biology,life,0,1
biology,cell,0,0
biology,nature,0,0
success,achievement,1,1
success,pride,1,0
success,reward,1,0
creativity,innovation,1,1
creativity,art,1,0
creativity,imagination,1,1
theorem,proof,0,0
theorem,logic,0,1
theorem,truth,0,1
music,sound,0,0
music,rhythm,0,0
music,emotion,0,0
algorithm,logic,-1,1
algorithm,code,-1,0
algorithm,pattern,-1,0
datum,number,0,0
datum,information,0,0
datum,analysis,0,0
professor,teacher,0,1
professor,knowledge,0,1
professor,lecture,0,0
work,job,0,0
work,effort,0,-1
work,productivity,0,0
grade,score,-1,0
grade,academic,-1,0
grade,performance,-1,-1
study,learn,0,1
study,research,0,0
study,book,0,0
teacher,guide,1,1
teacher,education,1,1
teacher,mentor,1,0
student,learn,0,1
student,exam,0,-1
student,future,0,0
problem - solve,logic,0,1
problem - solve,challenge,0,0
problem - solve,solve,0,0
number,math,-1,0
number,datum,-1,0
number,calculation,-1,-1
future,tomorrow,0,0
future,possibility,0,0
future,change,0,0
knowledge,wisdom,1,1
knowledge,info,1,0
knowledge,learn,1,1
exam,test,-1,0
exam,score,-1,-1
exam,stress,-1,-1
variable,change,-1,0
variable,factor,-1,0
variable,equation,-1,-1
