cue_word,association_word,cue_valence,associated_valence
chatgpt,assistant,1,0
chatgpt,knowledge,1,1
chatgpt,response,1,0
problem - solve,logic,0,1
problem - solve,challenge,0,0
problem - solve,creativity,0,1
teacher,mentor,0,1
teacher,guide,0,0
teacher,instruction,0,0
proof,evidence,0,1
proof,certainty,0,0
proof,argument,0,0
failure,mistake,-1,-1
failure,setback,-1,-1
failure,defeat,-1,-1
professor,expert,0,1
professor,scholar,0,0
professor,authority,0,0
philosophy,think,0,1
philosophy,wisdom,0,0
philosophy,existence,0,0
number,math,0,0
number,count,0,0
number,logic,0,1
physics,energy,0,1
physics,motion,0,0
physics,force,0,0
success,achievement,1,1
success,goal,1,0
success,triumph,1,1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,nervousness,-1,-1
homework,assignment,0,0
homework,study,0,0
homework,duty,0,0
science,experiment,1,0
science,research,1,1
science,discovery,1,1
mathematic,calculation,0,0
mathematic,theorem,0,0
mathematic,formula,0,0
job,work,0,0
job,career,0,0
job,duty,0,0
teamwork,collaboration,1,1
teamwork,cooperation,1,1
teamwork,unity,1,0
computation,calculation,0,0
computation,logic,0,1
computation,algorithm,0,0
model,representation,0,0
model,framework,0,0
model,prototype,0,0
stem,science,1,1
stem,technology,1,1
stem,engineering,1,0
biology,life,0,1
biology,cell,0,0
biology,organism,0,0
future,possibility,0,0
future,vision,0,1
future,hope,0,1
work,effort,0,0
work,duty,0,0
work,productivity,0,0
music,melody,1,1
music,harmony,1,1
music,rhythm,1,1
literature,story,0,0
literature,novel,0,0
literature,poetry,0,0
history,past,0,0
history,heritage,0,0
history,record,0,0
society,community,0,1
society,culture,0,0
society,cooperation,0,1
scientist,research,0,0
scientist,inventor,0,0
scientist,laboratory,0,0
llm,assistant,0,0
llm,language,0,0
llm,model,0,0
ai,intelligence,0,1
ai,technology,0,0
ai,automation,0,0
grade,rank,0,0
grade,score,0,0
grade,level,0,0
informatic,compute,0,0
informatic,datum,0,0
informatic,science,0,1
career,job,0,0
career,profession,0,0
career,path,0,0
datum,information,0,0
datum,analysis,0,0
datum,statistic,0,0
chemistry,element,0,0
chemistry,reaction,0,0
chemistry,compound,0,0
blackboard,chalk,0,-1
blackboard,teach,0,0
blackboard,classroom,0,0
equation,formula,0,0
equation,math,0,0
equation,balance,0,0
classroom,learn,0,1
classroom,teacher,0,0
classroom,student,0,0
experiment,research,0,0
experiment,testing,0,0
experiment,hypothesis,0,0
study,learn,0,1
study,research,0,0
study,focus,0,0
class,group,0,0
class,lesson,0,0
class,attendance,0,0
creativity,imagination,1,1
creativity,innovation,1,1
creativity,art,1,0
variable,change,0,0
variable,factor,0,0
variable,unknown,0,0
knowledge,learn,1,1
knowledge,information,1,0
knowledge,wisdom,1,1
logic,reasoning,0,0
logic,rational,0,0
logic,analysis,0,0
theorem,proof,0,0
theorem,math,0,0
theorem,concept,0,0
algorithm,process,0,0
algorithm,code,0,0
algorithm,solution,0,0
exam,test,0,0
exam,challenge,0,0
exam,pressure,0,-1
art,creativity,0,1
art,expression,0,0
art,medium,0,0
lecture,teach,0,0
lecture,presentation,0,0
lecture,speaker,0,0
student,learner,0,0
student,education,0,0
student,youth,0,0
