cue_word,association_word,cue_valence,associated_valence
mathematic,number,0,0
mathematic,equation,0,0
mathematic,logic,0,1
chatgpt,ai,0,0
chatgpt,chat,0,0
chatgpt,helpful,0,1
exam,stress,-1,-1
exam,grade,-1,0
exam,test,-1,-1
biology,cell,0,0
biology,life,0,1
biology,science,0,0
career,job,0,0
career,future,0,0
career,work,0,0
teacher,mentor,0,1
teacher,guide,0,1
teacher,educator,0,0
science,research,0,0
science,experiment,0,0
science,truth,0,1
failure,mistake,-1,-1
failure,learn,-1,0
failure,setback,-1,-1
philosophy,think,0,0
philosophy,ethic,0,1
philosophy,wisdom,0,1
algorithm,code,0,0
algorithm,logic,0,1
algorithm,pattern,0,0
stem,science,0,0
stem,tech,0,0
stem,engineering,0,0
logic,reasoning,1,1
logic,deduction,1,0
logic,truth,1,1
history,past,0,0
history,event,0,0
history,culture,0,0
homework,work,-1,0
homework,study,-1,0
homework,assignment,-1,-1
knowledge,learn,1,1
knowledge,understand,1,0
knowledge,wisdom,1,1
variable,math,0,0
variable,datum,0,0
variable,change,0,0
informatic,datum,0,0
informatic,compute,0,0
informatic,science,0,0
chemistry,element,0,0
chemistry,reaction,0,0
chemistry,lab,0,0
anxiety,worry,-1,-1
anxiety,fear,-1,-1
anxiety,stress,-1,-1
study,learn,0,1
study,education,0,0
study,research,0,0
success,achievement,1,1
success,goal,1,0
success,win,1,1
society,community,0,0
society,people,0,0
society,culture,0,0
classroom,school,0,0
classroom,learn,0,1
classroom,education,0,0
literature,book,0,0
literature,story,0,0
literature,write,0,0
scientist,researcher,0,0
scientist,innovator,0,1
scientist,discoverer,0,1
job,career,0,0
job,work,0,0
job,role,0,0
proof,logic,1,1
proof,truth,1,1
proof,math,1,1
physics,science,0,0
physics,nature,0,0
physics,law,0,0
professor,teacher,0,0
professor,mentor,0,0
professor,expert,0,0
problem - solve,logic,1,1
problem - solve,strategy,1,0
problem - solve,analysis,1,0
class,learn,0,0
class,education,0,0
class,group,0,0
grade,score,-1,0
grade,result,-1,0
grade,performance,-1,0
theorem,math,1,1
theorem,proof,1,1
theorem,logic,1,1
teamwork,collaboration,0,0
teamwork,cooperation,0,0
teamwork,unity,0,0
experiment,science,0,0
experiment,research,0,0
experiment,testing,0,0
llm,ai,0,0
llm,model,0,0
llm,intelligence,0,0
number,math,0,0
number,quantity,0,0
number,datum,0,0
blackboard,chalk,0,-1
blackboard,write,0,0
blackboard,teach,0,0
work,labor,0,0
work,effort,0,0
work,career,0,0
art,creativity,1,1
art,expression,1,0
art,beauty,1,1
datum,information,0,0
datum,analysis,0,0
datum,number,0,0
equation,math,0,0
equation,formula,0,0
equation,logic,0,0
music,sound,1,0
music,emotion,1,0
music,art,1,1
student,learner,0,0
student,pupil,0,0
student,scholar,0,0
future,tomorrow,0,0
future,hope,0,1
future,progress,0,0
ai,technology,0,0
ai,intelligence,0,0
ai,automation,0,0
computation,math,0,0
computation,calculation,0,0
computation,processing,0,0
creativity,innovation,1,1
creativity,art,1,1
creativity,imagination,1,1
lecture,teach,0,0
lecture,classroom,0,0
lecture,presentation,0,0
model,simulation,0,0
model,theory,0,0
model,representation,0,0
