cue_word,association_word,cue_valence,associated_valence
chatgpt,intelligence,1,0
chatgpt,helpfulness,1,1
chatgpt,accuracy,1,1
stem,science,1,0
stem,math,1,1
stem,engineering,1,0
classroom,teach,0,1
classroom,learn,0,1
classroom,discipline,0,-1
equation,math,-1,1
equation,problem,-1,-1
equation,solution,-1,0
art,creativity,1,1
art,expression,1,0
art,aesthetic,1,0
logic,reasoning,1,1
logic,structure,1,0
logic,analysis,1,0
informatic,compute,0,1
informatic,datum,0,0
informatic,algorithm,0,1
study,learn,0,1
study,effort,0,-1
study,focus,0,0
student,education,0,1
student,academic,0,0
student,growth,0,1
failure,lesson,-1,0
failure,improvement,-1,1
failure,chance,-1,-1
exam,test,-1,0
exam,pressure,-1,-1
exam,result,-1,-1
future,potential,0,1
future,opportunity,0,1
future,uncertainty,0,-1
literature,read,0,1
literature,story,0,0
literature,analysis,0,0
job,career,0,1
job,income,0,-1
job,stability,0,0
music,sing,1,0
music,rhythm,1,0
music,emotion,1,1
biology,life,0,1
biology,cell,0,-1
biology,genetic,0,0
professor,teach,1,1
professor,knowledge,1,1
professor,guidance,1,0
computation,algorithm,0,1
computation,processing,0,0
computation,speed,0,1
model,simulation,0,1
model,prediction,0,1
model,representation,0,0
history,past,0,-1
history,event,0,0
history,lesson,0,1
success,achievement,1,1
success,goal,1,0
success,happiness,1,1
work,effort,0,-1
work,productivity,0,1
work,task,0,-1
physics,law,0,0
physics,energy,0,1
physics,motion,0,0
teamwork,collaboration,1,1
teamwork,support,1,1
teamwork,communication,1,0
experiment,testing,0,1
experiment,datum,0,0
experiment,result,0,0
class,discipline,0,-1
class,education,0,0
class,academic,0,0
algorithm,process,0,0
algorithm,step,0,-1
algorithm,math,0,0
llm,model,0,0
llm,intelligent,0,0
llm,language,0,0
society,community,0,0
society,culture,0,0
society,interaction,0,-1
chemistry,molecule,0,0
chemistry,reaction,0,-1
chemistry,element,0,0
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,worry,-1,-1
homework,task,-1,-1
homework,study,-1,0
homework,assignment,-1,-1
career,job,0,0
career,profession,0,0
career,growth,0,0
science,experiment,0,0
science,research,0,0
science,discovery,0,0
philosophy,think,0,0
philosophy,question,0,0
philosophy,reason,0,0
ai,intelligence,0,0
ai,technology,0,0
ai,system,0,0
grade,score,-1,0
grade,mark,-1,-1
grade,result,-1,-1
proof,logic,0,0
proof,evidence,0,0
proof,math,0,0
problem - solve,strategy,0,0
problem - solve,approach,0,0
problem - solve,skill,0,0
theorem,math,0,0
theorem,proof,0,0
theorem,statement,0,0
blackboard,chalk,-1,-1
blackboard,write,-1,0
blackboard,classroom,-1,0
scientist,researcher,0,0
scientist,experiment,0,0
scientist,discovery,0,0
creativity,imagination,0,0
creativity,innovation,0,0
creativity,art,0,0
teacher,instructor,0,0
teacher,education,0,0
teacher,guidance,0,0
knowledge,information,0,0
knowledge,understand,0,0
knowledge,learn,0,0
mathematic,equation,0,0
mathematic,calculation,0,0
mathematic,logic,0,0
lecture,presentation,0,0
lecture,classroom,0,0
lecture,talk,0,0
variable,unknown,0,0
variable,change,0,0
variable,math,0,0
datum,information,0,0
datum,collection,0,0
datum,analysis,0,0
number,digit,0,0
number,value,0,0
number,math,0,0
