cue_word,association_word,cue_valence,associated_valence
creativity,innovation,1,0
creativity,art,1,0
creativity,imagination,1,1
class,education,0,0
class,student,0,0
class,teacher,0,0
philosophy,think,0,0
philosophy,ethic,0,0
philosophy,knowledge,0,1
teamwork,collaboration,1,1
teamwork,communication,1,1
teamwork,success,1,1
logic,reasoning,0,0
logic,mathematic,0,0
logic,problem,0,-1
art,creativity,1,1
art,expression,1,1
art,beauty,1,1
computation,algorithm,0,0
computation,datum,0,0
computation,programming,0,0
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,worry,-1,-1
future,hope,0,1
future,progress,0,1
future,uncertainty,0,-1
mathematic,number,0,0
mathematic,logic,0,0
mathematic,problem,0,-1
datum,information,0,0
datum,analysis,0,0
datum,insight,0,0
llm,language,0,0
llm,model,0,0
llm,learn,0,0
model,simulation,0,0
model,prediction,0,0
model,datum,0,0
blackboard,classroom,0,0
blackboard,teach,0,0
blackboard,lesson,0,0
science,experiment,1,0
science,discovery,1,1
science,knowledge,1,1
lecture,teach,0,0
lecture,learn,0,0
lecture,education,0,0
career,job,0,0
career,growth,0,1
career,success,0,1
biology,life,0,1
biology,cell,0,0
biology,evolution,0,0
history,past,0,-1
history,event,0,0
history,learn,0,0
professor,teacher,0,0
professor,education,0,0
professor,knowledge,0,1
stem,science,1,1
stem,technology,1,1
stem,engineering,1,1
study,learn,0,0
study,education,0,0
study,research,0,0
success,achievement,1,1
success,goal,1,1
success,happiness,1,1
scientist,research,1,0
scientist,discovery,1,1
scientist,knowledge,1,1
society,people,0,0
society,community,0,0
society,culture,0,0
teacher,education,0,0
teacher,mentor,0,0
teacher,classroom,0,-1
homework,study,-1,-1
homework,assignment,-1,-1
homework,learn,-1,0
chatgpt,ai,0,0
chatgpt,assistant,0,0
chatgpt,technology,0,0
failure,mistake,-1,-1
failure,learn,-1,0
failure,disappointment,-1,-1
informatic,compute,0,0
informatic,datum,0,0
informatic,technology,0,0
exam,test,-1,-1
exam,study,-1,-1
exam,stress,-1,-1
work,job,-1,-1
work,effort,-1,-1
work,productivity,-1,0
grade,score,-1,-1
grade,performance,-1,-1
grade,evaluation,-1,-1
classroom,student,-1,-1
classroom,learn,-1,0
classroom,teacher,-1,0
experiment,science,0,0
experiment,research,0,0
experiment,discovery,0,1
algorithm,code,0,0
algorithm,compute,0,0
algorithm,solution,0,0
chemistry,science,0,0
chemistry,element,0,0
chemistry,reaction,0,0
student,learn,0,0
student,school,0,-1
student,knowledge,0,0
knowledge,learn,1,0
knowledge,education,1,0
knowledge,understand,1,0
theorem,math,0,0
theorem,proof,0,0
theorem,logic,0,0
variable,math,-1,0
variable,datum,-1,0
variable,unknown,-1,-1
problem - solve,logic,0,0
problem - solve,solution,0,0
problem - solve,challenge,0,-1
equation,math,0,0
equation,solution,0,0
equation,variable,0,-1
physics,science,0,0
physics,law,0,0
physics,energy,0,0
number,math,-1,0
number,datum,-1,0
number,quantity,-1,-1
ai,technology,0,0
ai,learn,0,0
ai,future,0,0
proof,math,0,0
proof,logic,0,0
proof,theorem,0,0
literature,book,0,0
literature,read,0,0
literature,knowledge,0,0
music,art,1,1
music,sound,1,1
music,emotion,1,1
job,work,-1,-1
job,career,-1,-1
job,employment,-1,-1
