cue_word,association_word,cue_valence,associated_valence
proof,evidence,-1,0
proof,certainty,-1,1
philosophy,think,0,0
philosophy,wisdom,0,1
chatgpt,ai,-1,-1
chatgpt,conversation,-1,0
mathematic,number,-1,-1
mathematic,logic,-1,-1
job,work,-1,-1
job,career,-1,0
ai,technology,-1,0
ai,intelligence,-1,1
class,school,-1,-1
class,learn,-1,0
creativity,innovation,1,1
creativity,art,1,1
science,discovery,0,1
science,research,0,0
lecture,teach,-1,0
lecture,knowledge,-1,1
exam,test,-1,-1
exam,stress,-1,-1
art,expression,1,1
art,beauty,1,1
informatic,datum,-1,0
informatic,technology,-1,0
music,harmony,1,1
music,emotion,1,1
anxiety,fear,-1,-1
anxiety,stress,-1,-1
teacher,educator,0,0
teacher,mentor,0,1
number,math,-1,-1
number,count,-1,-1
student,learn,-1,0
student,school,-1,-1
chemistry,reaction,-1,-1
chemistry,element,-1,-1
failure,loss,-1,-1
failure,disappointment,-1,-1
classroom,learn,-1,0
classroom,student,-1,0
logic,reasoning,-1,-1
logic,math,-1,-1
work,job,-1,-1
work,effort,-1,-1
experiment,science,0,0
experiment,test,0,-1
literature,book,1,1
literature,write,1,1
biology,life,0,1
biology,cell,0,0
biology,ecosystem,0,0
blackboard,classroom,-1,0
blackboard,chalk,-1,-1
blackboard,lesson,-1,0
homework,study,-1,-1
homework,assignment,-1,-1
homework,deadline,-1,-1
computation,calculate,0,0
computation,algorithm,0,0
computation,datum,0,0
stem,science,1,1
stem,technology,1,1
stem,engineering,1,1
datum,information,0,0
datum,analysis,0,0
datum,insight,0,0
professor,teacher,0,0
professor,lecture,0,-1
professor,expert,0,1
equation,math,0,0
equation,solve,0,0
equation,variable,0,0
teamwork,collaboration,1,1
teamwork,cooperation,1,1
teamwork,support,1,1
physics,energy,0,0
physics,motion,0,0
physics,gravity,0,0
success,achievement,1,1
success,goal,1,1
success,happiness,1,1
scientist,research,1,1
scientist,discovery,1,1
scientist,innovation,1,1
problem - solve,strategy,0,0
problem - solve,solution,0,0
problem - solve,challenge,0,-1
future,hope,0,1
future,progress,0,1
future,uncertainty,0,-1
variable,change,0,-1
variable,unknown,0,-1
variable,parameter,0,0
study,learn,-1,1
study,research,-1,0
study,preparation,-1,-1
theorem,proof,0,0
theorem,math,0,0
theorem,logic,0,0
model,simulation,0,0
model,prediction,0,0
model,datum,0,0
knowledge,learn,1,1
knowledge,wisdom,1,1
knowledge,understand,1,1
algorithm,code,0,0
algorithm,logic,0,0
algorithm,solution,0,0
career,job,0,-1
career,growth,0,1
career,ambition,0,0
grade,score,-1,-1
grade,evaluation,-1,-1
grade,performance,-1,-1
history,past,0,-1
history,event,0,0
history,culture,0,0
society,community,0,1
society,progress,0,1
society,change,0,-1
llm,language,0,0
llm,model,0,0
llm,intelligence,0,1
