cue_word,association_word,cue_valence,associated_valence
job,career,0,-1
job,work,0,-1
job,task,0,-1
llm,language model,1,0
llm,artificial intelligence,1,1
llm,machine learn,1,1
informatic,compute,1,1
informatic,technology,1,1
informatic,datum processing,1,0
student,learn,1,1
student,education,1,1
student,school,1,0
physics,science,1,1
physics,law,1,-1
physics,theory,1,0
success,achievement,1,1
success,goal,1,0
success,prosperity,1,0
philosophy,think,1,-1
philosophy,reasoning,1,1
philosophy,wisdom,1,1
art,creativity,1,1
art,beauty,1,0
art,expression,1,0
proof,evidence,1,0
proof,verification,1,1
proof,logic,1,1
variable,factor,1,-1
variable,unknown,1,-1
variable,condition,1,-1
equation,mathematical,1,1
equation,formula,1,0
equation,balance,1,0
blackboard,chalk,0,-1
blackboard,note,0,0
blackboard,learn aid,0,0
homework,assignment,-1,-1
homework,task,-1,-1
homework,practice,-1,0
computation,calculate,1,0
computation,processing,1,0
computation,algorithm,1,1
failure,mistake,-1,-1
failure,setback,-1,-1
failure,error,-1,-1
number,digit,1,0
number,figure,1,0
number,mathematic,1,1
chemistry,element,1,0
chemistry,reaction,1,0
chemistry,matter,1,-1
ai,artificial intelligence,1,1
ai,machine learn,1,1
ai,intelligence,1,0
teamwork,collaboration,1,1
teamwork,partnership,1,1
teamwork,cooperation,1,1
model,representation,1,1
model,example,1,0
model,simulation,1,-1
study,learn,1,1
study,research,1,0
study,analysis,1,0
science,knowledge,1,1
science,experiment,1,1
science,discovery,1,0
problem - solve,critical thinking,1,1
problem - solve,solve,1,1
problem - solve,resolution,1,0
lecture,teach,1,1
lecture,instruction,1,1
lecture,presentation,1,0
theorem,principle,1,-1
theorem,law,1,0
theorem,proof,1,1
career,job,0,1
career,profession,0,1
career,ambition,0,-1
creativity,artistic,1,1
creativity,innovative,1,0
creativity,original,1,0
history,past,0,-1
history,event,0,-1
history,timeline,0,-1
experiment,research,1,1
experiment,trial,1,0
experiment,investigation,1,0
chatgpt,ai,1,-1
chatgpt,assistant,1,0
chatgpt,language,1,0
class,school,0,1
class,education,0,1
class,learn,0,0
work,job,0,1
work,task,0,0
work,productivity,0,-1
biology,life,0,1
biology,cell,0,0
biology,nature,0,-1
future,possibility,-1,0
future,hope,-1,0
future,development,-1,-1
teacher,educator,1,1
teacher,mentor,1,0
teacher,guide,1,-1
logic,reasoning,1,1
logic,analysis,1,0
logic,structure,1,-1
mathematic,number,-1,-1
mathematic,equation,-1,0
mathematic,problem - solve,-1,0
society,community,1,1
society,culture,1,0
society,norm,1,-1
algorithm,process,-1,-1
algorithm,calculation,-1,0
algorithm,automation,-1,-1
classroom,school,1,1
classroom,learn environment,1,0
classroom,instruction,1,-1
datum,information,1,1
datum,analysis,1,0
datum,statistic,1,-1
literature,book,-1,0
literature,story,-1,-1
literature,art,-1,0
music,sound,1,1
music,composition,1,0
music,expression,1,-1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,unease,-1,-1
scientist,researcher,1,0
scientist,investigator,1,0
scientist,discoverer,1,-1
knowledge,information,1,1
knowledge,understand,1,0
knowledge,wisdom,1,0
professor,teacher,1,1
professor,scholar,1,0
professor,lecturer,1,-1
stem,science,0,1
stem,technology,0,0
stem,engineering,0,0
grade,evaluation,-1,-1
grade,score,-1,0
grade,mark,-1,-1
exam,assessment,-1,-1
exam,test,-1,0
exam,qualification,-1,-1
