cue_word,association_word,cue_valence,associated_valence
professor,teacher,0,0
professor,smart,0,1
work,job,0,0
work,money,0,0
teamwork,cooperation,0,0
teamwork,group,0,0
future,hope,0,0
future,uncertainty,0,-1
exam,test,-1,-1
exam,stress,-1,-1
model,example,0,0
model,design,0,0
homework,study,-1,0
homework,bore,-1,-1
scientist,research,0,0
scientist,intelligent,0,1
chemistry,science,-1,0
chemistry,hard,-1,-1
blackboard,class,0,0
blackboard,chalk,0,-1
anxiety,nervous,-1,-1
anxiety,stress,-1,-1
experiment,science,0,0
experiment,test,0,-1
logic,reasoning,0,0
logic,math,0,0
variable,math,0,0
variable,change,0,0
algorithm,code,0,0
algorithm,math,0,0
proof,math,0,0
proof,demonstration,0,0
mathematic,math,0,0
mathematic,number,0,0
informatic,computer,0,0
informatic,tech,0,0
computation,math,0,0
computation,calculation,0,0
theorem,math,0,0
theorem,proof,0,0
ai,technology,0,0
ai,future,0,0
student,school,0,0
student,learn,0,0
physics,science,-1,0
physics,hard,-1,-1
classroom,school,0,0
classroom,teach,0,0
study,learn,0,0
study,book,0,0
problem - solve,logic,0,0
problem - solve,solution,0,1
problem - solve,puzzle,0,0
science,experiment,0,0
science,discovery,0,1
science,research,0,0
art,creativity,1,1
art,expression,1,1
art,beauty,1,1
creativity,innovation,1,1
creativity,imagination,1,1
creativity,art,1,1
philosophy,think,0,0
philosophy,wisdom,0,1
philosophy,ethic,0,0
class,school,0,0
class,teacher,0,0
class,learn,0,0
equation,math,0,0
equation,solution,0,0
equation,number,0,0
literature,book,1,1
literature,read,1,1
literature,story,1,1
success,achievement,1,1
success,happiness,1,1
success,goal,1,0
knowledge,learn,1,0
knowledge,wisdom,1,1
knowledge,education,1,0
music,sound,1,0
music,rhythm,1,0
music,melody,1,0
chatgpt,ai,0,0
chatgpt,assistant,0,0
chatgpt,technology,0,0
biology,life,0,0
biology,cell,0,0
biology,nature,0,0
teacher,education,0,0
teacher,learn,0,0
teacher,school,0,0
stem,science,0,0
stem,technology,0,0
stem,engineering,0,0
datum,information,0,0
datum,number,0,0
datum,analysis,0,0
lecture,class,0,0
lecture,teacher,0,0
lecture,learn,0,0
failure,mistake,-1,-1
failure,loss,-1,-1
failure,disappointment,-1,-1
number,math,0,0
number,count,0,0
number,datum,0,0
history,past,0,0
history,event,0,0
history,learn,0,0
society,people,0,0
society,community,0,0
society,culture,0,0
job,work,0,0
job,career,0,0
job,employment,0,0
career,job,0,0
career,success,0,1
career,growth,0,0
llm,ai,0,0
llm,model,0,0
llm,technology,0,0
grade,school,0,0
grade,mark,0,0
grade,performance,0,0
