cue_word,association_word,cue_valence,associated_valence
llm,intelligence,0,0
llm,technology,0,0
llm,future,0,0
failure,stress,-1,-1
failure,learn,-1,-1
failure,risk,-1,-1
philosophy,truth,0,0
philosophy,question,0,0
philosophy,mind,0,0
job,money,-1,0
job,work,-1,-1
job,stress,-1,-1
teamwork,trust,0,0
teamwork,collaboration,0,0
teamwork,support,0,0
scientist,discovery,0,0
scientist,curiosity,0,0
scientist,experiment,0,0
classroom,teacher,-1,0
classroom,learn,-1,0
classroom,rule,-1,-1
equation,math,0,0
equation,solution,0,0
equation,pattern,0,-1
anxiety,fear,-1,-1
anxiety,pressure,-1,-1
anxiety,uncertainty,-1,-1
knowledge,wisdom,0,0
knowledge,growth,0,0
knowledge,understand,0,0
biology,life,0,0
biology,cell,0,0
biology,nature,0,0
history,past,-1,0
history,event,-1,-1
history,memory,-1,0
algorithm,code,0,0
algorithm,logic,0,0
algorithm,system,0,0
success,achievement,0,0
success,goal,0,0
success,happiness,0,0
lecture,class,-1,-1
lecture,information,-1,0
lecture,passive,-1,-1
chemistry,molecule,0,0
chemistry,reaction,0,0
chemistry,lab,0,-1
society,people,-1,0
society,rule,-1,-1
society,change,-1,-1
number,datum,0,0
number,pattern,0,0
number,calculation,0,0
class,student,-1,0
class,group,-1,-1
class,schedule,-1,-1
music,emotion,0,0
music,rhythm,0,0
music,feel,0,0
career,growth,0,0
career,choice,0,0
career,path,0,-1
informatic,datum,0,0
informatic,system,0,0
informatic,compute,0,0
logic,reason,0,0
logic,structure,0,0
logic,truth,0,0
grade,score,-1,0
grade,performance,-1,-1
grade,result,-1,-1
art,expression,0,0
art,creativity,0,0
art,beauty,0,0
computation,logic,0,0
computation,speed,0,0
computation,accuracy,0,0
exam,stress,-1,-1
exam,pressure,-1,-1
exam,success,-1,0
proof,clarity,0,0
proof,rigor,0,0
proof,truth,0,0
science,discovery,0,0
science,curiosity,0,0
science,fact,0,0
study,focus,0,0
study,effort,0,0
study,progress,0,0
literature,emotion,0,0
literature,story,0,0
literature,imagination,0,0
mathematic,pattern,0,0
mathematic,logic,0,0
mathematic,precision,0,0
model,representation,0,0
model,simplification,0,-1
model,accuracy,0,0
work,purpose,0,0
work,effort,0,0
work,income,0,-1
homework,task,-1,0
homework,drill,-1,-1
homework,deadline,-1,-1
datum,fact,0,0
datum,analysis,0,0
datum,pattern,0,0
physics,law,0,0
physics,motion,0,0
physics,energy,0,0
blackboard,write,0,0
blackboard,clarity,0,0
blackboard,share,0,-1
teacher,guidance,0,0
teacher,knowledge,0,0
teacher,support,0,0
future,hope,0,0
future,possibility,0,0
future,challenge,0,-1
professor,expertise,0,0
professor,authority,0,0
professor,insight,0,0
student,learn,0,0
student,growth,0,0
student,responsibility,0,0
ai,tool,0,0
ai,automation,0,0
ai,risk,0,-1
theorem,truth,0,0
theorem,proof,0,0
theorem,structure,0,0
creativity,imagination,0,0
creativity,innovation,0,0
creativity,freedom,0,0
experiment,testing,0,0
experiment,discovery,0,0
experiment,risk,0,-1
stem,application,0,0
stem,growth,0,0
stem,innovation,0,0
variable,change,0,0
variable,input,0,-1
variable,dependency,0,-1
problem - solve,strategy,0,0
problem - solve,think,0,0
problem - solve,solution,0,0
chatgpt,help,0,0
chatgpt,convenience,0,0
chatgpt,limitation,0,-1
