cue_word,association_word,cue_valence,associated_valence
stem,science,0,0
stem,future,0,0
stem,innovation,0,0
scientist,research,0,0
scientist,discovery,0,1
scientist,curiosity,0,1
knowledge,learn,1,1
knowledge,wisdom,1,1
knowledge,power,1,0
homework,study,-1,0
homework,effort,-1,0
homework,chore,-1,-1
problem - solve,logic,0,0
problem - solve,challenge,0,0
problem - solve,creativity,0,1
classroom,learn,0,0
classroom,teacher,0,0
classroom,student,0,0
history,past,0,0
history,learn,0,0
history,event,0,0
datum,information,0,0
datum,analysis,0,0
datum,number,0,0
science,experiment,0,0
science,discovery,0,1
science,stem,0,0
mathematic,logic,0,0
mathematic,number,0,0
mathematic,challenge,0,0
teacher,learn,0,0
teacher,classroom,0,0
teacher,guidance,0,0
blackboard,classroom,0,0
blackboard,teach,0,0
blackboard,write,0,0
creativity,innovation,1,0
creativity,art,1,0
creativity,problem - solve,1,0
chatgpt,ai,0,0
chatgpt,assistant,0,0
chatgpt,technology,0,0
experiment,science,0,0
experiment,discovery,0,1
experiment,research,0,0
work,job,0,0
work,effort,0,0
work,productivity,0,0
llm,ai,0,0
llm,technology,0,0
llm,learn,0,0
equation,mathematic,0,0
equation,solution,0,0
equation,problem,0,0
failure,mistake,-1,-1
failure,learn,-1,0
failure,disappointment,-1,-1
biology,science,0,0
biology,life,0,0
biology,research,0,0
variable,mathematic,0,0
variable,change,0,0
variable,unknown,0,-1
exam,test,-1,-1
exam,stress,-1,-1
exam,grade,-1,0
grade,exam,0,-1
grade,performance,0,0
grade,evaluation,0,0
professor,teacher,0,0
professor,university,0,0
professor,knowledge,0,1
society,people,0,0
society,community,0,0
society,culture,0,0
ai,technology,0,0
ai,future,0,0
ai,complexity,0,0
proof,mathematic,0,0
proof,evidence,0,0
proof,logic,0,0
lecture,learn,0,0
lecture,university,0,0
lecture,knowledge,0,0
music,cinema,1,1
music,relaxation,1,1
music,art,1,0
career,success,0,0
career,job,0,0
career,growth,0,0
future,uncertainty,0,-1
future,hope,0,0
future,planning,0,0
study,learn,0,0
study,effort,0,0
study,knowledge,0,0
number,mathematic,0,0
number,logic,0,0
number,precision,0,0
philosophy,think,1,1
philosophy,wisdom,1,1
philosophy,question,1,0
theorem,mathematic,0,0
theorem,proof,0,0
theorem,logic,0,0
literature,read,1,1
literature,novel,1,1
literature,imagination,1,1
model,mathematic,0,0
model,simulation,0,0
model,theory,0,0
computation,mathematic,0,0
computation,logic,0,0
computation,informatic,0,0
physics,science,-1,0
physics,law,-1,0
physics,complexity,-1,0
success,achievement,1,1
success,happiness,1,1
success,career,1,0
logic,reasoning,0,0
logic,mathematic,0,0
logic,proof,0,0
job,work,0,0
job,career,0,0
job,responsibility,0,0
class,learn,0,0
class,student,0,0
class,teacher,0,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,uncertainty,-1,-1
art,creativity,0,1
art,beauty,0,1
art,expression,0,1
teamwork,collaboration,0,0
teamwork,communication,0,0
teamwork,success,0,1
student,learn,0,0
student,knowledge,0,0
student,effort,0,0
informatic,computation,0,0
informatic,logic,0,0
informatic,technology,0,0
algorithm,computation,0,0
algorithm,logic,0,0
algorithm,informatic,0,0
chemistry,science,-1,0
chemistry,reaction,-1,-1
chemistry,complexity,-1,0
