cue_word,association_word,cue_valence,associated_valence
history,boredom,-1,-1
history,memorization,-1,-1
history,past,-1,0
class,lecture,0,-1
class,peer,0,1
class,exam,0,-1
homework,stress,-1,-1
homework,deadline,-1,-1
homework,study,-1,0
professor,knowledgeable,1,1
professor,strict,1,0
professor,engage,1,1
creativity,art,1,1
creativity,innovation,1,1
creativity,freedom,1,1
lecture,note,0,0
lecture,sleepy,0,-1
lecture,learn,0,1
mathematic,difficult,-1,-1
mathematic,logic,-1,0
mathematic,number,-1,-1
knowledge,power,1,1
knowledge,curiosity,1,1
knowledge,book,1,1
art,beauty,1,1
art,expression,1,1
art,paint,1,1
theorem,proof,0,0
theorem,abstract,0,-1
theorem,challenge,0,0
work,effort,0,0
work,reward,0,1
work,routine,0,-1
experiment,science,1,1
experiment,discovery,1,1
experiment,lab,1,0
teacher,guidance,1,1
teacher,patience,1,1
teacher,encouragement,1,1
problem - solve,logic,1,0
problem - solve,challenge,1,0
problem - solve,solution,1,1
success,happiness,1,1
success,effort,1,1
success,goal,1,1
science,curiosity,1,1
science,discovery,1,1
science,experiment,1,1
chemistry,reaction,0,0
chemistry,element,0,0
chemistry,lab,0,0
model,representation,0,0
model,math,0,-1
model,science,0,1
job,future,0,1
job,income,0,1
job,responsibility,0,0
failure,disappointment,-1,-1
failure,learn,-1,0
failure,fear,-1,-1
anxiety,stress,-1,-1
anxiety,exam,-1,-1
anxiety,uncertainty,-1,-1
logic,reasoning,0,0
logic,math,0,-1
logic,puzzle,0,0
equation,math,-1,-1
equation,solution,-1,0
equation,variable,-1,-1
scientist,research,1,1
scientist,discovery,1,1
scientist,lab,1,0
music,rhythm,1,1
music,emotion,1,1
music,melody,1,1
classroom,teacher,0,1
classroom,book,0,1
classroom,bore,0,-1
society,change,1,0
society,inequality,1,-1
society,progress,1,1
ai,future,0,1
ai,job,0,0
ai,uncertain,0,-1
career,success,1,1
career,work,1,1
career,stress,1,-1
study,effort,0,1
study,knowledge,0,1
study,sleep,0,-1
grade,pressure,0,-1
grade,success,0,1
grade,failure,0,-1
llm,ai,0,0
llm,programming,0,1
llm,difficult,0,-1
exam,stress,-1,-1
exam,preparation,-1,1
exam,test,-1,-1
stem,science,0,1
stem,engineering,0,1
stem,maths,0,-1
teamwork,collaboration,1,1
teamwork,project,1,1
teamwork,friend,1,1
future,uncertain,1,-1
future,dream,1,1
future,career,1,1
biology,nature,1,1
biology,cell,1,1
biology,interest,1,1
proof,maths,0,-1
proof,difficult,0,-1
proof,logic,0,1
literature,book,1,1
literature,story,1,1
literature,enjoyable,1,1
algorithm,cod,0,1
algorithm,maths,0,-1
algorithm,problem,0,0
physics,maths,-1,-1
physics,law,-1,0
physics,difficult,-1,-1
variable,maths,0,-1
variable,statistic,0,0
variable,unknown,0,-1
philosophy,thought,1,1
philosophy,question,1,1
philosophy,interest,1,1
number,maths,-1,-1
number,calculation,-1,-1
number,boredom,-1,-1
informatic,cod,0,1
informatic,computer,0,1
informatic,technology,0,1
blackboard,classroom,0,0
blackboard,chalk,0,0
blackboard,note,0,1
datum,science,1,1
datum,analysis,1,1
datum,important,1,1
student,learn,0,1
student,exam,0,-1
student,future,0,1
chatgpt,ai,1,0
chatgpt,helpful,1,1
chatgpt,future,1,1
computation,maths,0,-1
computation,logic,0,1
computation,difficult,0,-1
