cue_word,association_word,cue_valence,associated_valence
biology,life,0,1
biology,cell,0,-1
biology,ecosystem,0,0
professor,teacher,0,0
professor,lecture,0,-1
professor,research,0,0
work,job,-1,-1
work,effort,-1,-1
work,task,-1,-1
datum,information,0,0
datum,analysis,0,0
datum,insight,0,1
proof,evidence,-1,0
proof,demonstration,-1,-1
proof,logic,-1,0
knowledge,learn,1,1
knowledge,wisdom,1,1
knowledge,understand,1,1
informatic,technology,-1,0
informatic,datum,-1,0
informatic,system,-1,-1
theorem,math,-1,0
theorem,proof,-1,-1
theorem,formula,-1,-1
history,past,0,-1
history,event,0,0
history,culture,0,1
career,job,0,-1
career,growth,0,1
career,success,0,1
teacher,educate,0,1
teacher,classroom,0,0
teacher,student,0,1
science,research,1,0
science,discovery,1,1
science,experiment,1,0
student,learn,0,1
student,school,0,0
student,study,0,-1
experiment,test,0,-1
experiment,lab,0,0
experiment,result,0,0
literature,book,1,1
literature,write,1,1
literature,poetry,1,1
blackboard,class,-1,0
blackboard,teach,-1,0
blackboard,lesson,-1,0
chemistry,element,0,0
chemistry,reaction,0,0
chemistry,lab,0,0
stem,science,1,1
stem,engineering,1,1
stem,math,1,1
model,design,-1,0
model,theory,-1,-1
model,simulation,-1,0
music,sound,1,1
music,melody,1,1
music,rhythm,1,1
failure,mistake,-1,-1
failure,loss,-1,-1
failure,challenge,-1,-1
teamwork,collaboration,1,1
teamwork,support,1,1
teamwork,goal,1,1
llm,language,0,1
llm,model,0,-1
llm,ai,0,0
homework,study,-1,-1
homework,assignment,-1,-1
homework,practice,-1,-1
computation,calculate,0,-1
computation,algorithm,0,0
computation,datum,0,0
chatgpt,ai,0,0
chatgpt,learn,0,1
chatgpt,assistant,0,0
classroom,student,-1,-1
classroom,teach,-1,0
classroom,learn,-1,1
algorithm,code,-1,-1
algorithm,problem,-1,-1
algorithm,solution,-1,0
logic,reasoning,0,0
logic,math,0,0
logic,truth,0,1
job,work,-1,-1
job,career,-1,0
job,income,-1,0
equation,math,-1,0
equation,solve,-1,0
equation,variable,-1,-1
future,hope,0,1
future,uncertainty,0,-1
future,progress,0,0
ai,technology,0,0
ai,intelligence,0,0
ai,innovation,0,1
mathematic,number,-1,-1
mathematic,formula,-1,-1
mathematic,logic,-1,0
class,student,-1,-1
class,lesson,-1,0
class,teacher,-1,0
study,learn,0,1
study,effort,0,-1
study,knowledge,0,1
exam,test,-1,-1
exam,stress,-1,-1
exam,grade,-1,-1
number,math,-1,0
number,count,-1,-1
number,datum,-1,-1
physics,science,-1,0
physics,law,-1,-1
physics,energy,-1,0
art,creativity,1,1
art,expression,1,1
art,beauty,1,1
philosophy,think,0,0
philosophy,wisdom,0,1
philosophy,question,0,-1
problem - solve,logic,0,0
problem - solve,strategy,0,0
problem - solve,solution,0,0
success,achievement,1,1
success,happiness,1,1
success,goal,1,1
scientist,research,0,0
scientist,discovery,0,1
scientist,experiment,0,0
grade,score,-1,-1
grade,performance,-1,-1
grade,feedback,-1,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
lecture,teach,-1,0
lecture,learn,-1,1
lecture,audience,-1,-1
variable,math,-1,0
variable,change,-1,-1
variable,unknown,-1,-1
society,people,0,0
society,culture,0,0
society,community,0,1
creativity,innovation,1,1
creativity,art,1,1
creativity,idea,1,1
