cue_word,association_word,cue_valence,associated_valence
chatgpt,ai,0,0
chatgpt,language model,0,0
chatgpt,virtual assistant,0,0
literature,book,0,0
literature,story,0,0
literature,novel,0,0
knowledge,information,0,0
knowledge,fact,0,0
knowledge,datum,0,0
experiment,research,0,0
experiment,testing,0,0
experiment,analysis,0,0
grade,score,0,0
grade,mark,0,0
grade,rating,0,0
classroom,school,0,0
classroom,education,0,0
classroom,learn,0,0
teamwork,collaboration,0,0
teamwork,partnership,0,0
teamwork,group work,0,0
blackboard,chalkboard,0,0
blackboard,whiteboard,0,0
blackboard,write surface,0,0
history,past,0,0
history,event,0,0
history,timeline,0,0
music,song,0,0
music,melody,0,0
music,note,0,0
ai,artificial intelligence,0,0
ai,machine learn,0,0
ai,automation,0,0
physics,science,0,0
physics,law,0,0
physics,theory,0,0
success,accomplishment,0,0
success,achievement,0,0
success,prosperity,0,0
llm,large language model,0,0
llm,machine learn,0,0
llm,natural language processing,0,0
class,school year,0,0
class,lesson,0,0
class,education system,0,0
homework,assignment,-1,0
homework,task,-1,0
homework,study work,-1,0
lecture,classroom teach,0,0
lecture,instruction,0,0
lecture,knowledge share,0,0
philosophy,idea,0,0
philosophy,thought,0,0
philosophy,reasoning,0,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,tension,-1,-1
art,creativity,0,0
art,expression,0,0
art,beauty,0,0
study,learn,0,0
study,review,0,0
study,preparation,0,0
science,research,0,0
science,fact,0,0
science,experiment,0,0
number,mathematic,0,0
number,calculation,0,0
number,statistic,0,0
mathematic,equation,0,0
mathematic,problem,0,0
mathematic,logic,0,0
proof,verification,0,0
proof,evidence,0,0
proof,certainty,0,0
student,learn,0,0
student,knowledge,0,0
student,education,0,0
creativity,imagination,0,0
creativity,innovation,0,0
creativity,originality,0,0
informatic,compute,0,0
informatic,technology,0,0
informatic,datum,0,-1
scientist,researcher,0,0
scientist,analysis,0,0
scientist,discovery,0,0
computation,algorithm,0,0
computation,programming,0,-1
computation,processing,0,0
teacher,educator,0,0
teacher,mentor,0,0
teacher,guidance,0,0
problem - solve,critical thinking,0,0
problem - solve,analysis,0,0
problem - solve,resolution,0,-1
exam,assessment,-1,-1
exam,test,-1,-1
exam,evaluation,-1,-1
variable,factor,0,0
variable,element,0,0
variable,condition,0,0
failure,mistake,-1,-1
failure,error,-1,-1
failure,setback,-1,-1
professor,scholar,0,0
professor,instructor,0,0
professor,expert,0,-1
biology,life,0,0
biology,science,0,0
biology,nature,0,0
job,career,0,0
job,work,0,0
job,profession,0,-1
theorem,principle,0,0
theorem,law,0,-1
theorem,proof,0,-1
equation,formula,0,0
equation,mathematic,0,0
equation,calculation,0,0
stem,science,0,0
stem,technology,0,0
stem,engineering,0,-1
model,representation,0,0
model,example,0,-1
model,prototype,0,-1
chemistry,molecule,0,0
chemistry,reaction,0,0
chemistry,compound,0,0
datum,information,0,-1
datum,analysis,0,-1
datum,statistic,0,-1
career,profession,0,0
career,job,0,0
career,goal,0,-1
work,employment,0,0
work,task,0,0
work,responsibility,0,-1
society,community,0,0
society,culture,0,-1
society,relationship,0,-1
logic,reasoning,0,0
logic,argument,0,-1
logic,structure,0,-1
algorithm,procedure,0,0
algorithm,process,0,0
algorithm,method,0,-1
future,possibility,0,0
future,outcome,0,-1
future,trend,0,-1
