cue_word,association_word,cue_valence,associated_valence
music,joy,1,1
music,relaxation,1,1
music,rhythm,1,0
proof,evidence,0,0
proof,certainty,0,0
proof,truth,0,1
logic,reason,0,0
logic,clarity,0,1
logic,structure,0,0
equation,math,0,-1
equation,balance,0,0
equation,solution,0,1
literature,story,0,1
literature,imagination,0,1
literature,book,0,0
work,effort,0,0
work,responsibility,0,0
work,income,0,1
study,learn,0,1
study,focus,0,0
study,exam,0,-1
scientist,research,1,0
scientist,discovery,1,1
scientist,knowledge,1,1
philosophy,think,0,0
philosophy,question,0,0
philosophy,wisdom,0,1
classroom,learn,0,1
classroom,student,0,0
classroom,discipline,0,-1
stem,science,0,1
stem,technology,0,0
stem,innovation,0,1
ai,intelligence,0,1
ai,automation,0,-1
ai,future,0,0
mathematic,number,-1,0
mathematic,logic,-1,0
mathematic,complexity,-1,-1
teamwork,collaboration,0,1
teamwork,support,0,1
teamwork,conflict,0,-1
informatic,computer,-1,0
informatic,datum,-1,0
informatic,cod,-1,-1
success,achievement,1,1
success,recognition,1,0
success,happiness,1,1
teacher,guidance,0,1
teacher,authority,0,-1
teacher,education,0,1
blackboard,teach,0,0
blackboard,chalk,0,-1
blackboard,lesson,0,0
society,community,0,1
society,rule,0,0
society,culture,0,1
art,creativity,-1,1
art,expression,-1,0
art,beauty,-1,1
grade,evaluation,-1,0
grade,pressure,-1,-1
grade,performance,-1,0
variable,change,0,0
variable,uncertainty,0,-1
variable,math,0,-1
career,profession,1,0
career,growth,1,1
career,stability,1,1
chatgpt,assistant,0,1
chatgpt,technology,0,0
chatgpt,information,0,1
llm,model,0,0
llm,ai,0,0
llm,language,0,0
number,math,-1,-1
number,stress,-1,-1
failure,shame,-1,-1
failure,anxiety,-1,-1
student,learn,0,0
student,pressure,0,-1
class,bore,-1,-1
class,social,-1,0
algorithm,complex,-1,-1
algorithm,computer,-1,-1
history,past,0,0
history,story,0,0
computation,tedious,-1,-1
computation,number,-1,-1
experiment,science,0,0
experiment,discovery,0,1
creativity,art,0,-1
creativity,freedom,0,0
biology,life,1,1
biology,nature,1,1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
problem - solve,challenge,0,0
problem - solve,logic,0,0
knowledge,power,0,0
knowledge,wisdom,0,1
physics,universe,1,1
physics,math,1,-1
model,simplify,0,0
model,theory,0,0
lecture,bore,-1,-1
lecture,information,-1,0
job,money,0,0
job,stress,0,-1
professor,smart,0,0
professor,strict,0,-1
science,truth,1,1
science,experiment,1,0
exam,stress,-1,-1
exam,evaluation,-1,-1
theorem,proof,0,0
theorem,math,0,-1
future,uncertainty,0,-1
future,hope,0,0
homework,tedious,-1,-1
homework,learn,-1,0
datum,number,0,-1
datum,analysis,0,0
chemistry,reaction,0,0
chemistry,lab,0,0
