cue_word,association_word,cue_valence,associated_valence
experiment,research,1,1
experiment,datum,1,0
experiment,learn,1,1
ai,future,0,0
ai,automation,0,-1
ai,fear,0,-1
problem - solve,logic,1,1
problem - solve,challenge,1,0
problem - solve,skill,1,1
algorithm,code,0,0
algorithm,efficiency,0,1
algorithm,logic,0,1
biology,life,0,1
biology,cell,0,1
biology,nature,0,1
theorem,proof,-1,-1
theorem,math,-1,-1
theorem,truth,-1,0
career,job,1,0
career,growth,1,1
career,future,1,0
teamwork,collaboration,1,1
teamwork,support,1,1
teamwork,strength,1,1
informatic,datum,0,0
informatic,tech,0,0
informatic,info,0,0
equation,math,-1,-1
equation,formula,-1,-1
equation,structure,-1,-1
scientist,researcher,1,1
scientist,curious,1,1
scientist,dedicator,1,1
science,knowledge,1,1
science,truth,1,1
science,discovery,1,1
class,school,-1,-1
class,study,-1,0
class,teacher,-1,1
success,achievement,1,1
success,goal,1,1
success,satisfaction,1,1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,pressure,-1,-1
creativity,idea,1,1
creativity,art,1,1
creativity,innovation,1,1
music,melody,1,1
music,relax,1,1
music,hobby,1,1
mathematic,number,-1,-1
mathematic,logic,-1,-1
mathematic,hate,-1,-1
proof,logic,-1,0
proof,truth,-1,0
proof,rigor,-1,0
physics,energy,-1,-1
physics,force,-1,-1
physics,hate,-1,-1
failure,mistake,-1,-1
failure,lesson,-1,-1
failure,end,-1,-1
variable,change,-1,-1
variable,datum,-1,0
variable,unknown,-1,-1
exam,pressure,-1,-1
exam,grade,-1,-1
exam,test,-1,-1
work,job,0,0
work,effort,0,0
work,duty,0,0
blackboard,classroom,-1,-1
blackboard,chalk,-1,-1
blackboard,teach,-1,0
logic,order,1,1
logic,truth,1,1
logic,reason,1,1
classroom,learn,0,1
classroom,noise,0,-1
classroom,stress,0,-1
student,curious,1,1
student,busy,1,0
student,drive,1,1
philosophy,deep,0,1
philosophy,abstract,0,0
philosophy,complex,0,0
literature,story,1,1
literature,emotion,1,0
literature,beauty,1,1
lecture,bore,-1,-1
lecture,dense,-1,-1
lecture,informative,-1,0
llm,powerful,0,0
llm,scary,0,-1
llm,new,0,0
knowledge,power,1,1
knowledge,wisdom,1,1
knowledge,growth,1,1
chatgpt,helpful,0,1
chatgpt,tool,0,0
chatgpt,friend,0,1
datum,number,0,-1
datum,fact,0,0
datum,cold,0,-1
computation,complex,0,0
computation,logic,0,1
computation,power,0,1
chemistry,molecule,-1,-1
chemistry,lab,-1,0
chemistry,science,-1,0
history,past,-1,0
history,bore,-1,-1
history,context,-1,0
stem,hard,0,-1
stem,important,0,1
stem,useful,0,1
future,exciting,1,1
future,uncertain,1,0
future,hopeful,1,1
art,creative,1,1
art,beautiful,1,1
art,joy,1,1
model,math,0,-1
model,abstract,0,0
model,representation,0,0
grade,pressure,-1,-1
grade,stress,-1,-1
grade,success,-1,1
study,hard,0,-1
study,focus,0,1
study,important,0,1
job,work,0,0
job,income,0,0
job,responsibility,0,0
number,cold,-1,-1
number,logic,-1,1
number,bore,-1,-1
homework,stress,-1,-1
homework,duty,-1,0
homework,mandatory,-1,-1
society,complex,0,0
society,human,0,1
society,connect,0,1
professor,wise,0,1
professor,strict,0,-1
professor,knowledgeable,0,1
teacher,helpful,1,1
teacher,guide,1,1
teacher,patient,1,1
