cue_word,association_word,cue_valence,associated_valence
logic,order,1,1
logic,reason,1,0
logic,pattern,1,0
theorem,proof,0,1
theorem,truth,0,1
theorem,foundation,0,0
chatgpt,tool,0,0
chatgpt,help,0,1
chatgpt,response,0,0
experiment,test,0,0
experiment,result,0,0
experiment,process,0,0
work,job,0,0
work,schedule,0,-1
work,pay,0,0
physics,law,0,1
physics,energy,0,0
physics,motion,0,0
future,change,0,0
future,hope,0,0
future,uncertainty,0,-1
student,class,0,0
student,study,0,0
student,grade,0,0
scientist,research,0,1
scientist,discovery,0,1
scientist,question,0,0
datum,number,0,0
datum,information,0,1
datum,pattern,0,0
music,song,1,1
music,emotion,1,1
music,performance,1,0
society,community,0,0
society,change,0,0
society,structure,0,0
career,path,0,0
career,dream,0,0
career,job,0,0
model,representation,0,0
model,simplification,0,0
model,prediction,0,1
informatic,computer,0,1
informatic,system,0,0
informatic,code,0,0
chemistry,reaction,0,0
chemistry,molecule,0,0
chemistry,lab,0,0
variable,factor,0,0
variable,change,0,0
variable,value,0,0
success,goal,1,0
success,achievement,1,1
success,pride,1,0
anxiety,fear,-1,-1
anxiety,stress,-1,0
anxiety,worry,-1,0
computation,calculation,0,1
computation,speed,0,0
computation,machine,0,0
creativity,art,1,1
creativity,imagination,1,1
creativity,design,1,0
art,paint,1,1
art,expression,1,0
art,beauty,1,1
class,lesson,0,0
class,teacher,0,0
class,subject,0,0
algorithm,step,0,0
algorithm,procedure,0,0
algorithm,rule,0,0
biology,life,0,1
biology,cell,0,0
biology,organism,0,0
job,work,0,0
job,stress,0,-1
job,income,0,0
homework,study,0,0
homework,deadline,0,-1
homework,maths,0,0
llm,ai,0,1
llm,technology,0,0
llm,help,0,0
professor,teacher,0,0
professor,lecture,0,0
professor,knowledge,0,1
history,fact,1,0
history,event,1,0
history,classroom,1,0
ai,llm,1,0
ai,technology,1,0
ai,future,1,0
study,homework,0,0
study,book,0,0
study,maths,0,1
number,equation,0,0
number,maths,0,1
number,calculation,0,0
science,experiment,0,0
science,lab,0,0
science,biology,0,-1
exam,grade,-1,0
exam,stress,-1,-1
exam,classroom,-1,0
teamwork,collaboration,0,0
teamwork,conflict,0,-1
teamwork,group,0,0
proof,logic,0,0
proof,maths,0,1
proof,equation,0,0
philosophy,think,0,0
philosophy,question,0,0
philosophy,study,0,0
problem - solve,maths,0,1
problem - solve,logic,0,0
problem - solve,equation,0,0
teacher,professor,0,0
teacher,classroom,0,0
teacher,support,0,0
literature,book,0,0
literature,read,0,0
literature,story,0,0
mathematic,number,1,0
mathematic,equation,1,0
mathematic,proof,1,0
knowledge,study,1,0
knowledge,fact,1,0
knowledge,book,1,0
lecture,classroom,0,0
lecture,professor,0,0
lecture,knowledge,0,1
classroom,blackboard,0,0
classroom,teacher,0,0
classroom,student,0,0
blackboard,equation,0,0
blackboard,maths,0,1
blackboard,lecture,0,0
stem,science,0,0
stem,maths,0,1
stem,technology,0,0
failure,grade,-1,0
failure,exam,-1,-1
failure,stress,-1,-1
grade,exam,0,-1
grade,performance,0,0
grade,success,0,0
equation,maths,0,1
equation,proof,0,0
equation,problem - solve,0,0
