cue_word,association_word,cue_valence,associated_valence
philosophy,truth,0,1
philosophy,question,0,0
philosophy,mean,0,-1
chemistry,molecule,-1,0
chemistry,reaction,-1,-1
chemistry,lab,-1,-1
career,freedom,0,1
career,balance,0,0
career,growth,0,-1
lecture,knowledge,-1,1
lecture,attention,-1,0
lecture,class,-1,-1
study,focus,-1,0
study,effort,-1,-1
study,book,-1,-1
biology,life,0,1
biology,cell,0,-1
biology,nature,0,0
theorem,proof,0,1
theorem,logic,0,0
theorem,structure,0,-1
informatic,code,-1,0
informatic,datum,-1,0
informatic,system,-1,-1
future,hope,-1,1
future,change,-1,0
future,uncertainty,-1,-1
equation,solution,0,1
equation,balance,0,0
equation,pattern,0,-1
creativity,art,1,0
creativity,imagination,1,1
creativity,design,1,0
music,emotion,1,1
music,rhythm,1,0
music,joy,1,1
teamwork,support,0,1
teamwork,trust,0,0
teamwork,collaboration,0,0
mathematic,logic,0,1
mathematic,pattern,0,0
mathematic,proof,0,1
model,representation,-1,0
model,simplification,-1,-1
model,idea,-1,1
failure,lesson,-1,0
failure,growth,-1,0
failure,risk,-1,-1
stem,science,0,1
stem,technology,0,0
stem,innovation,0,1
society,community,-1,1
society,change,-1,0
society,value,-1,-1
experiment,test,-1,0
experiment,result,-1,0
experiment,process,-1,-1
computation,speed,0,0
computation,accuracy,0,1
computation,datum,0,0
blackboard,write,0,0
blackboard,idea,0,1
blackboard,teach,0,0
art,expression,1,1
art,beauty,1,1
art,creativity,1,1
student,learn,-1,1
student,curiosity,-1,0
student,responsibility,-1,-1
proof,logic,1,1
proof,certainty,1,1
proof,clarity,1,0
science,discovery,1,1
science,fact,1,0
science,curiosity,1,1
work,stress,-1,-1
work,freedom,-1,1
work,income,-1,0
problem - solve,logic,0,0
problem - solve,calm,0,1
problem - solve,clarity,0,1
llm,technology,-1,0
llm,help,-1,1
llm,complex,-1,-1
ai,future,-1,0
ai,efficiency,-1,1
ai,uncertainty,-1,-1
datum,number,-1,0
datum,pattern,-1,0
datum,analysis,-1,0
homework,stress,-1,-1
homework,deadline,-1,-1
homework,task,-1,-1
professor,knowledge,-1,1
professor,strict,-1,-1
professor,helpful,-1,0
teacher,support,0,1
teacher,patience,0,0
teacher,authority,0,-1
number,math,0,-1
number,logic,0,1
number,pattern,0,0
literature,story,1,1
literature,emotion,1,1
literature,depth,1,0
chatgpt,help,0,1
chatgpt,quick,0,0
chatgpt,reliable,0,0
logic,reason,1,1
logic,clarity,1,1
logic,order,1,0
history,memory,0,0
history,context,0,0
history,pattern,0,-1
anxiety,fear,-1,-1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
classroom,noise,-1,-1
classroom,routine,-1,-1
classroom,learn,-1,0
algorithm,rule,0,0
algorithm,order,0,1
algorithm,precision,0,1
variable,change,-1,0
variable,flexibility,-1,0
variable,uncertainty,-1,-1
knowledge,wisdom,1,1
knowledge,growth,1,1
knowledge,understand,1,1
grade,success,-1,1
grade,pressure,-1,-1
grade,effort,-1,0
exam,anxiety,-1,-1
exam,stress,-1,-1
exam,challenge,-1,-1
success,achievement,1,1
success,pride,1,0
success,hope,1,0
class,group,-1,0
class,interaction,-1,0
class,routine,-1,-1
physics,law,1,1
physics,order,1,1
physics,curiosity,1,1
scientist,discovery,0,1
scientist,curiosity,0,1
scientist,rigor,0,0
job,freedom,0,1
job,income,0,0
job,responsibility,0,-1
