cue_word,association_word,cue_valence,associated_valence
student,school,0,-1
student,book,0,0
student,friend,0,1
mathematic,logic,1,1
mathematic,puzzle,1,0
mathematic,fun,1,1
class,lecture,-1,-1
class,note,-1,-1
class,group,-1,0
theorem,proof,0,0
theorem,deduction,0,0
theorem,challenge,0,-1
lecture,bore,-1,-1
lecture,listen,-1,-1
lecture,professor,-1,-1
music,relax,1,1
music,dance,1,0
music,sing,1,0
exam,stress,-1,-1
exam,study,-1,-1
exam,result,-1,-1
anxiety,fear,-1,-1
anxiety,panic,-1,-1
anxiety,worry,-1,-1
teacher,help,0,1
teacher,strict,0,-1
teacher,explain,0,1
algorithm,step,0,0
algorithm,computer,0,-1
algorithm,solve,0,1
literature,story,1,1
literature,poem,1,1
literature,imagination,1,1
science,lab,-1,-1
science,experiment,-1,0
science,discover,-1,0
physics,hard,-1,-1
physics,formula,-1,-1
physics,fail,-1,-1
future,career,0,0
future,travel,0,1
future,success,0,1
scientist,smart,-1,1
scientist,lab,-1,-1
scientist,discover,-1,0
professor,knowledge,-1,1
professor,book,-1,0
professor,talk,-1,-1
society,people,-1,-1
society,rule,-1,-1
society,change,-1,0
equation,solve,0,0
equation,unknown,0,-1
equation,balance,0,0
creativity,art,1,1
creativity,idea,1,1
creativity,music,1,1
variable,unknown,0,-1
variable,change,0,-1
variable,math,0,1
chemistry,reaction,-1,-1
chemistry,lab,-1,-1
chemistry,bore,-1,-1
computation,calculate,0,0
computation,computer,0,-1
computation,fast,0,0
proof,evidence,0,0
proof,logic,0,1
proof,true,0,1
number,count,0,-1
number,add,0,-1
number,pattern,0,1
grade,pass,-1,0
grade,fail,-1,-1
grade,effort,-1,0
ai,future,0,0
ai,smart,0,1
ai,job,0,-1
failure,lesson,-1,-1
failure,sad,-1,-1
failure,retry,-1,0
history,past,0,-1
history,war,0,-1
history,lesson,0,0
philosophy,bore,-1,-1
philosophy,abstract,-1,-1
philosophy,useless,-1,-1
chatgpt,helpful,-1,0
chatgpt,cheat,-1,-1
chatgpt,tool,-1,0
teamwork,collaboration,1,1
teamwork,support,1,1
teamwork,fun,1,0
art,creative,1,1
art,beautiful,1,1
art,inspire,1,1
biology,life,1,1
biology,nature,1,1
biology,fascinating,1,1
informatic,cod,-1,-1
informatic,difficult,-1,-1
informatic,bore,-1,-1
problem - solve,challenge,0,-1
problem - solve,skill,0,1
problem - solve,reward,0,1
study,effort,-1,-1
study,knowledge,-1,1
study,tiring,-1,-1
stem,science,0,1
stem,innovation,0,1
stem,math,0,-1
career,ambition,0,0
career,success,0,1
career,stress,0,-1
experiment,discovery,1,1
experiment,lab,1,0
experiment,exciting,1,1
logic,reasoning,0,0
logic,puzzle,0,0
logic,clear,0,1
model,predict,0,0
model,useful,0,1
model,simulation,0,-1
classroom,learn,0,1
classroom,teacher,0,0
classroom,discussion,0,0
work,income,-1,0
work,routine,-1,-1
work,team,-1,0
knowledge,power,1,0
knowledge,growth,1,1
knowledge,endless,1,0
job,stability,-1,0
job,colleague,-1,0
job,pay,-1,0
homework,practice,-1,0
homework,annoy,-1,-1
homework,deadline,-1,-1
blackboard,chalk,-1,-1
blackboard,teach,-1,0
blackboard,old,-1,-1
success,achievement,1,1
success,happy,1,1
success,goal,1,0
datum,analysis,0,-1
datum,info,0,0
datum,big,0,-1
llm,chatbot,-1,-1
llm,intelligent,-1,1
llm,limited,-1,-1
