cue_word,association_word,cue_valence,associated_valence
proof,maths,0,1
proof,logic,0,0
proof,evidence,0,0
job,work,0,0
job,career,0,0
job,income,0,0
study,learn,0,0
study,education,0,0
study,research,0,0
literature,book,-1,0
literature,read,-1,0
literature,fiction,-1,-1
music,melody,0,0
music,rhythm,0,0
music,instrument,0,0
class,school,0,0
class,student,0,0
class,teacher,0,0
homework,study,-1,0
homework,assignment,-1,-1
homework,school,-1,0
model,maths,0,1
model,science,0,0
model,theory,0,0
theorem,maths,0,1
theorem,proof,0,0
theorem,logic,0,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,nervous,-1,-1
chemistry,science,0,0
chemistry,experiment,0,0
chemistry,reaction,0,0
work,job,0,0
work,career,0,0
work,employment,0,0
biology,science,0,0
biology,life,0,0
biology,cell,0,0
art,creativity,0,0
art,paint,0,0
art,sculpture,0,0
equation,maths,0,1
equation,science,0,0
equation,solution,0,0
creativity,art,0,0
creativity,innovation,0,0
creativity,imagination,0,0
algorithm,maths,0,1
algorithm,computer,0,0
algorithm,science,0,0
society,people,0,0
society,community,0,0
society,culture,0,0
history,past,0,0
history,event,0,0
history,learn,0,0
variable,maths,0,1
variable,science,0,0
variable,change,0,0
classroom,school,0,0
classroom,student,0,0
classroom,teacher,0,0
stem,science,0,0
stem,maths,0,1
stem,technology,0,0
teacher,school,0,0
teacher,student,0,0
teacher,education,0,0
success,achievement,1,1
success,career,1,0
success,goal,1,0
career,job,0,0
career,work,0,0
career,success,0,1
professor,teacher,0,0
professor,knowledge,0,1
professor,lecture,0,0
lecture,class,0,0
lecture,learn,0,0
lecture,boredom,0,-1
number,math,0,0
number,count,0,0
number,datum,0,0
science,experiment,1,0
science,discovery,1,1
science,research,1,0
scientist,researcher,0,0
scientist,lab,0,0
scientist,curious,0,0
grade,school,0,0
grade,mark,0,0
grade,evaluation,0,0
logic,reason,0,0
logic,math,0,0
logic,puzzle,0,0
student,learn,0,0
student,school,0,0
student,homework,0,-1
ai,technology,0,0
ai,future,0,0
ai,robot,0,0
teamwork,collaboration,0,0
teamwork,group,0,0
teamwork,project,0,0
informatic,computer,0,0
informatic,datum,0,0
informatic,technology,0,0
knowledge,learn,1,0
knowledge,wise,1,0
knowledge,education,1,0
physics,science,0,1
physics,law,0,0
physics,energy,0,0
failure,mistake,-1,-1
failure,learn,-1,0
failure,disappointment,-1,-1
philosophy,think,1,0
philosophy,mean,1,0
philosophy,wisdom,1,1
blackboard,class,0,0
blackboard,teacher,0,0
blackboard,chalk,0,-1
llm,ai,0,0
llm,language,0,0
llm,model,0,0
experiment,science,0,1
experiment,test,0,0
experiment,discovery,0,1
exam,test,-1,-1
exam,study,-1,0
exam,stress,-1,-1
future,hope,0,1
future,technology,0,0
future,uncertainty,0,-1
chatgpt,ai,0,0
chatgpt,conversation,0,0
chatgpt,help,0,0
problem - solve,logic,0,0
problem - solve,puzzle,0,0
problem - solve,solution,0,0
datum,information,0,0
datum,number,0,0
datum,analysis,0,0
mathematic,number,0,0
mathematic,logic,0,0
mathematic,problem,0,0
computation,calculation,0,0
computation,datum,0,0
computation,technology,0,0
