cue_word,association_word,cue_valence,associated_valence
society,community,0,0
society,progress,0,0
failure,disappointment,-1,-1
failure,learn,-1,0
blackboard,classroom,0,0
blackboard,teacher,0,0
music,melody,1,1
music,rhythm,1,1
classroom,learn,0,0
classroom,teacher,0,0
chatgpt,ai,0,0
chatgpt,assistant,0,0
chemistry,reaction,1,0
chemistry,element,1,0
teamwork,collaboration,1,1
teamwork,support,1,1
job,work,0,0
job,income,0,1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
llm,language,0,0
llm,model,0,0
computation,calculation,0,0
computation,algorithm,0,0
future,hope,0,1
future,uncertainty,0,-1
exam,test,-1,-1
exam,study,-1,0
study,learn,0,0
study,book,0,0
mathematic,number,-1,-1
mathematic,logic,-1,0
datum,information,0,0
datum,analysis,0,0
art,creativity,0,1
art,expression,0,1
stem,science,0,1
stem,technology,0,1
student,learn,0,0
student,education,0,0
informatic,computer,0,0
informatic,datum,0,0
professor,teacher,0,0
professor,knowledge,0,1
science,research,1,1
science,discovery,1,1
knowledge,learn,1,0
knowledge,understand,1,1
proof,evidence,0,0
proof,validation,0,0
grade,school,0,0
grade,exam,0,-1
grade,stress,0,-1
history,past,0,0
history,fact,0,0
history,boredom,0,-1
success,achievement,1,1
success,happiness,1,1
success,effort,1,0
homework,study,-1,0
homework,time,-1,0
homework,frustration,-1,-1
teacher,learn,0,0
teacher,explain,0,0
teacher,authority,0,0
theorem,math,0,-1
theorem,proof,0,0
theorem,complexity,0,-1
problem - solve,challenge,0,0
problem - solve,logic,0,0
problem - solve,solution,0,1
variable,math,0,-1
variable,change,0,0
variable,unknown,0,-1
model,science,0,0
model,representation,0,0
model,simulation,0,0
scientist,research,1,1
scientist,discovery,1,1
scientist,curiosity,1,1
work,effort,0,0
work,job,0,0
work,fatigue,0,-1
physics,science,1,1
physics,law,1,0
physics,interest,1,1
literature,book,-1,0
literature,story,-1,0
literature,boredom,-1,-1
number,math,0,-1
number,count,0,0
number,datum,0,0
ai,technology,0,0
ai,future,0,0
ai,complexity,0,0
career,growth,1,1
career,job,1,0
career,ambition,1,0
logic,reasoning,0,0
logic,math,0,-1
logic,clear,0,0
experiment,science,1,1
experiment,discovery,1,1
experiment,fun,1,1
algorithm,code,0,0
algorithm,logic,0,0
algorithm,complexity,0,0
philosophy,think,0,0
philosophy,mean,0,0
philosophy,deep,0,0
equation,math,0,-1
equation,solution,0,0
equation,complexity,0,-1
class,school,0,0
class,learn,0,0
class,boredom,0,-1
lecture,listen,0,0
lecture,learn,0,0
lecture,sleep,0,-1
creativity,art,1,-1
creativity,innovation,1,1
creativity,freedom,1,1
biology,life,0,1
biology,science,0,1
biology,interest,0,1
