cue_word,association_word,cue_valence,associated_valence
problem - solve,logic,1,1
problem - solve,puzzle,1,1
problem - solve,success,1,1
knowledge,fact,1,0
knowledge,power,1,1
knowledge,book,1,-1
society,people,-1,-1
society,rule,-1,0
society,community,-1,-1
career,job,1,1
career,ambition,1,0
career,money,1,1
professor,teacher,0,0
professor,smart,0,1
professor,strict,0,-1
science,experiment,-1,0
science,lab,-1,-1
science,discover,-1,-1
llm,ai,0,0
llm,tool,0,1
llm,chat,0,-1
history,past,1,1
history,event,1,1
history,story,1,1
datum,number,1,0
datum,info,1,1
datum,computer,1,1
class,school,-1,-1
class,group,-1,-1
class,lesson,-1,-1
equation,math,-1,-1
equation,solve,-1,0
equation,x,-1,-1
student,young,0,0
student,learn,0,0
student,lazy,0,-1
literature,book,-1,-1
literature,poem,-1,-1
literature,bore,-1,-1
chatgpt,ai,0,0
chatgpt,helpful,0,1
chatgpt,cheat,0,-1
grade,score,-1,-1
grade,pass,-1,1
grade,fail,-1,-1
homework,task,-1,-1
homework,tedious,-1,-1
homework,night,-1,-1
scientist,expert,-1,1
scientist,lab,-1,-1
scientist,crazy,-1,-1
proof,evidence,0,1
proof,true,0,1
proof,math,0,-1
chemistry,lab,-1,-1
chemistry,smell,-1,-1
chemistry,hate,-1,-1
failure,lose,-1,-1
failure,sad,-1,-1
failure,lesson,-1,-1
theorem,math,-1,-1
theorem,prove,-1,0
theorem,hard,-1,-1
variable,x,1,0
variable,change,1,0
variable,code,1,1
music,song,1,1
music,relax,1,1
music,fun,1,1
job,work,1,0
job,pay,1,1
job,stable,1,1
lecture,talk,-1,-1
lecture,bore,-1,-1
lecture,sleep,-1,0
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,worry,-1,-1
mathematic,difficult,-1,-1
mathematic,number,-1,-1
mathematic,school,-1,-1
informatic,computer,1,1
informatic,programming,1,1
informatic,fun,1,1
physics,hard,-1,-1
physics,formula,-1,-1
physics,bore,-1,-1
algorithm,step,1,0
algorithm,code,1,1
algorithm,efficient,1,1
logic,puzzle,1,1
logic,reasoning,1,1
logic,clear,1,1
exam,stress,-1,-1
exam,failure,-1,-1
exam,nerve,-1,-1
experiment,lab,0,-1
experiment,test,0,-1
experiment,result,0,0
classroom,teacher,-1,0
classroom,chalk,-1,-1
classroom,bore,-1,-1
success,achievement,1,1
success,happy,1,1
success,money,1,1
biology,life,0,1
biology,cell,0,-1
biology,memory,0,0
study,effort,1,0
study,book,1,0
study,progress,1,1
computation,computer,1,1
computation,fast,1,1
computation,useful,1,1
blackboard,chalk,-1,-1
blackboard,equation,-1,-1
blackboard,class,-1,-1
stem,science,0,0
stem,tech,0,1
stem,challenge,0,-1
model,equation,0,-1
model,predict,0,0
model,build,0,0
number,count,-1,-1
number,math,-1,-1
number,confuse,-1,-1
work,job,1,1
work,tired,1,-1
work,income,1,1
art,paint,1,1
art,cinema,1,1
art,beautiful,1,1
teacher,authority,0,0
teacher,explain,0,1
teacher,strict,0,-1
teamwork,group,-1,-1
teamwork,discuss,-1,0
teamwork,drain,-1,-1
creativity,paint,1,1
creativity,idea,1,1
creativity,fun,1,1
philosophy,thought,1,1
philosophy,life,1,1
philosophy,wisdom,1,1
future,uncertain,0,-1
future,hope,0,1
future,family,0,1
ai,computer,1,1
ai,smart,1,1
ai,future,1,0
