cue_word,association_word,cue_valence,associated_valence
ai,robot,1,0
ai,future,1,1
ai,helpful,1,1
mathematic,logic,1,1
mathematic,puzzle,1,0
mathematic,equation,1,1
music,rhythm,1,1
music,melody,1,1
music,relax,1,0
biology,cell,1,1
biology,evolution,1,1
biology,life,1,1
science,experiment,1,1
science,discovery,1,1
science,knowledge,1,1
literature,book,-1,-1
literature,essay,-1,-1
literature,bore,-1,-1
teamwork,group,-1,-1
teamwork,collaboration,-1,0
teamwork,stress,-1,-1
anxiety,worry,-1,-1
anxiety,panic,-1,-1
anxiety,fear,-1,-1
history,date,-1,-1
history,war,-1,-1
history,memorize,-1,-1
problem - solve,challenge,1,0
problem - solve,solution,1,1
problem - solve,reward,1,1
art,creative,0,1
art,beauty,0,1
art,draw,0,0
blackboard,chalk,0,-1
blackboard,teach,0,0
blackboard,math,0,1
professor,smart,0,1
professor,mentor,0,0
professor,strict,0,-1
student,learn,0,1
student,friend,0,0
student,study,0,-1
exam,test,-1,-1
exam,stress,-1,-1
exam,fail,-1,-1
grade,a,0,1
grade,success,0,1
grade,fail,0,-1
chatgpt,helpful,0,1
chatgpt,chat,0,0
chatgpt,ai,0,1
datum,analysis,0,0
datum,number,0,0
datum,useful,0,1
computation,code,1,1
computation,fast,1,1
computation,computer,1,1
variable,equation,0,1
variable,change,0,-1
variable,x,0,0
success,achievement,1,1
success,goal,1,1
success,happy,1,1
work,job,-1,-1
work,money,-1,0
work,effort,-1,-1
llm,language,0,0
llm,smart,0,1
llm,chatbot,0,0
philosophy,think,-1,0
philosophy,abstract,-1,-1
philosophy,deep,-1,0
scientist,lab,1,1
scientist,research,1,1
scientist,discover,1,1
model,math,0,1
model,theory,0,0
model,predict,0,0
job,career,-1,0
job,salary,-1,0
job,office,-1,-1
stem,science,0,-1
stem,math,0,1
stem,engineering,0,0
lecture,professor,-1,-1
lecture,note,-1,-1
lecture,bore,-1,-1
homework,tedious,-1,-1
homework,grade,-1,-1
homework,late,-1,-1
teacher,mentor,-1,0
teacher,strict,-1,-1
teacher,helpful,-1,0
proof,logic,1,1
proof,theorem,1,1
proof,correct,1,1
future,success,0,1
future,uncertain,0,-1
future,career,0,0
failure,bad,-1,-1
failure,learn,-1,-1
failure,avoid,-1,0
number,math,1,1
number,calculate,1,0
number,fun,1,1
career,success,0,1
career,money,0,0
career,passion,0,1
informatic,programming,0,0
informatic,code,0,0
informatic,computer,0,-1
study,learn,-1,0
study,book,-1,-1
study,exam,-1,-1
knowledge,power,1,0
knowledge,useful,1,1
knowledge,deep,1,0
logic,reason,1,1
logic,puzzle,1,0
logic,smart,1,1
algorithm,code,0,0
algorithm,efficient,0,1
algorithm,solve,0,0
physics,hard,-1,-1
physics,formula,-1,-1
physics,bore,-1,-1
class,student,-1,-1
class,learn,-1,0
class,bell,-1,-1
theorem,math,1,1
theorem,prove,1,0
theorem,pythagoras,1,0
society,people,-1,-1
society,progress,-1,0
society,technology,-1,0
experiment,lab,-1,-1
experiment,test,-1,-1
experiment,biology,-1,1
equation,solve,0,0
equation,math,0,1
equation,balance,0,0
classroom,desk,-1,-1
classroom,board,-1,-1
classroom,sleep,-1,-1
chemistry,element,-1,-1
chemistry,reaction,-1,-1
chemistry,lab,-1,-1
creativity,idea,-1,-1
creativity,art,-1,-1
creativity,imagination,-1,-1
