cue_word,association_word,cue_valence,associated_valence
number,quantity,0,0
number,digit,0,1
number,figure,0,0
biology,organism,1,1
biology,cell,1,0
biology,ecology,1,0
equation,mathematical,0,0
equation,solution,0,0
equation,formula,0,0
logic,reasoning,1,1
logic,argument,1,0
logic,deduction,1,0
computation,calculation,0,0
computation,processing,0,0
computation,programming,0,0
art,creative,1,1
art,expressive,1,0
art,visual,1,0
homework,assignment,0,0
homework,task,0,0
homework,practice,0,0
music,melody,0,1
music,rhythm,0,0
music,note,0,0
knowledge,information,1,1
knowledge,learn,1,1
knowledge,fact,1,0
chemistry,element,0,0
chemistry,reaction,0,0
chemistry,molecule,0,0
philosophy,existentialism,1,0
philosophy,ethic,1,1
philosophy,reasoning,1,0
creativity,innovative,1,1
creativity,original,1,0
creativity,imaginative,1,0
blackboard,chalk,0,-1
blackboard,write,0,0
blackboard,education,0,0
llm,language,0,1
llm,model,0,0
llm,processing,0,0
model,representation,0,0
model,simulation,0,0
model,analysis,0,0
work,job,0,0
work,task,0,0
work,productivity,0,1
ai,machine learn,0,0
ai,intelligent system,0,0
ai,automation,0,0
teamwork,collaboration,1,1
teamwork,coordination,1,0
teamwork,synergy,1,0
history,past event,0,0
history,chronology,0,0
history,legacy,0,0
failure,mistake,-1,0
failure,setback,-1,0
failure,defeat,-1,-1
variable,changeable,1,0
variable,unpredictable,1,0
variable,adjustable,1,0
class,group,0,1
class,lecture,0,0
class,education,0,1
lecture,teach,0,0
lecture,instruction,0,0
lecture,learn,0,1
physics,gravity,0,0
physics,force,0,0
physics,energy,0,0
career,job,0,1
career,profession,0,0
career,goal,0,0
grade,knowledge,0,-1
grade,achievement,0,0
grade,assessment,0,1
problem - solve,critical thinking,1,0
problem - solve,decision make,1,0
problem - solve,challenge,1,0
proof,evidence,1,0
proof,verification,1,0
proof,certainty,1,0
datum,information,1,0
datum,fact,1,0
datum,insight,1,0
job,career,1,0
job,employment,1,0
job,opportunity,1,0
student,learn,1,0
student,education,1,0
student,pupil,1,0
science,research,1,0
science,discovery,1,0
science,knowledge,1,0
study,learn,1,0
study,analysis,1,0
study,investigation,1,0
chatgpt,ai,0,0
chatgpt,conversation,0,0
chatgpt,assistant,0,0
success,accomplishment,1,0
success,achievement,1,0
success,prosperity,1,0
teacher,mentor,0,0
teacher,educator,0,0
teacher,guide,0,0
professor,scholar,0,0
professor,expert,0,0
professor,advisor,0,0
scientist,researcher,1,0
scientist,investigator,1,0
scientist,discoverer,1,0
anxiety,stress,-1,0
anxiety,nervousness,-1,0
anxiety,worry,-1,0
classroom,learn environment,1,0
classroom,school,1,0
classroom,education,1,0
theorem,principle,1,0
theorem,law,1,0
theorem,concept,1,0
informatic,compute,0,0
informatic,technology,0,0
informatic,datum processing,0,-1
literature,write,0,0
literature,storytelle,0,0
literature,language,0,0
mathematic,equation,1,0
mathematic,number,1,0
mathematic,logic,1,0
experiment,testing,1,0
experiment,research,1,0
experiment,analysis,1,0
stem,science,1,0
stem,technology,1,0
stem,engineering,1,0
society,community,1,0
society,culture,1,0
society,relationship,1,0
exam,assessment,0,-1
exam,testing,0,0
exam,evaluation,0,0
future,prospect,1,0
future,goal,1,0
future,possibility,1,0
algorithm,process,0,0
algorithm,procedure,0,0
algorithm,formula,0,-1
