cue_word,association_word,cue_valence,associated_valence
number,math,0,1
number,logic,0,0
number,order,0,-1
classroom,learn,0,1
classroom,teacher,0,0
classroom,student,0,-1
model,theory,-1,-1
model,simulation,-1,0
model,representation,-1,-1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,worry,-1,-1
proof,evidence,0,1
proof,demonstration,0,0
proof,certainty,0,-1
stem,science,0,1
stem,technology,0,0
stem,engineering,0,-1
computation,calculation,-1,-1
computation,algorithm,-1,0
computation,datum,-1,-1
teamwork,collaboration,1,1
teamwork,cooperation,1,1
teamwork,communication,1,0
society,community,-1,0
society,culture,-1,-1
society,people,-1,-1
music,sound,1,0
music,rhythm,1,0
music,emotion,1,-1
knowledge,learn,1,1
knowledge,understand,1,1
knowledge,wisdom,1,0
chemistry,reaction,-1,-1
chemistry,element,-1,-1
chemistry,laboratory,-1,-1
llm,language,0,1
llm,model,0,-1
llm,ai,0,-1
variable,change,-1,-1
variable,flexibility,-1,0
variable,uncertainty,-1,-1
science,research,1,1
science,discovery,1,1
science,experiment,1,0
physics,energy,-1,0
physics,matter,-1,-1
physics,law,-1,-1
teacher,education,1,1
teacher,guidance,1,0
teacher,knowledge,1,1
experiment,test,0,-1
experiment,hypothesis,0,-1
experiment,observation,0,-1
ai,technology,-1,0
ai,future,-1,-1
ai,automation,-1,-1
grade,score,-1,-1
grade,evaluation,-1,-1
grade,performance,-1,-1
datum,information,-1,0
datum,analysis,-1,-1
datum,statistic,-1,-1
job,work,-1,-1
job,career,-1,0
job,income,-1,1
work,effort,-1,-1
work,productivity,-1,0
work,stress,-1,-1
student,learn,0,1
student,study,0,-1
student,education,0,1
history,past,-1,-1
history,event,-1,-1
history,culture,-1,-1
failure,defeat,-1,-1
failure,disappointment,-1,-1
equation,maths,0,-1
equation,solution,0,1
literature,book,1,1
literature,poetry,1,0
biology,cell,-1,-1
biology,nature,-1,0
professor,teacher,0,0
professor,knowledge,0,1
philosophy,thought,-1,-1
philosophy,mean,-1,-1
class,student,0,0
class,learn,0,1
art,paint,1,1
art,creativity,1,1
informatic,computer,-1,-1
informatic,datum,-1,0
success,achievement,1,1
success,happiness,1,1
problem - solve,logic,0,-1
problem - solve,strategy,0,0
algorithm,code,-1,-1
algorithm,solution,-1,1
career,job,0,-1
career,growth,0,1
mathematic,number,0,-1
mathematic,logic,0,-1
logic,reasoning,-1,-1
logic,structure,-1,-1
exam,test,-1,-1
exam,stress,-1,-1
study,learn,0,1
study,book,0,1
creativity,art,1,1
creativity,innovation,1,1
theorem,proof,-1,0
theorem,maths,-1,0
homework,task,-1,-1
homework,study,-1,0
scientist,research,1,1
scientist,discovery,1,1
blackboard,classroom,-1,0
blackboard,chalk,-1,-1
chatgpt,ai,0,-1
chatgpt,technology,0,-1
lecture,teacher,0,0
lecture,learn,0,1
future,hope,-1,0
future,uncertainty,-1,-1
