cue_word,association_word,cue_valence,associated_valence
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,fear,-1,0
problem - solve,logic,0,0
problem - solve,strategy,0,0
problem - solve,critical,0,-1
science,research,0,0
science,experiment,0,0
science,datum,0,-1
biology,cell,-1,0
biology,dna,-1,0
biology,evolution,-1,-1
career,job,-1,-1
career,skill,-1,0
career,future,-1,-1
experiment,datum,0,-1
experiment,result,0,0
experiment,hypothesis,0,-1
literature,book,-1,0
literature,story,-1,0
literature,narrative,-1,-1
classroom,teacher,-1,0
classroom,student,-1,-1
classroom,lesson,-1,0
grade,score,-1,-1
grade,mark,-1,-1
grade,performance,-1,-1
creativity,imagination,0,0
creativity,innovation,0,0
creativity,art,0,0
mathematic,equation,0,0
mathematic,number,0,0
mathematic,logic,0,0
lecture,professor,-1,0
lecture,note,-1,0
lecture,class,-1,-1
informatic,code,0,0
informatic,algorithm,0,0
informatic,programming,0,0
equation,math,0,0
equation,solution,0,0
equation,variable,0,-1
exam,test,-1,-1
exam,stress,-1,-1
exam,result,-1,0
theorem,proof,0,0
theorem,math,0,0
theorem,logic,0,0
stem,science,0,0
stem,tech,0,0
stem,engineering,0,0
homework,assignment,-1,0
homework,practice,-1,0
homework,study,-1,0
art,paint,0,0
art,draw,0,0
art,creativity,0,0
number,digit,0,0
number,math,0,0
number,equation,0,0
music,song,0,0
music,note,0,0
music,rhythm,0,0
student,university,-1,0
student,class,-1,-1
student,study,-1,0
blackboard,chalk,-1,0
blackboard,write,-1,0
blackboard,board,-1,-1
chatgpt,ai,0,0
chatgpt,help,0,0
chatgpt,response,0,0
model,simulation,0,0
model,representation,0,0
model,example,0,0
chemistry,molecule,0,0
chemistry,reaction,0,0
chemistry,lab,0,0
proof,math,0,0
proof,logic,0,0
proof,evidence,0,0
work,job,0,0
work,effort,0,0
work,task,0,0
failure,mistake,-1,-1
failure,error,-1,-1
failure,learn,-1,0
success,achievement,0,0
success,win,0,0
success,goal,0,0
history,past,0,0
history,event,0,0
history,story,0,0
class,room,0,0
class,student,0,0
class,teacher,0,0
philosophy,think,0,0
philosophy,question,0,0
philosophy,ethic,0,0
scientist,experiment,0,0
scientist,research,0,0
scientist,datum,0,0
future,tomorrow,0,0
future,plan,0,0
future,hop,0,0
logic,reasoning,0,0
logic,deduction,0,0
logic,truth,0,0
job,career,0,0
job,income,0,0
job,work,0,0
professor,lecturer,0,0
professor,teach,0,0
professor,university,0,0
computation,algorithm,0,0
computation,code,0,0
computation,computer,0,0
society,community,0,0
society,culture,0,0
society,people,0,0
ai,machine,0,0
ai,learn,0,0
ai,intelligence,0,0
teacher,instructor,0,0
teacher,class,0,0
teacher,guidance,0,0
variable,unknown,0,0
variable,factor,0,0
variable,change,0,0
physics,law,0,0
physics,equation,0,0
physics,force,0,0
teamwork,collaboration,0,0
teamwork,group,0,0
teamwork,support,0,0
study,learn,0,0
study,book,0,0
study,note,0,0
algorithm,step,0,0
algorithm,process,0,0
algorithm,sequence,0,0
llm,language,0,0
llm,model,0,0
llm,text,0,0
datum,information,0,0
datum,number,0,0
datum,statistic,0,0
knowledge,wisdom,0,0
knowledge,understand,0,0
knowledge,fact,0,0
