cue_word,association_word,cue_valence,associated_valence
future,progress,0,1
future,uncertainty,0,-1
future,opportunity,0,0
class,learn,0,0
class,boredom,0,-1
class,past,0,0
llm,technology,0,0
llm,future,0,0
llm,complexity,0,0
chemistry,science,-1,0
chemistry,experiment,-1,0
chemistry,confuse,-1,-1
anxiety,stress,-1,-1
anxiety,nervous,-1,-1
anxiety,pressure,-1,-1
career,growth,0,1
career,stability,0,0
career,challenge,0,0
ai,innovation,0,1
ai,fear,0,-1
ai,future,0,0
professor,teacher,0,0
professor,respect,0,1
professor,authority,0,0
model,math,0,0
model,science,0,0
model,abstract,0,-1
society,community,0,1
society,diversity,0,1
society,change,0,0
experiment,science,0,0
experiment,discovery,0,1
experiment,risk,0,0
physics,science,0,0
physics,law,0,0
physics,interest,0,0
study,learn,0,0
study,effort,0,0
study,future,0,0
chatgpt,ai,0,0
chatgpt,help,0,1
chatgpt,curious,0,0
teamwork,collaboration,1,1
teamwork,success,1,1
teamwork,challenge,1,0
student,learn,0,0
student,future,0,0
student,pressure,0,-1
stem,science,0,0
stem,future,0,0
stem,job,0,0
teacher,learn,0,0
teacher,respect,0,1
teacher,knowledge,0,1
homework,study,-1,0
homework,stress,-1,-1
homework,obligation,-1,-1
blackboard,class,0,0
blackboard,learn,0,0
blackboard,old,0,-1
work,effort,0,0
work,stability,0,0
work,challenge,0,0
theorem,math,-1,0
theorem,proof,-1,0
theorem,difficult,-1,-1
failure,loss,-1,-1
failure,disappointment,-1,-1
failure,learn,-1,0
classroom,learn,0,0
classroom,boredom,0,-1
classroom,past,0,0
problem - solve,challenge,1,0
problem - solve,think,1,0
problem - solve,success,1,1
success,money,1,0
success,happy,1,1
success,achievement,1,1
algorithm,code,0,0
algorithm,solution,0,0
algorithm,complex,0,0
logic,reason,0,0
logic,math,0,0
logic,structure,0,0
equation,math,0,0
equation,solve,0,0
equation,number,0,0
variable,change,0,0
variable,unknown,0,-1
variable,math,0,0
informatic,computer,0,0
informatic,datum,0,0
informatic,science,0,0
computation,math,0,0
computation,number,0,0
computation,machine,0,0
mathematic,number,0,0
mathematic,logic,0,0
mathematic,difficult,0,-1
creativity,art,1,0
creativity,imagination,1,1
creativity,freedom,1,1
number,math,0,0
number,count,0,0
number,datum,0,0
datum,information,0,0
datum,analysis,0,0
datum,number,0,0
grade,school,-1,-1
grade,result,-1,0
grade,pressure,-1,-1
history,past,-1,-1
history,event,-1,-1
history,bore,-1,-1
job,work,0,0
job,money,0,0
job,tired,0,-1
art,paint,0,0
art,beauty,0,0
art,creativity,0,1
science,math,0,0
science,experiment,0,0
science,knowledge,0,0
biology,life,0,0
biology,cell,0,0
biology,interest,0,0
exam,stress,-1,-1
exam,study,-1,-1
exam,grade,-1,-1
lecture,class,-1,-1
lecture,bored,-1,-1
lecture,learn,-1,0
scientist,research,0,0
scientist,science,0,0
scientist,smart,0,0
philosophy,think,-1,0
philosophy,deep,-1,0
philosophy,confuse,-1,-1
music,song,1,0
music,joy,1,1
music,cinema,1,0
proof,math,0,0
proof,evidence,0,0
proof,difficult,0,-1
literature,book,-1,-1
literature,bore,-1,-1
literature,word,-1,-1
knowledge,learn,1,0
knowledge,science,1,0
knowledge,power,1,0
