cue_word,association_word,cue_valence,associated_valence
physics,science,0,0
physics,theory,0,1
physics,experiment,0,-1
knowledge,learn,1,1
knowledge,information,1,0
knowledge,understand,1,1
logic,reasoning,1,0
logic,critical thinking,1,0
logic,deduction,1,0
model,representation,0,-1
model,simulation,0,-1
model,analysis,0,0
teamwork,collaboration,1,1
teamwork,cooperation,1,1
teamwork,partnership,1,0
professor,lecturer,1,0
professor,educator,1,0
professor,mentor,1,0
chatgpt,ai,-1,-1
chatgpt,language model,-1,-1
chatgpt,assistant,-1,-1
anxiety,stress,0,1
anxiety,fear,0,0
anxiety,uncertainty,0,-1
teacher,educator,1,0
teacher,mentor,1,0
teacher,instructor,1,0
career,job,1,0
career,profession,1,0
career,vocation,1,-1
mathematic,number,0,0
mathematic,equation,0,1
mathematic,calculation,0,0
theorem,proof,1,0
theorem,principle,1,-1
theorem,law,1,0
literature,write,0,0
literature,storytelle,0,0
literature,narrative,0,0
scientist,researcher,1,0
scientist,investigator,1,-1
scientist,explorer,1,0
student,learner,1,1
student,pupil,1,0
student,scholar,1,0
datum,information,0,-1
datum,number,0,0
datum,statistic,0,0
chemistry,molecule,0,-1
chemistry,reaction,0,0
chemistry,compound,0,-1
science,research,1,0
science,experiment,1,0
science,discovery,1,0
classroom,school,1,0
classroom,learn environment,1,-1
classroom,education,1,0
grade,score,0,0
grade,mark,0,0
grade,evaluation,0,-1
algorithm,procedure,0,0
algorithm,formula,0,0
algorithm,method,0,0
lecture,presentation,0,0
lecture,talk,0,-1
lecture,explanation,0,0
variable,factor,0,-1
variable,parameter,0,-1
variable,quantity,0,0
computation,calculation,0,0
computation,processing,0,-1
computation,analysis,0,0
society,community,1,0
society,culture,1,0
society,norm,1,0
art,aesthetic,0,0
art,creative,0,1
art,inspirational,0,-1
equation,complex,0,-1
equation,logical,0,0
equation,abstract,0,0
problem - solve,analytical,0,1
problem - solve,strategic,0,0
problem - solve,challenge,0,-1
ai,technological,0,0
ai,future - orient,0,1
ai,intelligent,0,0
study,learn,0,1
study,discipline,0,-1
study,productive,0,0
number,quantitative,0,0
number,calculative,0,0
number,precise,0,1
llm,generative,0,-1
llm,language - base,0,0
llm,efficient,0,0
blackboard,traditional,0,0
blackboard,educational,0,1
blackboard,visual,0,0
failure,learn,-1,0
failure,resilience,-1,-1
failure,growth,-1,-1
job,career,0,1
job,financial,0,0
job,development,0,0
philosophy,existential,-1,-1
philosophy,intellectual,-1,0
philosophy,think - provoke,-1,0
history,historical,0,1
history,analytical,0,0
history,narrative,0,0
music,melodic,1,0
music,emotional,1,0
music,creative,1,1
exam,assessment,-1,-1
exam,pressure,-1,-1
exam,evaluation,-1,-1
proof,logical,0,1
proof,verifiable,0,0
proof,rigorous,0,0
stem,scientific,0,1
stem,analytical,0,1
stem,innovative,0,0
success,achievement,1,1
success,reward,1,0
success,fulfillment,1,0
work,professional,0,0
work,productive,0,0
work,rewarding,0,-1
informatic,digital,0,0
informatic,computational,0,0
informatic,practical,0,1
class,educational,0,1
class,structure,0,0
class,social,0,-1
future,prospective,-1,0
future,opportunity,-1,0
future,uncertain,-1,-1
biology,life - science,0,1
biology,organic,0,0
biology,research,0,0
experiment,scientific,0,1
experiment,hand - on,0,-1
experiment,discoverable,0,0
creativity,original,1,0
creativity,expressive,1,0
creativity,innovative,1,1
homework,assignment,-1,-1
homework,practice,-1,-1
homework,discipline,-1,0
