cue_word,association_word,cue_valence,associated_valence
physics,maths,0,1
physics,difficult,0,-1
physics,interest,0,0
variable,maths,0,1
variable,unknown,0,-1
variable,change,0,0
science,knowledge,1,1
science,experiment,1,0
science,discovery,1,1
professor,teacher,0,0
professor,knowledge,0,1
professor,lecture,0,0
ai,technology,0,0
ai,future,0,0
ai,unknown,0,-1
success,achievement,1,1
success,happiness,1,1
success,work,1,0
music,relaxation,1,1
music,art,1,-1
music,sound,1,0
theorem,maths,0,1
theorem,proof,0,0
theorem,logic,0,0
number,maths,0,1
number,count,0,0
number,datum,0,0
knowledge,learn,1,1
knowledge,science,1,1
knowledge,wisdom,1,1
lecture,learn,0,1
lecture,professor,0,0
lecture,classroom,0,0
blackboard,classroom,0,0
blackboard,write,0,0
blackboard,lecture,0,0
future,hope,0,1
future,uncertainty,0,-1
future,progress,0,0
work,job,0,0
work,effort,0,0
work,success,0,1
teamwork,collaboration,0,0
teamwork,work,0,0
teamwork,group,0,0
logic,reasoning,0,0
logic,maths,0,1
logic,problem - solve,0,0
philosophy,think,-1,0
philosophy,question,-1,0
philosophy,abstract,-1,-1
classroom,learn,0,1
classroom,student,0,0
classroom,lecture,0,0
chemistry,science,0,1
chemistry,experiment,0,0
chemistry,reaction,0,0
problem - solve,logic,0,0
problem - solve,maths,0,1
problem - solve,challenge,0,0
failure,mistake,-1,-1
failure,learn,-1,1
failure,disappointment,-1,-1
art,creativity,-1,0
art,beauty,-1,0
art,expression,-1,0
biology,science,0,1
biology,life,0,1
biology,cell,0,0
algorithm,maths,0,1
algorithm,logic,0,0
algorithm,computer,0,0
chatgpt,ai,0,0
chatgpt,technology,0,0
chatgpt,assistant,0,0
experiment,science,0,0
experiment,discovery,0,1
career,job,0,0
career,growth,0,1
creativity,art,0,-1
creativity,innovation,0,0
class,school,0,0
class,learn,0,0
computation,math,0,0
computation,algorithm,0,0
informatic,computer,0,0
informatic,datum,0,0
llm,model,0,0
llm,learn,0,0
teacher,education,0,0
teacher,student,0,0
job,work,0,0
job,career,0,0
datum,information,0,0
datum,analysis,0,0
model,simulation,0,0
model,prediction,0,0
equation,math,0,0
equation,solution,0,0
student,learn,0,0
student,school,0,0
scientist,research,0,0
scientist,discovery,0,1
homework,study,-1,0
homework,assignment,-1,-1
mathematic,number,0,0
mathematic,logic,0,0
grade,school,0,0
grade,mark,0,0
proof,math,0,0
proof,evidence,0,0
stem,science,0,0
stem,technology,0,0
literature,book,-1,0
literature,read,-1,0
exam,test,-1,-1
exam,stress,-1,-1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
study,learn,0,0
study,book,0,0
history,past,0,0
history,event,0,0
society,people,0,0
society,community,0,0
