cue_word,association_word,cue_valence,associated_valence
blackboard,chalk,-1,-1
blackboard,classroom,-1,0
blackboard,teach,-1,0
science,experiment,1,1
science,discovery,1,1
science,curiosity,1,1
model,simulation,0,0
model,representation,0,0
model,theory,0,0
problem - solve,logic,1,-1
problem - solve,creativity,1,1
problem - solve,solution,1,1
logic,reasoning,-1,0
logic,mathematic,-1,-1
logic,structure,-1,0
work,effort,0,0
work,productivity,0,0
work,employment,0,-1
history,past,0,-1
history,event,0,0
history,learn,0,1
stem,science,1,1
stem,technology,1,1
stem,engineering,1,0
experiment,science,1,1
experiment,discovery,1,1
experiment,testing,1,0
future,hope,0,1
future,technology,0,1
future,uncertainty,0,-1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,nervousness,-1,-1
scientist,research,1,1
scientist,discovery,1,1
scientist,intelligence,1,1
creativity,art,1,1
creativity,innovation,1,1
creativity,imagination,1,1
equation,mathematic,-1,-1
equation,solution,-1,0
equation,problem,-1,-1
biology,life,0,1
biology,cell,0,0
biology,nature,0,1
teamwork,collaboration,1,1
teamwork,communication,1,1
teamwork,support,1,1
homework,study,-1,0
homework,effort,-1,0
homework,learn,-1,1
physics,mathematic,-1,-1
physics,law,-1,-1
physics,energy,-1,0
lecture,learn,0,1
lecture,teacher,0,0
lecture,classroom,0,0
informatic,computer,0,0
informatic,datum,0,0
informatic,technology,0,1
number,mathematic,-1,-1
number,count,-1,-1
number,datum,-1,0
literature,book,1,1
literature,read,1,1
literature,story,1,1
student,learn,0,1
student,school,0,0
student,knowledge,0,1
llm,machine,0,0
llm,learn,0,1
llm,model,0,0
computation,calculation,0,-1
computation,algorithm,0,0
computation,datum,0,0
job,career,-1,0
job,money,-1,0
job,stress,-1,-1
theorem,math,-1,-1
theorem,proof,-1,-1
theorem,complex,-1,-1
ai,future,0,0
ai,technology,0,0
ai,unknown,0,-1
chemistry,science,1,1
chemistry,experiment,1,1
chemistry,art,1,1
knowledge,learn,1,1
knowledge,wisdom,1,1
knowledge,power,1,0
algorithm,math,-1,-1
algorithm,code,-1,-1
algorithm,logic,-1,0
music,art,1,1
music,sound,1,1
music,emotion,1,1
philosophy,think,0,0
philosophy,mean,0,0
philosophy,life,0,1
variable,math,-1,-1
variable,change,-1,-1
variable,unknown,-1,-1
teacher,learn,0,1
teacher,school,0,0
teacher,guide,0,0
proof,math,-1,-1
proof,theorem,-1,-1
proof,evidence,-1,0
society,people,0,0
society,culture,0,0
society,community,0,0
classroom,learn,0,1
classroom,school,0,0
classroom,teacher,0,0
career,job,0,-1
career,success,0,1
career,growth,0,1
mathematic,number,-1,-1
mathematic,logic,-1,0
mathematic,difficult,-1,-1
class,school,0,0
class,learn,0,1
class,teacher,0,0
datum,information,0,0
datum,analysis,0,0
datum,number,0,-1
professor,teacher,0,0
professor,learn,0,1
professor,school,0,0
chatgpt,ai,0,0
chatgpt,technology,0,0
chatgpt,future,0,0
exam,test,-1,-1
exam,stress,-1,-1
exam,grade,-1,-1
success,achievement,1,1
success,happy,1,1
success,career,1,0
art,creative,1,1
art,beauty,1,1
art,expression,1,1
grade,school,-1,0
grade,exam,-1,-1
grade,performance,-1,0
failure,lose,-1,-1
failure,sad,-1,-1
failure,opportunity,-1,-1
study,learn,0,1
study,school,0,0
study,knowledge,0,1
