cue_word,association_word,cue_valence,associated_valence
lecture,knowledge,0,0
lecture,boredom,0,-1
lecture,clarity,0,0
grade,success,0,0
grade,pressure,0,-1
grade,achievement,0,0
work,stress,-1,-1
work,purpose,-1,0
work,effort,-1,0
anxiety,fear,-1,-1
anxiety,uncertainty,-1,-1
anxiety,overwhelm,-1,-1
knowledge,wisdom,0,0
knowledge,curiosity,0,0
knowledge,growth,0,0
philosophy,truth,0,0
philosophy,question,0,0
philosophy,search,0,0
professor,authority,-1,-1
professor,helpful,-1,0
professor,strict,-1,-1
scientist,discovery,0,0
scientist,curiosity,0,0
scientist,logic,0,0
informatic,code,0,0
informatic,technology,0,0
informatic,datum,0,0
music,emotion,0,0
music,joy,0,0
music,calm,0,0
problem - solve,clarity,0,0
problem - solve,effort,0,0
problem - solve,solution,0,0
algorithm,logic,0,0
algorithm,precision,0,0
algorithm,step - by - step,0,0
study,focus,0,0
study,tiredness,0,-1
study,progress,0,0
success,pride,0,0
success,reward,0,0
success,goal,0,0
equation,math,0,0
equation,balance,0,0
equation,solution,0,0
proof,logic,0,0
proof,certainty,0,0
proof,rigor,0,0
teamwork,trust,0,0
teamwork,collaboration,0,0
teamwork,support,0,0
failure,loss,-1,-1
failure,regret,-1,-1
failure,learn,-1,0
homework,stress,-1,-1
homework,task,-1,0
homework,completion,-1,0
number,pattern,0,0
number,calculation,0,0
number,datum,0,0
theorem,proof,0,0
theorem,truth,0,0
theorem,structure,0,0
chatgpt,helpful,0,0
chatgpt,fast,0,0
chatgpt,reliable,0,0
teacher,guidance,0,0
teacher,support,0,0
teacher,expectation,0,-1
history,memory,0,0
history,context,0,0
history,past,0,-1
chemistry,reaction,0,0
chemistry,molecule,0,0
chemistry,lab,0,-1
science,truth,0,0
science,discovery,0,0
science,curiosity,0,0
llm,power,0,0
llm,tool,0,0
llm,limitation,0,-1
ai,future,0,0
ai,automation,0,0
ai,ethic,0,-1
mathematic,logic,0,0
mathematic,precision,0,0
mathematic,proof,0,0
model,structure,0,0
model,representation,0,0
model,prediction,0,0
exam,stress,-1,-1
exam,pressure,-1,-1
exam,assessment,-1,0
job,stability,0,0
job,growth,0,0
job,income,0,0
physics,universe,0,0
physics,law,0,0
physics,motion,0,0
blackboard,write,0,0
blackboard,teach,0,0
blackboard,clarity,0,0
biology,life,0,0
biology,growth,0,0
biology,evolution,0,0
class,routine,0,-1
class,learn,0,0
class,community,0,0
society,change,0,0
society,structure,0,0
society,influence,0,0
art,emotion,0,0
art,expression,0,0
art,beauty,0,0
experiment,testing,0,0
experiment,failure,0,-1
experiment,learn,0,0
stem,innovation,0,0
stem,career,0,0
stem,problem,0,0
student,growth,0,0
student,responsibility,0,0
student,learn,0,0
logic,reason,0,0
logic,order,0,0
logic,consistency,0,0
computation,speed,0,0
computation,accuracy,0,0
computation,process,0,0
variable,change,0,0
variable,input,0,0
variable,output,0,0
future,hope,0,0
future,uncertainty,0,-1
future,progress,0,0
classroom,structure,0,0
classroom,interaction,0,0
classroom,learn,0,0
career,path,0,0
career,goal,0,0
career,choice,0,0
creativity,imagination,0,0
creativity,innovation,0,0
creativity,freedom,0,0
datum,fact,0,0
datum,analysis,0,0
datum,pattern,0,0
literature,story,0,0
literature,emotion,0,0
literature,imagination,0,0
