cue_word,association_word,cue_valence,associated_valence
society,people,0,0
society,rule,0,-1
success,achievement,1,1
success,money,1,0
logic,reason,0,0
logic,clarity,0,0
algorithm,step,-1,0
algorithm,code,-1,-1
professor,teacher,0,0
professor,knowledge,0,1
class,learn,0,0
class,room,0,-1
history,past,0,0
history,story,0,0
exam,test,-1,-1
exam,stress,-1,-1
creativity,art,1,1
creativity,idea,1,0
student,learn,0,0
student,youth,0,0
physics,science,1,1
physics,universe,1,1
chemistry,element,0,0
chemistry,reaction,0,0
grade,score,0,0
grade,pressure,0,-1
ai,intelligence,0,0
ai,future,0,0
model,example,0,0
model,simulation,0,0
lecture,talk,-1,0
lecture,bore,-1,-1
music,sound,1,0
music,emotion,1,0
work,job,0,0
work,effort,0,0
study,book,0,0
study,focus,0,0
equation,math,0,0
equation,balance,0,0
theorem,proof,0,0
theorem,truth,0,1
variable,change,0,0
variable,unknown,0,-1
stem,science,0,1
stem,technology,0,0
computation,calculation,0,0
computation,computer,0,-1
career,job,0,0
career,future,0,0
teamwork,collaboration,0,0
teamwork,support,0,1
science,discovery,1,1
science,curiosity,1,0
knowledge,wisdom,1,1
knowledge,growth,1,0
problem - solve,logic,0,0
problem - solve,challenge,0,0
biology,life,1,1
biology,cell,1,0
teacher,guidance,0,1
teacher,authority,0,0
experiment,test,0,0
experiment,result,0,0
homework,work,-1,0
homework,stress,-1,-1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
datum,information,0,0
datum,analysis,0,0
blackboard,chalk,0,-1
blackboard,learn,0,0
job,income,0,0
job,routine,0,-1
failure,mistake,-1,-1
failure,lesson,-1,0
philosophy,think,0,0
philosophy,question,0,0
proof,evidence,0,0
proof,certainty,0,0
llm,ai,0,0
llm,technology,0,0
scientist,research,1,1
scientist,expert,1,0
informatic,computer,-1,-1
informatic,system,-1,-1
future,hope,0,1
future,uncertainty,0,-1
number,math,0,0
number,precision,0,0
art,creativity,0,1
art,expression,0,0
mathematic,equation,0,0
mathematic,logic,0,0
literature,book,0,0
literature,story,0,1
classroom,student,0,0
classroom,discipline,0,-1
chatgpt,assistant,0,0
chatgpt,tool,0,0
