cue_word,association_word,cue_valence,associated_valence
chatgpt,ai,0,0
chatgpt,language,0,-1
success,achievement,1,1
success,happiness,1,1
equation,math,-1,-1
equation,solve,-1,0
grade,school,-1,-1
grade,performance,-1,0
knowledge,learn,1,1
knowledge,wisdom,1,1
future,hope,0,0
future,uncertainty,0,-1
llm,model,0,-1
llm,intelligence,0,1
logic,reasoning,0,0
logic,truth,0,1
career,job,0,0
career,growth,0,1
teacher,educate,0,1
teacher,mentor,0,1
class,student,-1,0
class,learn,-1,1
society,community,0,1
society,progress,0,1
physics,science,0,1
physics,law,0,-1
literature,book,1,1
literature,creativity,1,1
work,effort,0,0
work,achievement,0,1
stem,science,0,1
stem,technology,0,1
datum,information,-1,0
datum,analysis,-1,0
computation,calculate,-1,-1
computation,algorithm,-1,-1
exam,test,-1,-1
exam,stress,-1,-1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
failure,loss,-1,-1
failure,disappointment,-1,-1
chemistry,science,0,1
chemistry,reaction,0,-1
ai,technology,0,1
ai,intelligence,0,1
job,work,0,0
job,opportunity,0,1
problem - solve,solution,0,1
problem - solve,challenge,0,-1
student,school,-1,0
student,learn,-1,1
student,future,-1,0
history,past,-1,-1
history,event,-1,-1
history,culture,-1,0
science,discovery,0,1
science,experiment,0,0
science,knowledge,0,1
scientist,research,0,0
scientist,lab,0,-1
scientist,innovation,0,1
art,creativity,1,1
art,expression,1,1
art,beauty,1,1
teamwork,collaboration,0,0
teamwork,support,0,1
teamwork,goal,0,0
biology,life,-1,1
biology,cell,-1,-1
biology,ecosystem,-1,0
study,learn,-1,0
study,focus,-1,-1
study,effort,-1,-1
algorithm,code,-1,-1
algorithm,logic,-1,0
algorithm,solution,-1,0
proof,math,-1,0
proof,evidence,-1,0
proof,theorem,-1,-1
theorem,math,-1,0
theorem,formula,-1,-1
theorem,logic,-1,0
informatic,datum,-1,0
informatic,technology,-1,0
informatic,information,-1,0
music,rhythm,1,1
music,harmony,1,1
music,emotion,1,1
variable,change,-1,-1
variable,math,-1,0
variable,unknown,-1,-1
model,design,-1,0
model,representation,-1,-1
model,theory,-1,-1
philosophy,think,-1,0
philosophy,wisdom,-1,1
philosophy,question,-1,-1
creativity,innovation,1,1
creativity,art,1,1
creativity,idea,1,1
mathematic,number,-1,-1
mathematic,logic,-1,0
mathematic,problem,-1,-1
lecture,teach,-1,0
lecture,class,-1,-1
lecture,knowledge,-1,1
experiment,test,0,-1
experiment,discover,0,1
experiment,science,0,0
classroom,learn,-1,0
classroom,student,-1,0
classroom,teacher,-1,0
number,math,-1,0
number,count,-1,-1
number,datum,-1,0
professor,teach,0,0
professor,expert,0,1
professor,university,0,0
homework,assignment,-1,-1
homework,study,-1,-1
homework,effort,-1,-1
blackboard,class,-1,-1
blackboard,write,-1,-1
blackboard,teach,-1,0
