cue_word,association_word,cue_valence,associated_valence
mathematic,abstract,0,1
mathematic,formal,0,0
mathematic,logical,0,0
science,empirical,1,0
science,theoretical,1,0
science,research,1,0
equation,formula,0,0
equation,solution,0,0
equation,balance,0,0
chemistry,molecule,0,0
chemistry,reaction,0,0
chemistry,laboratory,0,0
future,possibility,1,1
future,change,1,0
future,progress,1,0
history,past,0,0
history,event,0,0
history,legacy,0,0
class,structure,0,0
class,order,0,0
class,group,0,0
chatgpt,ai,1,1
chatgpt,language,1,0
chatgpt,assistant,1,0
study,learn,1,1
study,research,1,0
study,analysis,1,0
model,representation,0,0
model,simulation,0,0
model,example,0,0
proof,verification,0,0
proof,logic,0,0
proof,evidence,0,0
career,job,1,0
career,goal,1,0
career,success,1,0
philosophy,think,0,0
philosophy,reasoning,0,0
philosophy,ethic,0,0
ai,machine,1,0
ai,learn,1,0
ai,intelligence,1,0
professor,teacher,0,0
professor,knowledge,0,0
professor,mentor,0,0
computation,calculation,0,0
computation,algorithm,0,0
computation,processing,0,0
homework,assignment,0,-1
homework,practice,0,0
homework,task,0,0
lecture,presentation,0,0
lecture,information,0,0
lecture,learn,0,0
anxiety,stress,0,0
anxiety,worry,0,0
anxiety,fear,0,0
art,creativity,1,1
art,expression,1,0
art,beauty,1,0
student,learn,1,1
student,education,1,0
student,growth,1,0
work,job,0,0
work,task,0,0
work,responsibility,0,0
music,melody,1,0
music,rhythm,1,0
music,harmony,1,0
variable,changeable,0,0
variable,factor,0,0
variable,unknown,0,-1
number,digit,1,0
number,calculation,1,0
number,mathematic,1,0
experiment,research,0,1
experiment,study,0,0
experiment,analysis,0,0
success,achievement,1,0
success,win,1,0
success,progress,1,0
algorithm,mathematical,0,1
algorithm,computational,0,0
algorithm,efficient,0,0
blackboard,chalk,0,-1
blackboard,learn,0,0
blackboard,education,0,1
theorem,proof,0,0
theorem,mathematic,0,1
theorem,logic,0,0
physics,science,0,1
physics,motion,0,0
physics,energy,0,0
scientist,researcher,1,0
scientist,discoverer,1,0
scientist,innovator,1,0
teamwork,collaboration,1,0
teamwork,partnership,1,0
teamwork,synergy,1,0
knowledge,understand,1,0
knowledge,wisdom,1,0
knowledge,learn,1,0
teacher,educator,1,0
teacher,mentor,1,0
teacher,guide,1,0
literature,book,0,1
literature,story,0,0
literature,art,0,0
informatic,compute,0,0
informatic,datum,0,1
informatic,technology,0,0
llm,artificial intelligence,0,0
llm,machine learn,0,1
llm,natural language processing,0,0
biology,life,0,1
biology,ecology,0,0
biology,research,0,0
stem,science,1,1
stem,technology,1,0
stem,engineering,1,0
classroom,learn,0,0
classroom,education,0,1
classroom,school,0,-1
logic,reasoning,0,0
logic,analysis,0,0
logic,critical thinking,0,1
failure,mistake,-1,0
failure,setback,-1,-1
failure,learn opportunity,-1,0
job,career,0,1
job,employment,0,0
job,responsibility,0,0
problem - solve,critical thinking,1,0
problem - solve,innovation,1,0
problem - solve,resolution,1,0
society,community,0,1
society,culture,0,0
society,progress,0,0
datum,information,0,1
datum,analysis,0,0
datum,insight,0,0
exam,assessment,-1,0
exam,testing,-1,0
exam,evaluation,-1,0
grade,score,0,0
grade,achievement,0,1
grade,success,0,0
creativity,imagination,1,0
creativity,innovation,1,0
creativity,originality,1,0
