cue_word,association_word,cue_valence,associated_valence
career,opportunity,0,0
career,stress,0,-1
career,balance,0,-1
work,routine,-1,-1
work,responsibility,-1,0
work,income,-1,0
computation,logic,0,1
computation,efficiency,0,0
computation,power,0,0
study,book,0,1
study,learn,0,1
study,time,0,-1
future,uncertain,-1,-1
future,hopeful,-1,0
future,plan,-1,0
physics,theory,0,1
physics,nature,0,1
physics,math,0,0
philosophy,think,1,1
philosophy,question,1,0
philosophy,life,1,1
creativity,idea,1,1
creativity,art,1,1
creativity,freedom,1,1
literature,story,-1,0
literature,word,-1,0
literature,emotion,-1,-1
class,room,-1,-1
class,teach,-1,0
class,people,-1,0
theorem,proof,0,0
theorem,math,0,1
theorem,truth,0,1
music,melody,1,1
music,relaxation,1,1
music,classical,1,1
grade,mark,-1,-1
grade,achievement,-1,0
grade,pressure,-1,-1
informatic,datum,0,0
informatic,technology,0,1
informatic,science,0,1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,worry,-1,-1
biology,cell,-1,-1
biology,science,-1,0
biology,confuse,-1,-1
success,achievement,1,1
success,goal,1,0
success,satisfaction,1,1
art,creativity,1,1
art,beauty,1,1
art,expression,1,1
chatgpt,ai,0,0
chatgpt,helpful,0,1
chatgpt,tool,0,0
problem - solve,logic,0,1
problem - solve,skill,0,0
problem - solve,challenge,0,-1
student,learn,-1,1
student,book,-1,1
student,school,-1,-1
experiment,science,0,0
experiment,testing,0,0
experiment,result,0,-1
chemistry,reaction,-1,-1
chemistry,lab,-1,-1
chemistry,element,-1,-1
job,work,-1,-1
job,salary,-1,0
job,task,-1,-1
scientist,research,0,1
scientist,knowledge,0,1
scientist,curious,0,1
model,future,0,0
model,tech,0,0
model,tool,0,0
ai,power,0,0
ai,change,0,0
ai,future,0,0
number,logic,-1,0
number,order,-1,0
number,bore,-1,-1
exam,stress,-1,-1
exam,grade,-1,-1
exam,test,-1,-1
stem,science,0,0
stem,study,0,-1
stem,future,0,0
lecture,passive,-1,-1
lecture,bore,-1,-1
lecture,classroom,-1,-1
homework,chore,-1,-1
homework,late,-1,-1
homework,work,-1,-1
teamwork,collaborate,0,0
teamwork,helpful,0,0
teamwork,social,0,0
llm,smart,0,0
llm,tool,0,0
llm,chat,0,-1
algorithm,complex,-1,-1
algorithm,code,-1,-1
algorithm,logic,-1,0
variable,unknown,-1,-1
variable,math,-1,-1
variable,datum,-1,-1
logic,reasoning,1,1
logic,clear,1,1
logic,order,1,1
mathematic,logic,-1,1
mathematic,number,-1,-1
mathematic,struggle,-1,-1
knowledge,wisdom,1,1
knowledge,power,1,0
knowledge,growth,1,0
datum,info,-1,-1
datum,number,-1,-1
datum,analysis,-1,-1
professor,mentor,0,1
professor,authority,0,-1
professor,strict,0,-1
society,people,-1,-1
society,culture,-1,-1
society,community,-1,-1
teacher,guide,0,1
teacher,mentor,0,1
teacher,strict,0,-1
science,truth,0,1
science,research,0,0
science,study,0,-1
history,past,-1,-1
history,memory,-1,-1
history,bore,-1,-1
classroom,learn,-1,0
classroom,noise,-1,-1
classroom,stress,-1,-1
proof,logic,0,1
proof,truth,0,1
proof,math,0,-1
blackboard,write,-1,-1
blackboard,chalk,-1,-1
blackboard,old,-1,-1
failure,sad,-1,-1
failure,mistake,-1,-1
failure,learn,-1,0
equation,math,-1,-1
equation,logic,-1,1
equation,symbol,-1,-1
