cue_word,association_word,cue_valence,associated_valence
biology,cell,0,0
biology,ecosystem,0,0
biology,life,0,1
exam,stress,-1,-1
exam,study,-1,0
exam,grade,-1,-1
number,math,-1,-1
number,count,-1,0
number,datum,-1,0
career,job,0,0
career,future,0,0
career,stability,0,0
theorem,proof,-1,-1
theorem,math,-1,-1
theorem,logic,-1,0
society,people,0,0
society,culture,0,0
society,change,0,0
computation,code,0,0
computation,logic,0,0
computation,algorithm,0,0
problem - solve,logic,1,0
problem - solve,think,1,1
problem - solve,creative,1,1
work,job,0,0
work,effort,0,0
work,pay,0,0
knowledge,learn,1,1
knowledge,wisdom,1,1
knowledge,book,1,0
grade,exam,-1,-1
grade,performance,-1,0
grade,evaluation,-1,-1
physics,science,0,0
physics,law,0,0
physics,universe,0,0
stem,science,0,0
stem,technology,0,0
stem,career,0,0
student,study,0,0
student,future,0,0
student,education,0,0
study,learn,0,1
study,book,0,0
study,exam,0,-1
chemistry,reaction,0,0
chemistry,element,0,0
chemistry,science,0,0
success,achievement,1,1
success,effort,1,0
success,happiness,1,1
professor,teacher,0,0
professor,knowledge,0,1
professor,lecture,0,0
music,sound,1,1
music,emotion,1,1
music,art,1,1
philosophy,think,0,1
philosophy,mean,0,0
philosophy,question,0,0
informatic,computer,0,0
informatic,datum,0,0
informatic,logic,0,0
job,work,0,0
job,pay,0,0
job,responsibility,0,0
equation,math,-1,-1
equation,solution,-1,0
equation,number,-1,-1
history,past,0,0
history,event,0,0
history,story,0,0
creativity,art,1,1
creativity,idea,1,1
creativity,innovation,1,1
teacher,knowledge,0,0
teacher,guidance,0,0
teacher,authority,0,0
science,discovery,0,0
science,curiosity,0,0
science,research,0,0
failure,learn,-1,0
failure,disappointment,-1,-1
failure,effort,-1,0
datum,information,0,0
datum,analysis,0,0
datum,pattern,0,0
algorithm,logic,0,0
algorithm,problem - solve,0,0
algorithm,code,0,0
proof,mathematic,0,-1
proof,verification,0,0
proof,certainty,0,0
chatgpt,ai,0,0
chatgpt,assistance,0,0
chatgpt,curiosity,0,0
scientist,research,0,0
scientist,discovery,0,0
scientist,knowledge,0,0
classroom,learn,0,0
classroom,student,0,0
classroom,teacher,0,0
llm,ai,0,0
llm,language,0,0
llm,learn,0,0
anxiety,stress,-1,-1
anxiety,uncertainty,-1,-1
anxiety,fear,-1,-1
blackboard,teach,0,0
blackboard,write,0,-1
blackboard,classroom,0,0
model,representation,0,0
model,datum,0,0
model,simulation,0,0
logic,reasoning,0,0
logic,mathematic,0,-1
logic,problem,0,-1
variable,datum,-1,-1
variable,mathematic,-1,-1
variable,change,-1,0
teamwork,collaboration,0,0
teamwork,communication,0,0
teamwork,support,0,0
literature,book,1,1
literature,story,1,1
literature,imagination,1,1
art,creativity,1,1
art,expression,1,1
art,beauty,1,1
future,hope,0,0
future,uncertainty,0,-1
future,change,0,0
mathematic,number,-1,0
mathematic,problem - solve,-1,0
mathematic,difficulty,-1,-1
ai,technology,0,0
ai,future,0,0
ai,assistance,0,0
experiment,research,0,0
experiment,discovery,0,0
experiment,testing,0,0
lecture,learn,-1,0
lecture,teacher,-1,0
lecture,boredom,-1,-1
class,learn,0,0
class,student,0,0
class,teacher,0,0
homework,work,-1,-1
homework,frustration,-1,-1
homework,learn,-1,0
