cue_word,association_word,cue_valence,associated_valence
datum,information,0,-1
datum,analysis,0,-1
datum,insight,0,1
mathematic,number,-1,-1
mathematic,logic,-1,-1
mathematic,challenge,-1,-1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,uncertainty,-1,-1
failure,loss,-1,-1
failure,disappointment,-1,-1
failure,growth,-1,-1
logic,reasoning,0,0
logic,structure,0,-1
logic,truth,0,1
biology,life,0,1
biology,cell,0,0
biology,nature,0,1
experiment,discovery,-1,1
experiment,test,-1,-1
experiment,result,-1,0
class,learn,-1,0
class,student,-1,-1
class,teacher,-1,0
career,job,0,-1
career,growth,0,1
career,success,0,1
professor,teacher,0,0
professor,knowledge,0,1
professor,research,0,1
job,work,-1,-1
job,income,-1,0
job,routine,-1,-1
algorithm,code,-1,-1
algorithm,solution,-1,1
algorithm,efficiency,-1,0
study,learn,0,1
study,research,0,0
study,book,0,0
blackboard,class,-1,-1
blackboard,write,-1,-1
blackboard,lesson,-1,0
ai,technology,0,1
ai,future,0,1
ai,intelligence,0,1
scientist,research,1,1
scientist,discovery,1,1
scientist,curiosity,1,1
music,sound,1,0
music,rhythm,1,0
music,emotion,1,1
theorem,proof,-1,0
theorem,mathematic,-1,-1
theorem,logic,-1,0
teamwork,collaboration,1,1
teamwork,support,1,1
teamwork,goal,1,1
number,math,-1,-1
number,datum,-1,0
number,pattern,-1,0
philosophy,think,0,1
philosophy,question,0,0
philosophy,wisdom,0,1
student,learn,-1,1
student,school,-1,-1
student,future,-1,0
creativity,innovation,1,1
creativity,art,1,1
creativity,idea,1,1
classroom,learn,-1,0
classroom,student,-1,-1
classroom,teacher,-1,0
work,effort,0,-1
work,routine,0,-1
variable,change,-1,-1
variable,unknown,-1,-1
proof,evidence,1,0
proof,logic,1,0
success,achievement,1,1
success,happiness,1,1
homework,study,-1,0
homework,stress,-1,-1
grade,score,0,0
grade,evaluation,0,-1
llm,model,0,0
llm,training,0,-1
model,datum,0,0
model,prediction,0,1
informatic,technology,0,0
informatic,information,0,0
future,hope,0,1
future,uncertainty,0,-1
stem,science,1,1
stem,innovation,1,1
physics,energy,1,0
physics,matter,1,0
exam,test,-1,-1
exam,anxiety,-1,-1
lecture,learn,0,1
lecture,class,0,0
equation,math,0,0
equation,solution,0,1
chatgpt,ai,0,0
chatgpt,assistant,0,1
knowledge,learn,1,1
knowledge,wisdom,1,1
teacher,education,1,1
teacher,guidance,1,1
history,past,0,-1
history,event,0,-1
art,creativity,1,1
art,expression,1,1
chemistry,reaction,0,0
chemistry,element,0,0
literature,book,1,1
literature,story,1,1
science,discovery,1,1
science,experiment,1,1
society,community,0,1
society,culture,0,0
computation,algorithm,0,-1
computation,calculate,0,-1
