cue_word,association_word,cue_valence,associated_valence
success,achievement,0,0
success,happiness,0,1
success,ambition,0,0
classroom,learn,-1,0
classroom,noise,-1,-1
classroom,stress,-1,-1
algorithm,efficiency,0,0
algorithm,complexity,0,0
algorithm,logic,0,1
literature,emotion,0,0
literature,analysis,0,0
literature,story,0,0
proof,truth,0,1
proof,rigor,0,0
proof,clarity,0,1
job,income,-1,0
job,responsibility,-1,0
job,pressure,-1,-1
history,past,0,0
history,knowledge,0,1
history,context,0,0
career,progression,0,0
career,stability,0,0
career,growth,0,0
exam,stress,-1,-1
exam,evaluation,-1,0
exam,grade,-1,0
society,culture,-1,0
society,connection,-1,0
society,inequality,-1,-1
ai,future,0,0
ai,power,0,1
ai,fear,0,-1
music,emotion,1,1
music,creativity,1,0
music,relaxation,1,1
variable,change,0,0
variable,unknown,0,-1
variable,constant,0,0
theorem,truth,0,1
theorem,elegance,0,1
theorem,challenge,0,0
problem - solve,logic,0,1
problem - solve,creativity,0,0
problem - solve,effort,0,0
anxiety,fear,-1,-1
anxiety,worry,-1,-1
anxiety,tension,-1,-1
homework,work,-1,0
homework,stress,-1,-1
homework,learn,-1,0
chatgpt,helpful,0,1
chatgpt,neutral,0,0
chatgpt,reliable,0,0
blackboard,chalk,-1,-1
blackboard,whiteboard,-1,0
blackboard,memory,-1,0
failure,learn,-1,0
failure,growth,-1,0
failure,defeat,-1,-1
biology,life,1,1
biology,complexity,1,0
biology,wonder,1,1
physics,law,0,0
physics,nature,0,1
physics,math,0,0
teacher,mentor,0,0
teacher,guidance,0,0
teacher,authority,0,0
professor,knowledge,0,1
professor,research,0,0
professor,expectation,0,-1
creativity,imagination,1,1
creativity,freedom,1,1
creativity,expression,1,1
art,creative,0,0
art,beautiful,0,1
art,expressive,0,0
equation,math,0,0
equation,formula,0,-1
equation,complex,0,-1
llm,powerful,0,1
llm,scary,0,-1
llm,unknown,0,-1
stem,important,0,0
stem,hard,0,0
stem,useful,0,0
chemistry,molecule,0,0
chemistry,lab,0,0
chemistry,expensive,0,-1
number,logic,0,0
number,bore,0,-1
number,exact,0,0
grade,stressful,0,-1
grade,competition,0,-1
logic,clear,0,1
logic,rigid,0,-1
logic,abstract,0,0
informatic,tech,0,0
informatic,cod,0,0
informatic,datum,0,0
science,truth,0,1
science,research,0,0
science,bore,0,-1
class,tired,0,-1
class,lecture,0,0
class,learn,0,0
future,uncertain,0,-1
future,hopeful,0,0
future,bright,0,1
lecture,bore,-1,0
lecture,long,-1,-1
lecture,useful,-1,0
knowledge,powerful,1,1
knowledge,deep,1,0
knowledge,hard,1,0
study,work,0,0
study,stressful,0,-1
study,learn,0,0
datum,complex,0,-1
datum,useful,0,0
datum,raw,0,0
student,young,0,0
student,curious,0,0
student,tired,0,-1
model,abstract,0,0
model,math,0,0
model,theory,0,0
computation,fast,0,0
computation,complex,0,0
computation,bore,0,-1
teamwork,collaboration,0,1
teamwork,social,0,0
teamwork,effective,0,1
work,stressful,0,-1
work,meaningful,0,0
work,hard,0,0
philosophy,deep,0,1
philosophy,abstract,0,0
philosophy,question,0,0
mathematic,logic,0,0
mathematic,number,0,0
mathematic,beautiful,0,1
experiment,lab,0,0
experiment,learn,0,0
experiment,risk,0,-1
scientist,curious,0,1
scientist,smart,0,1
scientist,isolate,0,-1
