cue_word,association_word,cue_valence,associated_valence
biology,dissection,-1,-1
biology,cell,-1,-1
biology,bore,-1,-1
number,math,1,1
number,pattern,1,0
number,logic,1,1
student,exam,-1,-1
student,note,-1,-1
student,friend,-1,0
logic,puzzle,1,1
logic,proof,1,0
logic,cs,1,1
lecture,professor,-1,-1
lecture,slide,-1,-1
lecture,sleepy,-1,-1
art,painting,0,0
art,cinema,0,1
art,beautiful,0,1
knowledge,book,1,0
knowledge,learn,1,1
knowledge,power,1,0
anxiety,panic,-1,-1
anxiety,heart,-1,-1
anxiety,failure,-1,-1
theorem,proof,1,1
theorem,math,1,1
theorem,eureka,1,1
classroom,desk,-1,-1
classroom,chalk,-1,-1
classroom,nervous,-1,-1
teamwork,group,-1,-1
teamwork,discuss,-1,-1
teamwork,stress,-1,-1
music,classical,1,1
music,beethoven,1,1
music,relax,1,1
study,book,0,0
study,late,0,-1
study,tired,0,-1
chatgpt,helpful,0,1
chatgpt,code,0,1
chatgpt,lazy,0,-1
scientist,lab,0,-1
scientist,discover,0,1
scientist,smart,0,1
computation,algorithm,1,1
computation,code,1,1
computation,fun,1,1
class,attendance,-1,-1
class,quiz,-1,-1
class,dread,-1,-1
stem,math,0,1
stem,code,0,1
stem,future,0,0
creativity,idea,0,0
creativity,art,0,0
creativity,innovation,0,1
work,job,-1,-1
work,money,-1,0
work,stress,-1,-1
society,people,-1,-1
society,rule,-1,-1
society,change,-1,-1
equation,solve,1,1
equation,balance,1,0
equation,logic,1,1
teacher,explain,-1,0
teacher,strict,-1,-1
teacher,mentor,-1,0
ai,neural,1,1
ai,chatbot,1,0
ai,future,1,1
problem - solve,debug,1,1
problem - solve,think,1,1
problem - solve,win,1,1
philosophy,logic,-1,1
philosophy,ethic,-1,0
philosophy,abstract,-1,-1
professor,teacher,0,0
professor,expert,0,1
professor,mentor,0,0
homework,assignment,-1,-1
homework,study,-1,0
homework,burden,-1,-1
career,job,0,0
career,ambition,0,0
career,uncertainty,0,-1
datum,information,1,0
datum,analysis,1,1
datum,code,1,1
literature,book,-1,-1
literature,read,-1,-1
literature,bore,-1,-1
experiment,test,-1,-1
experiment,lab,-1,-1
experiment,discovery,-1,1
success,achievement,1,1
success,goal,1,1
success,reward,1,1
future,plan,-1,0
future,dream,-1,1
future,worry,-1,-1
exam,test,-1,-1
exam,stress,-1,-1
exam,grade,-1,-1
blackboard,chalk,-1,-1
blackboard,lecture,-1,0
blackboard,old,-1,-1
variable,code,1,1
variable,math,1,0
variable,input,1,0
llm,ai,1,1
llm,chatbot,1,1
llm,tool,1,1
proof,theorem,0,0
proof,logic,0,1
proof,correct,0,1
history,past,1,0
history,event,1,0
history,favorite,1,1
grade,score,-1,0
grade,effort,-1,1
grade,anxiety,-1,-1
model,machine,1,1
model,learn,1,1
model,simulation,1,0
science,knowledge,0,1
science,discovery,0,1
science,method,0,0
physics,force,-1,-1
physics,equation,-1,0
physics,hard,-1,-1
informatic,computer,1,1
informatic,programming,1,1
informatic,network,1,1
mathematic,number,0,-1
mathematic,logic,0,1
mathematic,proof,0,0
algorithm,code,1,1
algorithm,efficiency,1,1
algorithm,solution,1,1
chemistry,element,-1,-1
chemistry,reaction,-1,-1
chemistry,lab,-1,-1
failure,mistake,-1,-1
failure,lesson,-1,0
failure,defeat,-1,-1
job,work,0,-1
job,salary,0,0
job,career,0,0
