cue_word,association_word,cue_valence,associated_valence
literature,book,0,1
literature,story,0,0
literature,author,0,-1
logic,reasoning,1,0
logic,argument,1,0
logic,deduction,1,0
proof,evidence,1,0
proof,verification,1,0
proof,certainty,1,1
career,job,1,1
career,profession,1,1
career,goal,1,0
philosophy,think,0,-1
philosophy,idea,0,-1
philosophy,reasoning,0,0
professor,teacher,0,1
professor,mentor,0,0
professor,knowledge,0,1
teacher,educator,1,1
teacher,guide,1,1
teacher,learn,1,1
biology,life,1,1
biology,cell,1,0
biology,ecology,1,-1
student,learner,1,1
student,study,1,1
student,education,1,1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
experiment,research,0,0
experiment,testing,0,0
experiment,discovery,0,1
success,achievement,1,1
success,prosperity,1,0
success,accomplishment,1,1
class,school,0,0
class,group,0,-1
class,structure,0,0
model,representation,0,0
model,example,0,0
model,framework,0,0
homework,assignment,-1,-1
homework,task,-1,-1
homework,practice,-1,-1
ai,machine,1,0
ai,intelligence,1,1
ai,technology,1,1
algorithm,process,0,0
algorithm,formula,0,0
algorithm,calculation,0,0
number,digit,-1,-1
number,mathematic,-1,0
number,calculation,-1,0
computation,processing,1,1
computation,calculate,1,1
computation,logic,1,1
science,knowledge,1,1
science,research,1,1
science,fact,1,0
informatic,compute,1,1
informatic,datum,1,1
informatic,system,1,0
mathematic,equation,1,1
mathematic,algebra,1,1
mathematic,geometry,1,0
llm,language,-1,0
llm,learn,-1,0
llm,model,-1,0
equation,formula,0,0
equation,solution,0,1
equation,balance,0,0
study,research,1,1
study,learn,1,1
study,analysis,1,1
history,past,0,-1
history,event,0,-1
history,knowledge,0,1
chemistry,science,1,1
chemistry,molecule,1,0
chemistry,reaction,1,-1
blackboard,write,0,-1
blackboard,chalk,0,-1
blackboard,learn,0,1
society,people,0,0
society,culture,0,-1
society,value,0,-1
datum,information,1,1
datum,number,1,0
datum,analysis,1,-1
grade,score,0,-1
grade,evaluation,0,-1
grade,progress,0,1
music,melody,1,0
music,rhythm,1,-1
music,art,1,0
physics,law,1,0
physics,force,1,-1
physics,study,1,0
job,career,0,-1
job,work,0,0
job,responsibility,0,-1
work,task,0,-1
work,duty,0,-1
work,collaboration,0,1
knowledge,learn,1,1
knowledge,information,1,0
knowledge,understand,1,0
exam,test,-1,-1
exam,assessment,-1,-1
exam,challenge,-1,0
future,goal,1,0
future,possibility,1,0
future,uncertainty,1,-1
teamwork,collaboration,1,1
teamwork,partnership,1,0
teamwork,cooperation,1,-1
scientist,researcher,1,0
scientist,discovery,1,-1
scientist,innovation,1,0
problem - solve,critical thinking,1,0
problem - solve,solution,1,-1
problem - solve,challenge,1,0
classroom,learn,1,1
classroom,education,1,0
classroom,discipline,1,-1
theorem,mathematic,0,-1
theorem,proof,0,-1
theorem,concept,0,1
variable,value,0,-1
variable,factor,0,-1
variable,condition,0,1
stem,science,1,1
stem,technology,1,0
stem,engineering,1,-1
creativity,imagination,1,0
creativity,innovation,1,-1
creativity,artistic,1,0
art,paint,1,0
art,sculpture,1,-1
art,expression,1,0
lecture,teach,0,-1
lecture,presentation,0,-1
lecture,learn,0,1
failure,mistake,-1,-1
failure,setback,-1,-1
failure,lesson,-1,1
chatgpt,ai,0,-1
chatgpt,assistant,0,-1
chatgpt,conversational,0,1
