cue_word,association_word,cue_valence,associated_valence
student,study,0,0
student,future,0,0
student,exam,0,0
theorem,proof,0,0
theorem,math,0,0
theorem,difficult,0,-1
biology,cell,0,0
biology,life,0,1
biology,nature,0,0
failure,loss,-1,-1
failure,disappointment,-1,-1
failure,fear,-1,-1
algorithm,code,0,0
algorithm,logic,0,0
algorithm,problem,0,-1
class,learn,0,0
class,teacher,0,0
class,student,0,0
informatic,computer,0,0
informatic,datum,0,0
informatic,programming,0,0
logic,reasoning,0,0
logic,math,0,0
logic,puzzle,0,0
physics,formula,-1,-1
physics,law,-1,-1
physics,difficult,-1,-1
datum,information,0,0
datum,analysis,0,0
datum,statistic,0,0
blackboard,class,0,0
blackboard,teacher,0,0
blackboard,write,0,0
grade,exam,0,-1
grade,performance,0,0
grade,stress,0,-1
future,hope,0,1
future,career,0,0
future,uncertainty,0,-1
society,people,0,0
society,community,0,0
society,change,0,0
job,work,0,0
job,money,0,0
job,responsibility,0,0
scientist,research,0,1
scientist,discovery,0,1
scientist,lab,0,0
equation,math,0,0
equation,solution,0,0
equation,problem,0,-1
creativity,art,1,0
creativity,innovation,1,1
creativity,imagination,1,1
classroom,learn,0,0
classroom,teacher,0,0
classroom,student,0,0
exam,stress,-1,-1
exam,study,-1,0
exam,grade,-1,0
lecture,learn,0,0
lecture,teacher,0,0
lecture,note,0,0
success,achievement,1,1
success,happiness,1,1
success,reward,1,1
philosophy,think,0,0
philosophy,mean,0,0
philosophy,ethic,0,0
llm,technology,0,0
llm,future,0,0
llm,ai,0,0
teacher,learn,0,0
teacher,knowledge,0,1
teacher,respect,0,1
experiment,science,0,0
experiment,discovery,0,1
experiment,risk,0,0
career,future,0,0
career,success,0,1
career,stability,0,0
literature,book,1,1
literature,story,1,1
literature,imagination,1,0
number,math,0,0
number,calculation,0,0
number,pattern,0,0
teamwork,collaboration,0,0
teamwork,support,0,1
teamwork,achievement,0,0
study,learn,0,0
study,effort,0,0
study,knowledge,0,1
art,creativity,-1,0
art,expression,-1,0
art,beauty,-1,0
model,design,0,0
model,example,0,0
model,theory,0,0
knowledge,learn,1,0
knowledge,wisdom,1,1
knowledge,power,1,0
variable,change,0,0
variable,uncertainty,0,-1
variable,math,0,0
mathematic,number,-1,0
mathematic,logic,-1,0
mathematic,difficult,-1,-1
history,past,0,0
history,event,0,0
history,learn,0,0
proof,evidence,0,0
proof,math,0,0
proof,certainty,0,0
homework,study,-1,0
homework,effort,-1,0
homework,boredom,-1,-1
science,experiment,0,0
science,discovery,0,1
science,knowledge,0,1
work,job,0,0
work,effort,0,0
work,income,0,0
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,uncertainty,-1,-1
music,sound,1,0
music,emotion,1,0
music,relaxation,1,1
computation,math,0,0
computation,calculation,0,0
computation,logic,0,0
ai,technology,0,0
ai,future,0,0
ai,intelligence,0,1
chatgpt,ai,0,0
chatgpt,assistant,0,0
chatgpt,conversation,0,0
stem,science,0,0
stem,math,0,0
stem,technology,0,0
chemistry,science,0,0
chemistry,element,0,0
chemistry,reaction,0,0
problem - solve,logic,0,0
problem - solve,challenge,0,0
problem - solve,solution,0,1
professor,teacher,0,0
professor,knowledge,0,1
professor,research,0,0
