cue_word,association_word,cue_valence,associated_valence
logic,reason,1,0
logic,clarity,1,1
logic,order,1,0
professor,knowledge,0,1
professor,guidance,0,0
professor,authority,0,-1
chatgpt,tool,0,0
chatgpt,information,0,1
chatgpt,assistant,0,0
proof,evidence,1,1
proof,certainty,1,0
proof,validation,1,0
stem,innovation,1,1
stem,progress,1,1
stem,challenge,1,-1
teamwork,collaboration,-1,0
teamwork,support,-1,0
teamwork,conflict,-1,-1
mathematic,precision,0,1
mathematic,abstraction,0,-1
mathematic,difficulty,0,-1
algorithm,process,0,-1
algorithm,efficiency,0,1
algorithm,automation,0,0
job,stability,0,1
job,routine,0,-1
job,pressure,0,-1
creativity,innovation,0,1
creativity,expression,0,0
creativity,chaos,0,-1
physics,law,1,0
physics,universe,1,1
physics,complexity,1,-1
equation,balance,0,0
equation,solution,0,1
equation,confusion,0,-1
variable,unknown,-1,-1
variable,flexibility,-1,0
variable,uncertainty,-1,-1
study,learn,0,1
study,effort,0,-1
study,fatigue,0,-1
class,learn,-1,1
class,structure,-1,-1
class,boredom,-1,-1
homework,practice,-1,0
homework,responsibility,-1,0
homework,burden,-1,-1
exam,assessment,-1,-1
exam,stress,-1,-1
exam,achievement,-1,0
anxiety,worry,-1,-1
anxiety,fear,-1,-1
anxiety,paralysis,-1,-1
work,productivity,-1,0
work,duty,-1,-1
work,exhaustion,-1,-1
philosophy,think,-1,0
philosophy,question,-1,0
philosophy,ambiguity,-1,-1
student,growth,0,1
student,potential,0,1
student,pressure,0,-1
scientist,discovery,1,1
scientist,rigor,1,0
scientist,isolation,1,-1
datum,fact,0,1
datum,analysis,0,0
datum,overload,0,-1
history,past,-1,-1
history,lesson,-1,0
history,boredom,-1,-1
experiment,test,0,-1
experiment,discovery,0,1
experiment,failure,0,-1
blackboard,chalk,0,-1
blackboard,class,0,0
blackboard,learn,0,1
theorem,proof,0,0
theorem,math,0,1
theorem,logic,0,1
biology,life,1,1
biology,cell,1,0
biology,nature,1,1
problem - solve,challenge,1,0
problem - solve,solution,1,1
problem - solve,think,1,1
music,melody,1,0
music,rhythm,1,0
music,emotion,1,1
knowledge,wisdom,1,1
knowledge,understand,1,1
knowledge,power,1,0
failure,mistake,-1,-1
failure,lesson,-1,0
failure,disappointment,-1,-1
success,achievement,1,1
success,pride,1,0
success,reward,1,1
informatic,datum,0,0
informatic,system,0,0
informatic,technology,0,1
lecture,speaker,-1,-1
lecture,information,-1,0
lecture,bore,-1,-1
future,hope,0,1
future,uncertainty,0,-1
future,progress,0,1
grade,score,-1,-1
grade,pressure,-1,-1
grade,evaluation,-1,-1
model,example,0,0
model,simulation,0,0
model,representation,0,0
career,job,1,0
career,growth,1,1
career,stability,1,1
teacher,educator,1,1
teacher,guidance,1,1
teacher,authority,1,-1
number,math,1,1
number,quantify,1,0
number,precision,1,1
society,community,0,1
society,rule,0,-1
society,interaction,0,0
literature,book,-1,-1
literature,story,-1,-1
literature,bore,-1,-1
art,creativity,0,1
art,expression,0,1
art,beauty,0,1
science,discovery,1,1
science,experiment,1,1
science,truth,1,1
chemistry,reaction,0,0
chemistry,element,0,0
chemistry,lab,0,-1
computation,algorithm,1,1
computation,processing,1,0
computation,efficiency,1,1
ai,intelligence,1,1
ai,automation,1,0
ai,future,1,0
llm,language,0,0
llm,model,0,0
llm,chat,0,-1
classroom,student,0,1
classroom,education,0,1
classroom,discipline,0,-1
