cue_word,association_word,cue_valence,associated_valence
professor,lecture,0,0
professor,biology,0,1
professor,authority,0,0
equation,math,-1,-1
equation,problem,-1,-1
equation,solve,-1,0
teamwork,football,1,1
teamwork,class,1,0
teamwork,friend,1,1
class,lecture,0,0
class,note,0,0
class,boredom,0,-1
history,war,0,-1
history,date,0,0
history,book,0,1
failure,exam,-1,-1
failure,stress,-1,-1
failure,sad,-1,-1
number,math,-1,-1
number,calculate,-1,-1
number,bore,-1,-1
music,relax,1,1
music,song,1,1
music,concert,1,1
ai,future,0,1
ai,tech,0,0
ai,complicated,0,-1
student,study,0,-1
student,exam,0,-1
student,free,0,1
mathematic,number,-1,-1
mathematic,hard,-1,-1
mathematic,exam,-1,-1
chemistry,biology,1,1
chemistry,experiment,1,1
chemistry,fun,1,1
scientist,research,1,1
scientist,lab,1,0
scientist,curious,1,1
philosophy,question,-1,0
philosophy,deep,-1,0
philosophy,bore,-1,-1
grade,exam,0,-1
grade,stress,0,-1
grade,success,0,1
informatic,computer,-1,-1
informatic,cod,-1,-1
informatic,difficult,-1,-1
llm,ai,0,0
llm,tech,0,0
llm,future,0,1
exam,stress,-1,-1
exam,study,-1,-1
exam,result,-1,0
algorithm,cod,-1,-1
algorithm,math,-1,-1
algorithm,bore,-1,-1
work,job,-1,-1
work,study,-1,-1
work,tired,-1,-1
career,job,0,-1
career,future,0,1
career,uncertain,0,-1
knowledge,study,1,-1
knowledge,book,1,1
knowledge,useful,1,1
classroom,school,0,0
classroom,friend,0,1
classroom,boredom,0,-1
homework,study,-1,-1
homework,stress,-1,-1
homework,bore,-1,-1
literature,book,1,1
literature,story,1,1
literature,fun,1,1
variable,change,0,0
variable,uncertainty,0,-1
datum,information,1,1
datum,analysis,1,0
art,creativity,1,1
art,paint,1,1
logic,reasoning,0,0
logic,math,0,-1
stem,science,0,0
stem,technology,0,0
model,theory,1,0
model,simulation,1,0
creativity,art,1,1
creativity,innovation,1,1
future,opportunity,1,1
future,uncertainty,1,-1
physics,math,-1,-1
physics,difficult,-1,-1
teacher,learn,1,1
teacher,explain,1,1
theorem,proof,-1,-1
theorem,math,-1,-1
blackboard,class,0,0
blackboard,chalk,0,0
biology,life,1,1
biology,interest,1,1
success,achievement,1,1
success,happy,1,1
study,learn,1,1
study,effort,1,0
job,work,0,0
job,future,0,1
science,discovery,1,1
science,curiosity,1,1
lecture,learn,0,0
lecture,bored,0,-1
proof,theorem,-1,-1
proof,math,-1,-1
problem - solve,logic,1,0
problem - solve,challenge,1,0
chatgpt,help,1,1
chatgpt,technology,1,0
computation,math,-1,-1
computation,computer,-1,-1
society,people,0,1
society,change,0,0
anxiety,stress,-1,-1
anxiety,exam,-1,-1
experiment,science,1,1
experiment,discovery,1,1
