cue_word,association_word,cue_valence,associated_valence
blackboard,chalk,0,-1
blackboard,lesson,0,0
chatgpt,ai,0,0
chatgpt,assistant,0,1
proof,math,0,0
proof,theorem,0,0
art,creative,1,1
art,expression,1,1
failure,loss,-1,-1
failure,disappointment,-1,-1
music,melody,0,0
music,rhythm,0,0
scientist,research,0,0
scientist,discovery,0,1
teacher,educate,0,0
teacher,guide,0,0
theorem,proof,0,0
theorem,math,0,0
career,job,0,0
career,growth,0,1
classroom,student,0,0
classroom,learn,0,0
ai,intelligence,0,0
ai,technology,0,0
number,math,0,0
number,count,0,-1
problem - solve,challenge,0,0
problem - solve,solution,0,1
informatic,datum,0,0
informatic,technology,0,0
homework,study,-1,0
homework,task,-1,-1
experiment,test,0,0
experiment,discover,0,1
study,learn,0,1
study,research,0,0
datum,information,0,0
datum,analysis,0,0
society,people,0,0
society,community,0,0
professor,teach,0,0
professor,research,0,0
literature,book,1,1
literature,write,1,1
model,design,0,0
model,predict,0,0
success,achievement,1,1
success,happiness,1,1
anxiety,worry,-1,-1
anxiety,stress,-1,-1
equation,math,0,0
equation,solve,0,0
job,work,0,0
job,career,0,1
physics,science,0,0
physics,energy,0,0
knowledge,learn,1,1
knowledge,wise,1,1
science,discover,0,1
science,experiment,0,0
student,learn,0,1
student,school,0,0
creativity,innovate,1,1
creativity,art,1,1
exam,test,-1,-1
exam,study,-1,0
llm,model,0,0
llm,language,0,0
history,past,0,0
history,event,0,0
chemistry,react,0,0
chemistry,element,0,0
lecture,teach,0,0
lecture,classroom,0,0
algorithm,code,0,0
algorithm,solve,0,0
teamwork,collaborate,1,1
teamwork,group,1,0
stem,science,0,0
stem,technology,0,0
variable,change,0,0
variable,unknown,0,-1
class,learn,0,1
class,student,0,0
logic,reason,0,0
logic,think,0,0
work,job,0,0
work,effort,0,0
mathematic,number,0,0
mathematic,solve,0,0
future,time,1,0
future,hope,1,1
biology,life,0,1
biology,cell,0,0
grade,score,0,0
grade,evaluate,0,0
philosophy,think,0,0
philosophy,wisdom,0,1
computation,calculate,0,0
computation,datum,0,0
