cue_word,association_word,cue_valence,associated_valence
society,community,0,0
society,culture,0,0
society,network,0,-1
stem,innovation,1,1
stem,engineering,1,0
stem,research,1,1
equation,formula,0,0
equation,calculation,0,-1
equation,solution,0,1
logic,reasoning,1,1
logic,deduction,1,1
logic,rationality,1,1
science,experiment,1,1
science,discovery,1,1
science,theory,1,0
number,quantitative,0,0
number,statistic,0,-1
number,precision,0,0
chatgpt,assistant,-1,-1
chatgpt,ai,-1,0
chatgpt,language,-1,-1
failure,challenge,-1,-1
failure,mistake,-1,-1
failure,setback,-1,-1
datum,information,0,0
datum,analysis,0,0
datum,statistic,0,0
exam,test,-1,-1
exam,evaluation,-1,-1
exam,assessment,-1,-1
work,employment,0,0
work,effort,0,-1
work,productivity,0,0
future,prospect,1,1
future,innovation,1,1
future,progress,1,1
biology,life,0,1
biology,cell,0,-1
biology,organism,0,0
informatic,compute,0,0
informatic,datum,0,0
informatic,analytic,0,-1
scientist,researcher,1,1
scientist,expert,1,1
scientist,discoverer,1,1
blackboard,classroom,-1,-1
blackboard,education,-1,0
blackboard,chalk,-1,-1
literature,novel,0,0
literature,poetry,0,0
literature,write,0,0
mathematic,algebra,1,0
mathematic,geometry,1,0
mathematic,calculus,1,0
experiment,trial,1,0
experiment,research,1,1
experiment,hypothesis,1,0
career,job,0,-1
career,growth,0,0
career,ambition,0,1
history,past,0,-1
history,event,0,-1
history,timeline,0,-1
ai,machine learn,1,1
ai,automation,1,0
ai,technology,1,1
variable,constant,-1,-1
variable,parameter,-1,-1
variable,unknown,-1,-1
problem - solve,logic,1,1
problem - solve,analysis,1,1
problem - solve,strategy,1,1
class,education,-1,0
class,group,-1,-1
class,session,-1,-1
model,sketch,0,-1
model,simulate,0,0
model,design,0,0
homework,deadline,-1,-1
homework,stress,-1,-1
homework,learn,-1,0
physics,experiment,0,0
physics,theory,0,0
physics,law,0,0
computation,algorithm,0,0
computation,datum,0,-1
computation,logic,0,0
grade,score,-1,-1
grade,rank,-1,-1
grade,evaluation,-1,-1
lecture,present,-1,-1
lecture,discuss,-1,-1
lecture,educate,-1,0
job,career,0,0
job,employment,0,-1
job,opportunity,0,1
philosophy,think,-1,0
philosophy,debate,-1,-1
philosophy,ethic,-1,0
classroom,learn,-1,0
classroom,teach,-1,0
classroom,discipline,-1,-1
music,melody,1,1
music,harmony,1,1
music,rhythm,1,1
chemistry,reaction,0,0
chemistry,experiment,0,0
chemistry,formula,0,-1
teacher,mentor,0,0
teacher,guide,0,0
teacher,educator,0,0
proof,validate,-1,0
proof,logic,-1,0
proof,evidence,-1,0
llm,language,0,0
llm,model,0,0
llm,ai,0,1
creativity,imagination,1,1
creativity,innovation,1,1
creativity,expression,1,1
student,learner,0,0
student,curious,0,1
student,young,0,-1
teamwork,collaboration,0,0
teamwork,cooperation,0,0
teamwork,unity,0,0
algorithm,code,0,-1
algorithm,problem,0,-1
algorithm,solution,0,1
success,achievement,1,1
success,goal,1,1
success,reward,1,1
art,expression,1,1
art,imagination,1,1
art,creativity,1,1
study,research,-1,0
study,read,-1,-1
study,analysis,-1,-1
knowledge,information,1,0
knowledge,learn,1,0
knowledge,wisdom,1,1
theorem,math,-1,0
theorem,logic,-1,0
theorem,proof,-1,-1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,nervous,-1,-1
professor,expert,0,0
professor,educator,0,-1
professor,mentor,0,0
