cue_word,association_word,cue_valence,associated_valence
job,office,0,-1
job,salary,0,0
job,stress,0,-1
proof,evidence,0,0
proof,logic,0,0
proof,math,0,0
llm,model,0,0
llm,ai,0,1
llm,learn,0,0
grade,school,-1,0
grade,score,-1,0
grade,pressure,-1,-1
professor,teacher,0,0
professor,lecture,0,0
professor,knowledge,0,1
classroom,student,0,0
classroom,lesson,0,0
classroom,desk,0,-1
study,book,0,0
study,focus,0,0
study,exam,0,-1
variable,math,0,0
variable,change,0,0
variable,unknown,0,-1
class,student,0,0
class,subject,0,0
class,teacher,0,0
exam,test,-1,-1
exam,nervous,-1,-1
exam,grade,-1,-1
music,melody,1,1
music,instrument,1,0
music,fun,1,1
number,math,0,0
number,count,0,0
number,pattern,0,0
creativity,art,1,1
creativity,innovation,1,1
creativity,idea,1,1
scientist,research,0,0
scientist,lab,0,0
scientist,discovery,0,1
physics,science,0,0
physics,formula,0,0
physics,energy,0,0
algorithm,code,0,0
algorithm,logic,0,0
algorithm,solution,0,0
ai,machine,1,0
ai,intelligence,1,1
ai,future,1,0
equation,math,0,0
equation,solve,0,0
equation,variable,0,-1
informatic,datum,0,0
informatic,computer,0,0
informatic,information,0,0
teamwork,collaboration,1,1
teamwork,goal,1,1
teamwork,support,1,1
experiment,test,0,0
experiment,discover,0,1
experiment,lab,0,0
work,job,0,0
work,effort,0,0
work,achievement,0,0
problem - solve,challenge,0,0
problem - solve,solution,0,1
problem - solve,strategy,0,0
homework,school,-1,0
homework,task,-1,-1
homework,study,-1,0
failure,mistake,-1,-1
failure,learn,-1,0
failure,disappoint,-1,-1
success,achievement,0,1
success,happiness,0,1
stem,science,0,0
stem,innovation,0,0
philosophy,think,0,0
philosophy,wisdom,0,1
theorem,proof,0,0
theorem,mathematic,0,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
datum,information,0,0
datum,analysis,0,0
model,design,0,0
model,prediction,0,0
future,hope,0,1
future,uncertainty,0,-1
art,creativity,1,1
art,expression,1,1
history,past,0,0
history,learn,0,0
blackboard,classroom,-1,0
blackboard,teach,-1,0
chemistry,experiment,0,0
chemistry,molecule,0,0
logic,reasoning,0,0
logic,truth,0,1
biology,life,0,1
biology,cell,0,0
science,discovery,0,1
science,research,0,0
lecture,learn,0,0
lecture,teacher,0,0
literature,book,1,1
literature,imagination,1,1
mathematic,number,0,0
mathematic,problem,0,-1
knowledge,learn,1,0
knowledge,wisdom,1,1
society,people,0,0
society,community,0,0
teacher,education,0,0
teacher,guidance,0,0
computation,calculate,0,0
computation,algorithm,0,0
career,job,0,0
career,growth,0,1
student,learn,0,0
student,school,0,0
chatgpt,ai,0,0
chatgpt,assistant,0,0
