cue_word,association_word,cue_valence,associated_valence
computation,logic,0,0
computation,algorithm,0,0
computation,datum,0,0
work,effort,0,-1
work,productivity,0,0
work,stress,0,-1
job,career,0,0
job,salary,0,1
job,responsibility,0,-1
proof,evidence,0,0
proof,demonstration,0,0
proof,theorem,0,-1
homework,study,-1,0
homework,task,-1,-1
homework,deadline,-1,-1
number,math,0,0
number,count,0,0
number,datum,0,0
ai,technology,0,0
ai,future,0,1
ai,robotic,0,0
knowledge,learn,1,1
knowledge,wisdom,1,1
knowledge,education,1,0
class,student,0,0
class,teacher,0,0
class,lesson,0,0
model,simulation,0,0
model,representation,0,-1
model,theory,0,-1
problem - solve,logic,0,0
problem - solve,strategy,0,0
problem - solve,solution,0,1
teacher,education,0,0
teacher,knowledge,0,1
teacher,guidance,0,0
physics,science,0,0
physics,law,0,-1
physics,experiment,0,0
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,worry,-1,-1
mathematic,number,0,0
mathematic,logic,0,0
mathematic,equation,0,-1
informatic,computer,0,0
informatic,datum,0,0
informatic,information,0,0
grade,score,-1,-1
grade,evaluation,-1,-1
grade,performance,-1,0
teamwork,collaboration,0,1
teamwork,cooperation,0,1
teamwork,communication,0,0
equation,math,-1,0
equation,solution,-1,0
equation,variable,-1,-1
stem,science,0,0
stem,technology,0,1
stem,engineering,0,0
student,learn,0,1
student,education,0,0
student,knowledge,0,1
llm,ai,0,0
llm,language,0,0
llm,model,0,-1
theorem,proof,-1,0
theorem,mathematic,-1,0
theorem,logic,-1,0
society,people,0,1
society,culture,0,0
society,community,0,0
biology,life,0,1
biology,cell,0,0
biology,evolution,0,-1
logic,reason,0,0
logic,math,0,0
logic,problem,0,-1
professor,teacher,0,0
professor,knowledge,0,1
professor,lecture,0,0
art,paint,1,1
art,creativity,1,0
art,beauty,1,1
music,sound,1,0
music,rhythm,1,0
music,emotion,1,0
classroom,student,0,0
classroom,learn,0,0
classroom,desk,0,-1
blackboard,chalk,0,-1
blackboard,write,0,0
blackboard,lesson,0,0
future,time,0,0
future,hope,0,1
future,uncertainty,0,-1
science,research,0,0
science,discovery,0,1
science,experiment,0,0
datum,information,0,0
datum,analysis,0,0
datum,number,0,-1
experiment,test,0,0
experiment,hypothesis,0,0
experiment,result,0,0
scientist,researcher,0,0
scientist,lab,0,0
scientist,discovery,0,1
history,past,0,-1
history,event,0,0
history,study,0,0
exam,test,-1,-1
exam,stress,-1,-1
exam,grade,-1,0
career,job,0,0
career,success,0,1
career,growth,0,0
creativity,imagination,1,1
creativity,art,1,1
creativity,innovation,1,0
philosophy,think,0,0
philosophy,wisdom,0,1
philosophy,question,0,-1
literature,book,1,1
literature,story,1,0
literature,poetry,1,0
algorithm,code,0,-1
algorithm,math,0,0
algorithm,solution,0,0
chatgpt,ai,0,0
chatgpt,conversation,0,0
chatgpt,help,0,1
chemistry,reaction,0,-1
chemistry,element,0,0
chemistry,lab,0,0
success,achievement,1,1
success,happiness,1,1
success,goal,1,0
variable,change,-1,0
variable,math,-1,0
variable,unknown,-1,-1
study,learn,0,0
study,book,0,0
study,focus,0,0
lecture,teach,0,0
lecture,listen,0,0
lecture,note,0,-1
failure,loss,-1,-1
failure,mistake,-1,-1
failure,disappointment,-1,-1
