cue_word,association_word,cue_valence,associated_valence
philosophy,think,0,0
philosophy,socrate,0,0
philosophy,ethic,0,0
exam,stress,-1,-1
exam,study,-1,0
exam,grade,-1,-1
student,study,0,0
student,university,0,0
student,future,0,0
variable,maths,0,0
variable,statistic,0,0
variable,equation,0,0
music,cinema,1,0
music,emotion,1,0
music,rhythm,1,0
anxiety,fear,-1,-1
anxiety,stress,-1,-1
anxiety,nervous,-1,-1
theorem,proof,0,0
theorem,maths,0,0
theorem,complexity,0,-1
science,discovery,0,0
science,research,0,0
science,experiment,0,0
chemistry,lab,0,0
chemistry,reaction,0,0
chemistry,periodic,0,0
stem,science,0,0
stem,technology,0,0
stem,engineering,0,0
llm,language,0,0
llm,model,0,0
llm,ai,0,0
model,maths,0,0
model,llm,0,0
model,simulation,0,0
datum,analysis,0,0
datum,science,0,0
datum,information,0,0
blackboard,class,0,0
blackboard,chalk,0,0
blackboard,note,0,0
career,work,0,0
career,future,0,0
career,success,0,0
art,creativity,1,1
art,paint,1,0
art,expression,1,0
physics,maths,0,0
physics,law,0,0
physics,universe,0,0
study,learn,0,0
study,book,0,0
study,exam,0,-1
professor,teacher,0,0
professor,knowledge,0,0
professor,lecture,0,0
work,job,0,0
work,effort,0,0
work,career,0,0
homework,task,-1,-1
homework,study,-1,0
homework,deadline,-1,-1
creativity,art,1,1
creativity,innovation,1,1
creativity,imagination,1,1
failure,mistake,-1,-1
failure,loss,-1,-1
failure,defeat,-1,-1
computation,maths,0,0
computation,algorithm,0,0
computation,datum,0,0
class,student,0,0
class,teacher,0,0
class,learn,0,0
history,war,-1,-1
history,boredom,-1,-1
society,inequality,0,-1
society,change,0,0
grade,school,-1,0
grade,pressure,-1,-1
algorithm,code,0,0
algorithm,complexity,0,-1
logic,maths,0,0
logic,reasoning,0,0
equation,maths,0,0
equation,solution,0,0
knowledge,learn,1,0
knowledge,power,1,0
literature,book,1,1
literature,imagination,1,1
proof,maths,0,0
proof,evidence,0,0
ai,future,0,0
ai,uncertainty,0,-1
scientist,research,0,0
scientist,discovery,0,1
classroom,lecture,0,0
classroom,student,0,0
informatic,computer,0,0
informatic,datum,0,0
teamwork,collaboration,0,1
teamwork,support,0,1
problem - solve,challenge,1,0
problem - solve,solution,1,1
biology,cell,0,0
biology,life,0,1
mathematic,logic,1,0
mathematic,number,1,0
future,hope,0,1
future,uncertainty,0,-1
experiment,science,0,0
experiment,discovery,0,1
chatgpt,ai,0,0
chatgpt,help,0,1
success,achievement,1,1
success,happiness,1,1
lecture,learn,0,0
lecture,boredom,0,-1
number,maths,0,1
number,logic,0,0
teacher,education,0,0
teacher,guidance,0,0
job,work,0,0
job,uncertainty,0,-1
