cue_word,association_word,cue_valence,associated_valence
anxiety,stress,-1,0
anxiety,fear,-1,-1
anxiety,uncertainty,-1,-1
mathematic,logic,0,0
mathematic,precision,0,0
mathematic,pattern,0,0
stem,innovation,0,0
stem,growth,0,0
stem,problem,0,-1
science,discovery,0,0
science,truth,0,0
science,experiment,0,0
failure,lesson,-1,0
failure,setback,-1,-1
failure,learn,-1,0
theorem,proof,0,0
theorem,truth,0,0
theorem,structure,0,0
student,growth,0,0
student,curiosity,0,0
student,learn,0,0
grade,performance,-1,0
grade,evaluation,-1,-1
grade,score,-1,-1
literature,story,0,0
literature,emotion,0,0
literature,narrative,0,0
scientist,curiosity,0,0
scientist,research,0,0
scientist,discovery,0,0
model,representation,0,0
model,structure,0,0
model,simulation,0,-1
blackboard,write,0,0
blackboard,teach,0,0
blackboard,equation,0,0
experiment,test,0,0
experiment,datum,0,0
experiment,hypothesis,0,0
ai,intelligence,0,0
ai,automation,0,0
ai,learn,0,0
knowledge,wisdom,0,0
knowledge,understand,0,0
knowledge,truth,0,0
llm,language,0,0
llm,generation,0,0
llm,understand,0,0
work,effort,0,0
work,progress,0,0
work,task,0,-1
equation,solution,0,0
equation,math,0,0
equation,balance,0,0
teacher,guidance,0,0
teacher,mentor,0,0
teacher,instruction,0,0
classroom,learn,0,0
classroom,community,0,0
classroom,interaction,0,0
variable,change,0,0
variable,input,0,0
variable,factor,0,-1
philosophy,reason,0,0
philosophy,think,0,0
philosophy,question,0,0
music,emotion,0,0
music,rhythm,0,0
music,harmony,0,0
computation,process,0,0
computation,speed,0,0
computation,algorithm,0,0
teamwork,collaboration,0,0
teamwork,support,0,0
teamwork,share,0,0
art,creativity,0,0
art,expression,0,0
art,vision,0,0
informatic,datum,0,0
informatic,algorithm,0,0
informatic,logic,0,0
professor,knowledge,0,0
professor,guidance,0,0
professor,authority,0,-1
physics,number,0,0
physics,law,0,0
physics,universe,0,0
datum,information,0,0
datum,analysis,0,0
datum,pattern,0,0
creativity,art,0,0
creativity,innovation,0,0
creativity,imagination,0,0
career,success,0,0
career,growth,0,0
career,job,0,0
job,work,0,0
job,income,0,0
job,purpose,0,0
homework,study,-1,0
homework,task,-1,-1
homework,effort,-1,0
algorithm,logic,0,0
algorithm,datum,0,0
algorithm,process,0,0
proof,logic,0,0
proof,truth,0,0
proof,evidence,0,0
exam,stress,-1,-1
exam,test,-1,0
exam,performance,-1,0
society,future,0,0
society,structure,0,0
society,interaction,0,0
future,success,0,0
future,technology,0,0
future,growth,0,0
success,career,0,0
success,achievement,0,0
success,goal,0,0
chatgpt,ai,0,0
chatgpt,help,0,0
chatgpt,technology,0,0
lecture,class,0,0
lecture,knowledge,0,0
lecture,learn,0,0
class,study,0,0
class,lecture,0,0
class,group,0,-1
biology,life,0,0
biology,cell,0,0
biology,nature,0,0
history,society,0,0
history,event,0,0
history,past,0,-1
number,datum,0,0
number,math,0,0
number,quantity,0,0
chemistry,molecule,0,0
chemistry,reaction,0,0
chemistry,element,0,0
study,success,0,0
study,homework,0,-1
study,effort,0,0
logic,proof,0,0
logic,reasoning,0,0
logic,problem - solve,0,0
problem - solve,logic,0,0
problem - solve,algorithm,0,0
problem - solve,challenge,0,0
