cue_word,association_word,cue_valence,associated_valence
blackboard,knowledge,0,0
blackboard,teach,0,0
blackboard,idea,0,0
success,achievement,0,0
success,goal,0,0
success,confidence,0,0
llm,intelligence,0,0
llm,power,0,-1
llm,technology,0,0
chatgpt,helpful,0,0
chatgpt,fast,0,0
chatgpt,accurate,0,0
classroom,learn,0,0
classroom,structure,0,0
classroom,community,0,0
student,growth,0,0
student,curiosity,0,0
student,responsibility,0,0
lecture,information,-1,0
lecture,focus,-1,0
lecture,engagement,-1,-1
literature,story,0,0
literature,emotion,0,0
literature,imagination,0,0
problem - solve,logic,0,0
problem - solve,effort,0,0
problem - solve,clarity,0,0
proof,rigor,0,0
proof,truth,0,0
proof,logic,0,0
number,pattern,0,0
number,precision,0,0
number,math,0,0
stem,science,0,0
stem,innovation,0,0
stem,future,0,0
informatic,datum,0,0
informatic,system,0,0
informatic,code,0,0
theorem,truth,0,0
theorem,proof,0,0
theorem,logic,0,0
biology,life,0,0
biology,growth,0,0
biology,nature,0,0
creativity,imagination,0,0
creativity,innovation,0,0
creativity,freedom,0,0
failure,lesson,-1,0
failure,growth,-1,0
failure,risk,-1,-1
study,effort,0,0
study,discipline,0,0
study,progress,0,0
model,structure,0,0
model,representation,0,0
model,prediction,0,0
teamwork,collaboration,0,0
teamwork,support,0,0
teamwork,share goal,0,0
homework,practice,0,0
homework,challenge,0,-1
homework,learn,0,0
exam,pressure,-1,-1
exam,assessment,-1,0
exam,stress,-1,-1
equation,balance,0,0
equation,solution,0,0
equation,math,0,0
history,past,0,0
history,context,0,0
history,memory,0,0
art,expression,0,0
art,beauty,0,0
art,emotion,0,0
future,hope,0,0
future,progress,0,0
future,uncertainty,0,-1
computation,speed,0,0
computation,precision,0,0
computation,efficiency,0,0
science,truth,0,0
science,discovery,0,0
science,curiosity,0,0
experiment,risk,0,-1
experiment,learn,0,0
experiment,failure,0,-1
music,emotion,0,0
music,joy,0,0
music,peace,0,0
algorithm,logic,0,0
algorithm,pattern,0,0
algorithm,automation,0,-1
job,stability,0,0
job,pressure,0,-1
job,growth,0,0
datum,truth,0,0
datum,volume,0,-1
datum,analysis,0,0
ai,innovation,0,0
ai,control,0,-1
ai,risk,0,-1
class,structure,-1,0
class,rule,-1,-1
class,interaction,-1,0
chemistry,molecule,0,0
chemistry,reaction,0,0
chemistry,balance,0,0
grade,performance,-1,0
grade,pressure,-1,-1
grade,achievement,-1,0
career,growth,0,0
career,purpose,0,0
career,choice,0,0
philosophy,question,0,0
philosophy,mean,0,0
philosophy,reason,0,0
variable,change,-1,0
variable,input,-1,-1
variable,dependence,-1,-1
teacher,guidance,0,0
teacher,support,0,0
teacher,authority,0,-1
mathematic,logic,0,0
mathematic,structure,0,0
mathematic,proof,0,0
knowledge,wisdom,0,0
knowledge,clarity,0,0
knowledge,access,0,0
professor,expertise,0,0
professor,mentor,0,0
professor,rigor,0,0
society,change,0,-1
society,unity,0,0
society,conflict,0,-1
scientist,curiosity,0,0
scientist,innovation,0,0
scientist,doubt,0,-1
anxiety,fear,-1,-1
anxiety,stress,-1,-1
anxiety,uncertainty,-1,-1
physics,law,0,0
physics,universe,0,0
physics,motion,0,0
logic,reason,0,0
logic,consistency,0,0
logic,clarity,0,0
work,purpose,0,0
work,effort,0,-1
work,reward,0,0
