cue_word,association_word,cue_valence,associated_valence
society,community,0,-1
society,progress,0,1
homework,study,-1,-1
homework,chore,-1,-1
variable,change,-1,0
variable,unknown,-1,-1
theorem,proof,0,1
theorem,math,0,0
science,discovery,1,1
science,experiment,1,0
art,creativity,1,1
art,expression,1,1
teacher,guide,0,0
teacher,mentor,0,0
equation,math,-1,0
equation,solve,-1,-1
lecture,learn,-1,0
lecture,class,-1,-1
work,effort,-1,-1
work,job,-1,-1
study,learn,-1,0
study,homework,-1,-1
computation,calculate,-1,-1
computation,math,-1,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
model,represent,0,0
model,theory,0,0
creativity,innovation,1,1
creativity,art,1,1
logic,reason,0,0
logic,math,0,0
failure,loss,-1,-1
failure,disappointment,-1,-1
experiment,test,0,-1
experiment,science,0,1
biology,life,0,1
biology,study,0,-1
number,math,-1,0
number,count,-1,-1
job,work,-1,-1
job,career,-1,0
chemistry,science,1,1
chemistry,reaction,1,0
blackboard,class,-1,-1
blackboard,teach,-1,0
classroom,learn,-1,0
classroom,school,-1,-1
scientist,research,1,1
scientist,discover,1,1
career,growth,0,0
career,stability,0,1
teamwork,cooperation,0,1
teamwork,support,0,1
philosophy,think,-1,0
philosophy,wisdom,-1,0
ai,innovation,0,1
ai,future,0,0
informatic,datum,0,0
informatic,technology,0,0
proof,evidence,-1,0
proof,logic,-1,0
datum,information,0,1
datum,analysis,0,0
chatgpt,ai,0,0
chatgpt,assistant,0,0
knowledge,learn,1,1
knowledge,understand,1,1
problem - solve,challenge,-1,-1
problem - solve,solution,-1,0
grade,performance,-1,-1
grade,evaluation,-1,-1
future,hope,0,1
future,uncertainty,0,-1
professor,teacher,0,1
professor,expert,0,1
mathematic,number,-1,-1
mathematic,logic,-1,0
llm,ai,0,0
llm,language,0,0
exam,test,-1,-1
exam,stress,-1,-1
student,learner,0,1
student,youth,0,0
stem,science,0,0
stem,technology,0,0
class,learn,-1,0
class,room,-1,-1
history,past,-1,-1
history,event,-1,-1
physics,science,-1,0
physics,law,-1,-1
success,achievement,1,1
success,happiness,1,1
literature,book,0,1
literature,imagination,0,1
algorithm,code,-1,-1
algorithm,logic,-1,0
music,harmony,1,1
music,emotion,1,1
