cue_word,association_word,cue_valence,associated_valence
music,joy,1,1
music,calm,1,0
music,emotion,1,-1
experiment,curiosity,0,1
experiment,discovery,0,1
experiment,risk,0,-1
proof,clarity,1,0
proof,certainty,1,1
proof,logic,1,0
society,connection,-1,0
society,change,-1,-1
society,structure,-1,1
exam,stress,-1,-1
exam,pressure,-1,-1
exam,performance,-1,0
homework,focus,-1,1
homework,effort,-1,0
homework,completion,-1,1
anxiety,fear,-1,-1
anxiety,worry,-1,-1
anxiety,tension,-1,0
literature,story,1,1
literature,imagination,1,1
literature,depth,1,0
informatic,code,0,1
informatic,datum,0,-1
informatic,algorithm,0,0
biology,life,0,1
biology,growth,0,0
biology,cell,0,-1
scientist,curiosity,1,1
scientist,research,1,0
scientist,truth,1,1
mathematic,logic,1,1
mathematic,precision,1,0
mathematic,pattern,1,-1
chatgpt,helpful,0,1
chatgpt,quick,0,0
chatgpt,useful,0,1
theorem,proof,1,1
theorem,truth,1,1
theorem,logic,1,0
lecture,knowledge,0,1
lecture,information,0,0
lecture,learn,0,1
professor,wisdom,0,1
professor,authority,0,-1
professor,teach,0,1
variable,change,-1,0
variable,flexibility,-1,0
variable,input,-1,-1
knowledge,wisdom,1,1
knowledge,understand,1,1
knowledge,growth,1,0
grade,score,-1,-1
grade,evaluation,-1,0
grade,performance,-1,0
student,learn,0,1
student,growth,0,0
student,responsibility,0,-1
ai,smart,0,1
ai,efficient,0,0
ai,tool,0,1
teamwork,collaboration,1,1
teamwork,support,1,0
teamwork,share goal,1,0
success,achievement,1,1
success,goal,1,0
success,happiness,1,1
problem - solve,solution,1,1
problem - solve,think,1,0
problem - solve,effort,1,-1
job,income,0,-1
job,stability,0,1
job,purpose,0,0
history,memory,0,1
history,legacy,0,-1
history,past,0,-1
career,growth,0,1
career,progress,0,0
career,job,0,-1
failure,lesson,-1,0
failure,setback,-1,-1
failure,error,-1,-1
algorithm,code,1,1
algorithm,pattern,1,0
algorithm,logic,1,1
number,quantify,0,-1
number,precision,0,1
number,calculation,0,0
class,group,-1,-1
class,session,-1,-1
class,subject,-1,1
datum,information,0,1
datum,collection,0,-1
datum,analysis,0,0
classroom,learn,0,1
classroom,teacher,0,0
classroom,student,0,-1
art,expression,1,1
art,beauty,1,0
art,creativity,1,1
model,representation,0,-1
model,structure,0,0
model,design,0,1
stem,science,1,1
stem,engineering,1,0
stem,mathematic,1,1
blackboard,write,-1,0
blackboard,chalk,-1,-1
blackboard,equation,-1,1
logic,reasoning,1,1
logic,structure,1,0
logic,consistency,1,1
philosophy,question,0,1
philosophy,think,0,0
philosophy,understand,0,-1
computation,processing,1,0
computation,speed,1,-1
computation,efficiency,1,1
equation,solution,1,0
equation,formula,1,0
equation,balance,1,-1
work,effort,0,1
work,task,0,-1
work,output,0,-1
physics,law,0,1
physics,motion,0,-1
physics,energy,0,0
study,focus,1,1
study,review,1,0
study,learn,1,1
teacher,guidance,1,0
teacher,knowledge,1,1
teacher,mentor,1,-1
chemistry,reaction,0,1
chemistry,molecule,0,0
chemistry,element,0,-1
creativity,imagination,1,1
creativity,innovation,1,0
creativity,design,1,0
llm,language,0,-1
llm,model,0,1
llm,intelligence,0,0
future,possibility,0,1
future,development,0,-1
future,change,0,-1
science,discovery,1,1
science,experiment,1,0
science,truth,1,-1
