cue_word,association_word,cue_valence,associated_valence
failure,loss,-1,-1
failure,disappointment,-1,-1
datum,information,0,0
datum,analysis,0,-1
exam,test,-1,-1
exam,stress,-1,-1
ai,technology,1,0
ai,future,1,0
philosophy,think,-1,0
philosophy,question,-1,-1
llm,model,0,0
llm,learn,0,1
science,discovery,1,1
science,experiment,1,0
model,prediction,0,-1
model,theory,0,0
proof,evidence,0,0
proof,mathematic,0,1
variable,change,-1,-1
variable,unknown,-1,-1
logic,reasoning,0,0
logic,truth,0,1
society,people,0,0
society,community,0,0
chemistry,reaction,1,0
chemistry,element,1,0
chatgpt,ai,1,1
chatgpt,conversation,1,0
equation,math,-1,0
equation,solution,-1,0
theorem,proof,0,0
theorem,geometry,0,0
art,creativity,1,1
art,expression,1,1
job,work,-1,-1
job,career,-1,0
lecture,learn,-1,0
lecture,classroom,-1,-1
scientist,research,1,1
scientist,discovery,1,1
blackboard,write,-1,-1
blackboard,teach,-1,0
class,student,-1,0
class,learn,-1,0
number,math,-1,0
number,count,-1,-1
career,job,0,-1
career,growth,0,1
student,learn,0,0
student,school,0,0
experiment,discovery,0,1
experiment,lab,0,-1
success,achievement,1,1
physics,science,0,0
physics,formula,0,-1
music,melody,1,1
music,rhythm,1,1
anxiety,stress,-1,-1
stem,science,0,0
stem,technology,0,0
algorithm,code,-1,-1
work,effort,-1,-1
work,job,-1,-1
grade,score,0,0
creativity,innovation,1,1
professor,teacher,0,0
professor,lecture,0,-1
future,hope,0,1
knowledge,learn,1,1
computation,calculate,-1,-1
teacher,educator,0,0
teacher,class,0,-1
teamwork,collaboration,1,1
homework,study,-1,-1
biology,life,0,1
biology,cell,0,0
problem - solve,solution,0,1
classroom,learn,-1,0
study,research,0,0
informatic,datum,-1,-1
history,past,-1,-1
history,event,-1,-1
mathematic,number,0,0
literature,book,1,1
