cue_word,association_word,cue_valence,associated_valence
student,study,0,0
student,exam,0,-1
student,future,0,1
scientist,research,1,1
scientist,lab,1,0
scientist,discovery,1,1
variable,math,0,0
variable,change,0,0
variable,unknown,0,-1
biology,life,-1,1
biology,cell,-1,0
biology,disease,-1,-1
teacher,learn,0,1
teacher,class,0,0
teacher,explain,0,0
ai,future,0,1
ai,technology,0,1
ai,robot,0,0
philosophy,think,0,0
philosophy,mean,0,0
philosophy,ethic,0,0
failure,loss,-1,-1
failure,mistake,-1,-1
failure,learn,-1,0
history,past,0,0
history,event,0,0
history,culture,0,0
informatic,computer,0,0
informatic,datum,0,0
informatic,programming,0,0
datum,information,0,0
datum,analysis,0,0
datum,number,0,0
homework,study,-1,0
homework,exam,-1,-1
homework,stress,-1,-1
stem,science,1,1
stem,technology,1,1
stem,engineering,1,0
success,achievement,1,1
success,happy,1,1
success,goal,1,1
proof,evidence,0,0
proof,math,0,0
proof,truth,0,1
professor,teacher,0,0
professor,lecture,0,0
professor,knowledge,0,1
grade,exam,0,-1
grade,score,0,0
grade,performance,0,0
blackboard,class,0,0
blackboard,teacher,0,0
blackboard,note,0,0
chemistry,science,0,1
chemistry,lab,0,0
chemistry,reaction,0,0
mathematic,number,0,0
mathematic,logic,0,0
mathematic,problem,0,0
society,people,0,0
society,culture,0,0
society,community,0,0
equation,math,0,0
equation,solution,0,0
equation,problem,0,0
study,learn,0,1
study,book,0,0
study,exam,0,-1
chatgpt,ai,0,0
chatgpt,assistant,0,0
chatgpt,help,0,1
teamwork,collaboration,0,0
teamwork,group,0,0
teamwork,project,0,0
physics,difficult,0,-1
physics,interest,0,0
physics,math,0,0
career,future,0,0
career,job,0,0
career,success,0,1
lecture,boredom,0,-1
lecture,learn,0,0
lecture,teacher,0,0
theorem,proof,0,0
theorem,math,0,0
theorem,complex,0,-1
music,art,1,1
music,relaxation,1,1
music,rhythm,1,0
science,experiment,0,0
science,discovery,0,1
science,chemistry,0,0
classroom,student,0,0
classroom,teacher,0,0
classroom,learn,0,0
literature,book,-1,0
literature,story,-1,0
literature,boredom,-1,-1
class,student,0,0
class,teacher,0,0
class,learn,0,0
experiment,science,0,0
experiment,discovery,0,1
experiment,fun,0,0
work,job,0,0
work,effort,0,0
work,money,0,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,exam,-1,-1
art,creativity,1,1
art,beauty,1,1
art,expression,1,1
future,hope,0,1
future,uncertainty,0,-1
future,career,0,0
exam,anxiety,-1,-1
exam,study,-1,0
exam,grade,-1,0
number,math,0,0
number,logic,0,0
number,computation,0,0
computation,math,0,0
computation,number,0,0
computation,logic,0,0
logic,reasoning,0,0
logic,math,0,0
logic,problem - solve,0,0
job,work,0,0
job,career,0,0
job,money,0,0
llm,model,0,0
llm,learn,0,0
llm,machine,0,0
model,llm,0,0
model,math,0,0
model,prediction,0,0
problem - solve,logic,0,0
problem - solve,creativity,0,1
problem - solve,challenge,0,0
creativity,art,1,1
creativity,innovation,1,1
creativity,expression,1,1
algorithm,computation,0,0
algorithm,logic,0,0
algorithm,math,0,0
knowledge,learn,1,0
knowledge,education,1,0
knowledge,wisdom,1,1
