cue_word,association_word,cue_valence,associated_valence
problem - solve,puzzle,1,0
problem - solve,challenge,1,0
problem - solve,achievement,1,1
informatic,computer,0,0
informatic,programming,0,-1
informatic,technology,0,1
scientist,lab,1,0
scientist,experiment,1,0
scientist,discovery,1,1
teamwork,collaboration,0,0
teamwork,group,0,-1
teamwork,support,0,0
logic,reason,1,1
logic,deduction,1,1
logic,puzzle,1,1
homework,assignment,-1,-1
homework,study,-1,-1
homework,bore,-1,-1
success,achievement,1,1
success,goal,1,1
success,win,1,1
literature,book,-1,0
literature,read,-1,0
literature,novel,-1,-1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
variable,math,0,1
variable,equation,0,0
variable,change,0,-1
classroom,teacher,-1,-1
classroom,desk,-1,-1
classroom,lesson,-1,-1
exam,test,-1,-1
exam,stress,-1,-1
exam,grade,-1,-1
ai,robot,0,-1
ai,intelligence,0,1
ai,future,0,1
proof,theorem,1,1
proof,evidence,1,0
proof,math,1,1
grade,score,-1,-1
grade,performance,-1,0
grade,report,-1,-1
datum,information,0,0
datum,analysis,0,0
datum,stat,0,0
science,experiment,1,0
science,discovery,1,1
science,knowledge,1,1
algorithm,code,0,-1
algorithm,step,0,0
algorithm,efficient,0,1
blackboard,chalk,-1,-1
blackboard,write,-1,-1
blackboard,teacher,-1,-1
work,job,0,0
work,career,0,0
work,effort,0,0
future,opportunity,1,1
future,hope,1,1
future,plan,1,0
lecture,professor,-1,-1
lecture,listen,-1,-1
lecture,bore,-1,-1
history,date,-1,-1
history,war,-1,-1
history,bore,-1,-1
creativity,imagination,1,1
creativity,idea,1,1
creativity,innovation,1,1
chemistry,lab,-1,0
chemistry,reaction,-1,-1
chemistry,element,-1,-1
student,learner,0,0
student,youth,0,-1
student,exam,0,-1
failure,defeat,-1,-1
failure,shame,-1,-1
failure,quit,-1,-1
physics,force,-1,-1
physics,energy,-1,0
physics,relativity,-1,0
music,melody,0,0
music,rhythm,0,-1
music,concert,0,0
mathematic,logic,1,1
mathematic,proof,1,1
mathematic,geometry,1,0
study,book,0,-1
study,effort,0,0
study,discipline,0,1
stem,science,0,0
stem,tech,0,0
stem,innovation,0,1
theorem,proof,1,1
theorem,axiom,1,0
theorem,pythagoras,1,0
equation,solve,1,1
equation,balance,1,0
equation,formula,1,1
llm,ai,-1,0
llm,language,-1,0
llm,chatbot,-1,-1
biology,cell,-1,-1
biology,evolution,-1,0
biology,lab,-1,-1
class,lecture,-1,-1
class,group,-1,0
class,homework,-1,-1
knowledge,wisdom,1,1
knowledge,power,1,0
knowledge,fact,1,0
art,paint,-1,-1
art,bore,-1,-1
art,subjective,-1,-1
experiment,test,0,-1
experiment,discovery,0,1
experiment,lab,0,0
teacher,mentor,0,1
teacher,strict,0,-1
teacher,guide,0,0
number,calculate,1,1
number,pattern,1,0
number,math,1,1
chatgpt,ai,0,0
chatgpt,helpful,0,1
chatgpt,tool,0,0
society,community,-1,0
society,norm,-1,-1
society,progress,-1,0
philosophy,ethic,1,1
philosophy,socrate,1,1
philosophy,think,1,1
career,success,0,1
career,ambition,0,0
career,stability,0,1
computation,algorithm,0,0
computation,computer,0,0
computation,logic,0,1
job,work,0,-1
job,income,0,1
job,duty,0,0
model,theory,0,0
model,simulate,0,-1
model,example,0,0
professor,expert,0,1
professor,lecture,0,-1
professor,phd,0,0
